SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40615,7,11,16,0,3,0,17,6,0,53
SSC40616,7,0,0,0,0,0,0,3,0,13
SSC40617,4,0,0,0,3,0,0,0,0,5
SSC40618,41,21,27,14,19,14,8,13,7,164
SSC40619,9,0,0,4,0,0,0,0,3,23
SSC40620,0,0,0,0,0,0,0,0,0,0
SSC40621,0,0,7,3,0,0,7,8,0,32
SSC40622,41,100,41,15,35,20,7,16,5,278
SSC40623,8,0,0,0,0,0,0,0,0,9
SSC40624,4,0,0,3,0,3,3,0,0,15
SSC40625,0,0,0,0,0,0,0,0,0,0
SSC40626,3,24,3,17,5,0,0,6,0,70
SSC40627,16,0,3,3,3,0,0,3,0,31
SSC40628,0,0,3,0,0,0,0,0,0,5
SSC40629,127,129,132,65,71,65,58,83,5,739
SSC40630,0,0,0,0,0,0,0,0,0,0
SSC40631,0,0,0,0,0,0,0,0,0,5
SSC40632,12,22,25,21,25,36,25,23,0,189
SSC40633,37,9,22,8,9,16,7,33,0,139
SSC40634,34,4,3,3,8,3,0,6,0,56
SSC40635,3,0,0,0,0,0,0,0,0,3
SSC40636,94,214,36,44,85,54,3,23,13,560
SSC40637,0,0,0,0,0,0,0,0,0,0
SSC40638,3,0,0,0,5,0,3,3,0,15
SSC40639,29,35,16,13,18,9,11,8,7,141
SSC40640,113,153,159,140,126,146,79,141,19,1083
SSC40641,12,4,3,0,3,0,3,3,0,33
SSC40642,4,0,0,0,0,0,0,4,0,10
SSC40643,7,0,0,0,0,0,0,3,0,14
SSC40644,67,15,33,15,12,18,18,29,3,203
SSC40645,30,30,37,26,30,11,9,14,3,192
SSC40646,15,3,3,0,0,0,0,0,0,20
SSC40647,0,7,0,0,0,0,0,6,0,13
SSC40648,3,3,3,0,3,0,0,0,0,9
SSC40649,12,17,0,16,3,3,0,6,0,55
SSC40650,81,91,90,48,68,43,28,43,3,487
SSC40651,9,15,8,3,3,0,5,10,0,63
SSC40652,0,0,0,0,3,0,0,0,0,6
SSC40653,0,0,0,0,0,0,0,0,0,3
SSC40654,45,51,69,36,48,22,39,51,0,372
SSC40655,11,3,0,3,0,0,0,0,0,20
SSC40656,3,3,0,4,0,3,0,0,0,12
SSC40657,4,0,0,0,0,0,0,0,0,3
SSC40658,9,0,6,0,3,3,6,0,0,31
SSC40659,5,0,0,0,0,0,0,0,0,4
SSC40660,138,161,187,169,138,103,94,204,14,1224
SSC40661,19,0,3,15,8,0,0,9,0,60
SSC40662,7,0,0,0,0,0,0,0,0,12
SSC40663,19,9,0,0,3,0,0,3,0,35
SSC40664,79,23,19,24,13,14,14,20,0,191
SSC40665,17,0,0,0,0,0,3,0,0,22
SSC40666,0,0,0,0,0,0,0,0,0,0
SSC40667,31,0,0,0,3,0,0,4,0,46
SSC40668,144,69,112,48,69,63,55,95,9,679
SSC40669,4,0,0,0,0,0,0,0,0,6
SSC40670,23,0,4,0,0,0,4,3,0,40
SSC40671,109,299,69,96,105,68,15,59,11,822
SSC40672,170,429,104,127,169,87,19,35,15,1164
SSC40673,193,468,75,117,152,114,20,62,15,1219
SSC40674,98,184,40,55,63,39,17,29,9,525
SSC40675,32,21,22,15,21,17,11,15,4,158
SSC40676,6,3,3,6,3,3,3,6,0,35
SSC40677,17,0,0,0,9,0,0,3,0,37
SSC40678,84,104,112,64,92,33,34,48,4,571
SSC40679,36,87,42,57,54,32,18,41,3,371
SSC40680,0,0,0,0,0,0,0,0,0,0
SSC40681,33,19,29,13,3,8,14,30,0,158
SSC40682,19,4,0,3,4,0,0,3,0,31
SSC40683,3,0,0,0,0,0,0,3,0,5
SSC40684,189,333,195,155,299,193,78,116,19,1583
SSC40685,18,0,0,0,0,0,0,3,0,29
SSC40686,142,274,233,236,160,164,167,397,44,1824
SSC40687,50,149,94,90,86,68,47,91,8,682
SSC40688,59,36,41,28,28,29,22,34,3,287
SSC40689,0,0,0,0,0,0,0,0,0,3
SSC40690,36,92,17,23,29,14,5,8,4,221
SSC40691,110,106,107,96,84,90,40,139,8,789
SSC40692,5,8,3,0,0,0,4,4,0,22
SSC40693,21,17,13,12,19,6,4,24,0,122
SSC40694,41,81,25,38,34,18,6,15,5,269
SSC40695,109,50,78,59,50,71,29,115,10,575
SSC40696,158,403,74,115,150,90,8,55,4,1059
SSC40697,250,745,332,331,386,265,124,283,47,2769
SSC40698,11,3,0,4,0,0,0,4,0,20
SSC40699,3,0,0,0,0,0,0,0,0,4
SSC40700,0,0,0,0,0,0,0,3,0,4
SSC40701,3,0,0,0,0,0,0,0,0,8
SSC40702,41,5,16,9,6,12,4,19,3,119
SSC40703,0,0,0,0,0,0,0,0,0,0
SSC40704,32,15,16,10,8,3,0,11,0,92
SSC40705,22,3,3,4,3,5,8,3,0,44
SSC40706,16,0,0,0,0,0,0,4,0,31
SSC40707,0,0,3,11,0,0,0,3,0,18
SSC40708,0,0,0,0,0,0,0,0,0,3
SSC40709,15,3,0,3,0,4,0,3,0,28
SSC40710,11,3,3,0,4,3,4,4,0,28
SSC40711,0,0,3,0,0,0,0,0,0,6
SSC40712,27,3,0,3,3,0,0,0,0,37
