SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC32452,0,0,3,0,0,3,0,0,0,7,0,0,3,0,0,0,0,0,0,9,0,0,7,3,3,0,0,3,0,14,0,8,5,0,4,5,0,0,0,19,8,9,4,0,8,0,3,4,0,37,3,4,3,4,7,0,0,0,0,22,3,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,27,25,12,20,7,5,11,0,123
SSC32453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,10,0,3,5,4,3,0,3,0,0,19,5,0,0,0,7,3,3,0,0,22,3,3,0,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,14,8,9,13,10,0,75
SSC32454,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,0,4,3,0,8,4,0,3,3,4,0,5,3,0,19,3,3,9,4,0,0,3,5,0,28,3,3,5,4,3,0,0,4,0,17,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,12,16,11,3,12,20,0,88
SSC32455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,3,3,5,4,0,29
SSC32456,0,0,5,3,0,3,0,3,0,16,0,0,3,0,0,0,0,0,0,9,0,0,12,3,0,0,3,0,0,16,0,4,9,0,5,0,4,3,0,36,12,12,11,3,4,3,9,5,3,49,0,3,3,0,0,0,3,5,0,20,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,26,42,10,22,17,18,13,3,159
SSC32457,0,0,9,14,6,15,0,9,0,51,4,20,25,10,11,21,8,11,0,108,3,33,32,30,31,15,9,25,3,177,12,15,16,25,29,11,19,11,3,143,21,15,31,19,26,9,18,16,0,147,18,13,9,14,12,11,10,8,0,107,3,3,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,100,124,110,108,82,66,85,12,749
SSC32458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,7,5,0,3,0,0,0,9,0,0,16,3,0,4,3,4,0,3,3,0,19,6,8,3,0,3,0,0,6,0,30,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,11,6,5,6,16,9,0,91
SSC32459,0,0,3,3,3,5,0,3,0,18,0,0,9,5,3,10,0,8,0,35,0,12,13,17,9,8,8,11,0,71,5,11,15,14,13,8,10,7,3,95,10,19,16,22,18,10,12,12,0,119,11,25,13,12,27,10,15,13,3,126,6,3,7,0,3,0,3,3,0,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,74,66,75,68,58,47,61,7,492
SSC32460,0,0,0,3,0,0,0,3,0,8,0,0,4,0,0,0,0,0,0,11,0,4,4,0,5,0,0,3,0,23,3,3,4,3,0,0,8,3,0,33,6,3,9,3,6,0,9,3,0,39,0,0,3,0,0,0,7,4,0,20,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,23,17,16,3,32,20,0,128
SSC32461,0,4,10,19,10,32,0,8,0,80,6,32,21,29,28,23,16,20,4,181,73,167,85,68,92,34,21,30,7,579,74,147,76,45,96,21,25,28,5,514,54,86,56,46,64,35,17,23,3,380,35,83,32,35,61,22,28,27,3,327,4,15,10,3,9,10,13,7,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,532,291,235,361,181,121,150,23,2143
