SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20181,3,29,18,10,21,21,15,26,0,146,6,40,21,29,27,50,13,61,37,284,178,974,717,682,653,1131,602,1323,86,6347
SSC20182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,15
SSC20183,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,10,12,13,16,28,20,5,47,4,163
SSC20184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,5,4,3,0,12,0,43
SSC20185,0,5,0,4,3,10,7,3,4,42,3,7,8,0,7,7,4,4,14,54,81,224,210,238,240,281,135,226,33,1667
SSC20186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,11
SSC20187,5,6,10,5,26,26,10,13,0,100,3,13,8,11,15,16,11,18,15,100,64,275,237,257,363,390,202,250,21,2068
SSC20188,0,4,3,4,5,6,0,3,0,29,0,0,4,3,9,6,0,3,9,31,27,105,85,86,128,128,69,84,10,719
SSC20189,0,7,3,3,15,9,4,11,0,51,0,4,3,5,11,10,3,10,6,53,36,119,94,80,130,169,82,140,16,876
SSC20190,7,10,9,6,18,18,5,11,0,90,3,7,3,14,23,22,12,7,16,112,67,246,229,263,473,435,163,210,29,2118
SSC20191,4,9,5,12,16,13,9,7,0,82,4,4,11,13,17,19,11,8,15,104,70,276,211,267,432,403,146,210,46,2059
SSC20192,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,17,17,13,3,9,5,9,0,72
SSC20193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20194,0,6,0,0,0,0,0,3,0,8,0,3,0,0,0,0,3,3,0,17,16,66,48,48,33,58,29,68,6,377
SSC20195,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,5,9,19,14,19,31,43,12,25,8,177
SSC20196,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,5,4,4,0,13,0,41
SSC20197,0,3,3,5,5,12,0,3,0,25,0,0,4,3,9,4,6,0,5,33,32,98,79,105,171,161,59,71,24,793
SSC20198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,16,7,7,12,3,9,0,63
SSC20200,3,34,15,20,48,38,24,18,9,215,10,29,12,20,17,26,12,21,48,195,250,937,758,778,1153,1199,600,713,112,6494
SSC20201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,6,0,0,4,0,24
SSC20202,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,7,7,22,17,16,16,23,6,42,3,149
SSC20203,4,28,14,17,27,30,13,16,3,157,11,19,12,21,34,23,11,10,27,168,197,478,420,538,771,673,379,461,70,3993
SSC20204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,9,5,3,11,3,28,0,75
SSC20205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,9,7,5,3,10,0,45
SSC20206,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,7,9,23,21,23,18,30,13,11,0,142
SSC20207,0,10,12,12,17,16,8,9,4,84,3,12,7,9,14,9,10,11,14,85,110,330,283,324,466,413,249,354,36,2557
SSC20208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,6,0,15,0,48
SSC20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,3,7,7,4,7,36
