SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC12864,89,77,31,21,457
SSC12865,0,0,0,0,7
SSC12866,612,438,281,194,3277
SSC12867,18,10,0,4,151
SSC12868,676,360,163,62,4907
SSC12869,3,0,0,0,16
SSC12870,15,9,0,0,72
SSC12871,3,0,0,0,14
SSC12872,0,0,0,0,0
SSC12873,20,11,0,0,88
SSC12874,0,0,0,0,3
SSC12875,35,24,14,3,165
SSC12876,7,10,4,0,39
SSC12877,174,79,30,3,595
SSC12878,15,33,8,3,70
SSC12879,7,10,3,0,34
SSC12880,13,7,0,0,37
SSC12881,5,0,0,0,28
SSC12882,6,6,0,0,37
SSC12883,29,29,13,0,116
SSC12884,0,0,0,0,6
SSC12885,113,81,37,6,514
SSC12886,0,0,0,0,0
SSC12887,624,595,364,205,2943
SSC12888,0,5,0,0,18
SSC12889,114,61,19,4,529
SSC12890,11,8,9,0,75
SSC12891,19,14,0,0,84
SSC12892,3,0,3,0,21
SSC12893,25,23,7,3,98
SSC12894,7,3,0,0,30
SSC12895,692,404,134,48,3857
SSC12896,240,150,63,14,1590
SSC12897,376,183,57,14,3020
SSC12898,469,283,90,28,3610
SSC12899,4,8,3,0,20
SSC12900,352,297,135,45,1341
SSC12901,3,0,0,0,3
SSC12902,619,522,387,512,5002
SSC12903,563,308,189,65,3263
SSC12904,4,3,0,0,27
SSC12905,0,0,0,0,0
SSC12906,309,274,144,78,1842
SSC12907,0,0,0,0,8
SSC12908,4,3,0,0,34
SSC12909,165,113,79,20,649
SSC12910,435,326,225,118,3133
SSC12911,349,225,119,31,1902
SSC12912,330,183,116,55,2475
SSC12913,44,22,11,0,209
SSC12914,33,21,10,0,137
SSC12915,8,0,4,3,35
SSC12916,7,3,0,0,42
SSC12917,28,53,18,3,190
SSC12918,0,0,0,0,4
SSC12919,3,3,3,0,29
SSC12920,41,42,9,0,182
SSC12921,0,0,0,0,4
SSC12922,48,39,3,0,222
SSC12923,605,561,240,64,3050
SSC12924,30,23,14,0,178
SSC12925,7,0,0,0,28
SSC12926,65,51,17,3,345
SSC12927,26,7,0,0,118
SSC12928,4,7,0,0,12
SSC12929,12,13,10,0,50
SSC12930,12,5,0,0,32
SSC12931,0,3,0,0,14
SSC12932,54,30,3,0,184
SSC12933,11,6,3,0,60
SSC12934,801,586,261,172,7454
SSC12935,0,0,0,0,0
SSC12936,18,5,8,0,82
SSC12937,34,19,8,3,137
SSC12938,37,22,5,0,268
SSC12939,64,37,3,0,214
SSC12940,13,8,5,0,30
SSC12941,21,20,11,0,108
SSC12942,812,485,233,143,5138
SSC12943,286,189,72,22,1409
SSC12944,10,4,3,0,32
SSC12945,10,16,5,0,72
SSC12946,0,3,0,0,11
SSC12947,0,0,0,0,3
SSC12948,21,23,3,0,95
SSC12949,342,237,87,27,1996
SSC12950,109,79,35,14,636
SSC12951,53,36,17,10,409
SSC12952,57,38,17,0,219
SSC12953,375,211,54,3,3123
SSC12954,0,0,0,0,6
SSC12955,0,0,0,0,0
SSC12956,1059,731,293,79,5300
SSC12957,70,38,15,3,264
SSC12958,3,0,0,0,3
SSC12959,0,0,0,0,12
SSC12960,913,369,136,34,10295
SSC12961,213,137,33,6,1283
SSC12962,13,20,3,0,60
SSC12963,7,3,0,0,20
SSC12964,0,0,0,0,0
SSC12965,251,127,22,16,844
SSC12966,37,39,12,4,145
SSC12967,8,0,0,0,8
SSC12968,40,16,6,0,147
SSC12969,6,0,0,0,24
SSC12970,0,0,0,0,5
SSC12971,0,0,0,0,7
SSC12972,4,0,0,0,25
SSC12973,142,66,48,28,603
SSC12974,251,142,95,70,1361
SSC12975,105,75,17,15,463
SSC12976,446,327,195,87,2828
SSC12977,426,263,152,54,2773
SSC12978,14,4,3,0,58
SSC12979,57,82,23,7,242
SSC12980,268,139,27,12,1236
SSC12981,261,162,52,31,1850
SSC12982,68,48,28,13,286
SSC12983,116,144,165,158,1073
SSC12984,563,365,150,44,5585
SSC12985,19,20,4,0,138
SSC12986,0,0,0,0,0
SSC12987,62,52,16,3,407
SSC12988,325,186,64,32,2147
SSC12989,22,17,9,0,80
SSC12990,444,261,239,65,2575
SSC12991,316,169,68,23,1866
SSC12992,176,178,120,42,777
SSC12993,213,102,70,41,1621
SSC12994,85,41,16,11,385
SSC12995,50,45,34,6,271
SSC12996,3,4,0,0,15
SSC12997,215,116,45,16,1511
SSC12998,102,98,37,9,356
SSC12999,516,354,119,42,3067
SSC13000,497,367,177,108,2872
SSC13001,789,411,174,103,7169
SSC13002,338,273,148,37,2226
SSC13003,721,565,204,60,4247
SSC13004,59,27,9,0,398
SSC13005,890,482,289,137,5714
SSC13006,49,36,11,0,210
SSC13007,193,123,81,33,1367
SSC13008,10,0,3,0,85
SSC13009,232,86,51,24,2772
SSC13010,584,453,198,84,5542
SSC13011,316,235,180,120,2504
SSC13012,37,20,8,0,131
SSC13013,324,356,463,502,2624
SSC13014,60,29,6,0,324
SSC13015,225,177,89,25,1142
SSC13016,301,208,93,38,2249
SSC13017,175,91,35,22,1430
SSC13018,5,6,3,3,34
SSC13019,9,4,5,0,46
SSC13020,4,3,0,0,26
SSC13021,7,5,0,3,28
SSC13022,623,456,210,130,3607
SSC13023,698,535,352,178,6095
SSC13024,133,99,36,9,619
SSC13025,4,16,4,0,29
SSC13026,15,13,4,0,74
SSC13027,3,0,0,0,18
SSC13028,662,567,360,224,4067
SSC13029,139,75,23,9,1398
SSC13030,7,3,0,0,37
SSC13031,67,38,17,4,345
SSC13032,7,8,8,0,64
SSC13033,0,3,0,0,3
SSC13034,6,3,0,0,20
SSC13035,4,7,4,0,49
SSC13036,0,4,3,0,9
SSC13037,3,3,0,0,17
SSC13038,13,15,0,0,66
SSC13039,36,21,11,0,140
SSC13040,13,7,5,0,56
SSC13041,29,15,4,4,118
SSC13042,83,48,15,7,344
SSC13043,42,50,24,0,219
SSC13044,0,0,0,0,0
SSC13045,0,0,0,0,0
SSC13046,0,0,0,0,4
SSC13047,6,0,3,0,30
SSC13048,59,18,0,0,159
SSC13049,103,86,57,18,842
SSC13050,0,0,0,0,10
SSC13051,4,0,0,0,14
SSC13052,55,45,12,3,297
SSC13053,586,310,160,43,2935
SSC13054,137,61,18,0,811
SSC13055,32,22,11,0,140
SSC13056,15,13,17,16,107
SSC13057,10,7,6,0,71
SSC13058,423,150,36,5,2843
SSC13059,28,13,3,4,124
SSC13060,165,102,38,17,895
SSC13061,21,8,0,0,75
SSC13062,15,20,3,0,79
SSC13063,484,276,155,44,2953
SSC13064,1134,670,262,146,5792
SSC13065,0,0,0,0,5
SSC13066,0,3,0,0,13
SSC13067,10,0,0,0,26
SSC13068,219,237,96,26,1388
SSC13069,11,10,0,0,47
SSC13070,640,359,139,63,2837
SSC13071,15,13,7,0,83
SSC13072,8,0,0,4,21
SSC13073,427,339,203,96,2150
SSC13074,4,13,0,0,27
SSC13075,75,50,31,4,475
SSC13076,5,0,0,0,13
SSC13077,82,51,26,7,832
SSC13078,24,14,0,3,115
SSC13079,0,0,0,0,3
SSC13080,0,3,0,0,15
SSC13081,213,129,63,13,1474
SSC13082,0,0,0,0,4
SSC13083,0,0,0,0,0
SSC13084,0,0,0,0,0
SSC13085,48,36,11,0,219
SSC13086,3,0,0,0,9
SSC13087,3,6,0,0,28
SSC13088,3,0,0,0,9
SSC13089,9,3,0,0,32
SSC13090,4,12,0,0,61
SSC13091,183,90,27,8,2218
SSC13092,2590,1781,995,367,17780
SSC13093,4,0,0,0,16
SSC13094,113,46,18,0,588
SSC13095,132,95,30,8,840
SSC13096,54,54,36,7,305
SSC13097,3,3,0,0,12
SSC13098,0,3,0,0,17
SSC13099,6,11,3,0,58
SSC13100,9,5,0,0,45
SSC13101,50,18,0,0,219
SSC13102,24,14,3,0,105
SSC13103,346,156,67,11,1903
SSC13104,5,0,0,0,18
SSC13105,6,0,0,0,29
SSC13106,14,16,7,6,79
SSC13107,4,0,0,0,12
SSC13108,0,0,0,0,0
SSC13109,28,19,9,0,145
SSC13110,149,87,36,10,1271
SSC13111,234,143,104,46,1633
SSC13112,502,311,112,38,2821
SSC13113,4,3,0,0,27
SSC13114,6,0,0,0,32
SSC13115,1005,778,296,96,9041
SSC13116,0,0,0,0,5
SSC13117,0,0,0,0,0
SSC13118,0,3,0,0,9
SSC13119,10,3,3,0,28
SSC13120,924,479,284,178,6189
SSC13121,249,166,147,100,1679
SSC13122,0,0,0,0,0
SSC13123,0,0,0,0,3
SSC13124,0,0,0,0,0
SSC13125,287,162,96,43,1846
SSC13126,4,9,0,0,31
SSC13127,0,0,0,0,0
SSC13128,0,0,0,0,7
SSC13129,0,0,0,0,8
SSC13130,4,10,0,0,28
SSC13131,37,19,9,3,190
SSC13132,233,261,102,21,1004
SSC13133,23,12,6,3,71
SSC13134,27,7,5,5,66
SSC13135,13,6,4,0,57
SSC13136,51,31,19,0,231
SSC13137,3,0,0,0,18
SSC13138,13,3,3,0,46
SSC13139,10,4,0,0,55
SSC13140,104,79,43,43,491
SSC13141,84,55,39,12,356
SSC13142,37,49,14,0,190
SSC13143,5,0,0,0,8
SSC13144,831,381,219,88,5534
SSC13145,0,0,0,0,3
SSC13146,12,4,0,0,37
SSC13147,15,11,0,0,43
SSC13148,0,0,0,0,0
SSC13149,0,0,0,0,7
SSC13150,0,0,0,0,10
SSC13151,750,518,315,134,4942
SSC13152,31,13,0,3,95
SSC13153,181,61,14,0,2226
SSC13154,24,14,10,0,132
SSC13155,22,20,9,0,104
SSC13156,959,522,233,119,15821
SSC13157,5,0,0,0,19
SSC13158,15,9,0,0,40
SSC13159,88,54,15,0,448
SSC13160,24,43,11,3,117
SSC13161,0,0,0,0,4
SSC13162,54,27,8,8,363
SSC13163,17,18,9,0,76
SSC13164,5,0,0,0,57
SSC13165,3,3,0,0,12
SSC13166,106,77,39,17,448
SSC13167,9,7,0,0,28
SSC13168,688,483,326,282,4877
SSC13169,175,173,117,22,1137
SSC13170,28,9,4,3,98
SSC13171,71,108,56,17,367
SSC13172,17,21,4,3,162
SSC13173,0,3,0,0,3
SSC13174,32,19,5,0,155
SSC13175,5,3,0,0,14
SSC13176,8,3,0,0,29
SSC13177,72,45,27,3,407
SSC13178,75,58,28,18,400
SSC13179,5,4,4,0,29
SSC13180,5,16,5,0,70
SSC13181,236,91,26,5,2557
SSC13182,380,195,138,106,3446
SSC13183,723,468,239,117,4218
SSC13184,753,542,314,192,6257
SSC13185,27,25,12,4,140
SSC13186,858,471,223,92,6616
SSC13187,0,0,0,0,7
SSC13188,0,0,0,0,0
SSC13189,61,45,17,3,330
SSC13190,576,297,90,16,5101
SSC13191,65,30,4,0,306
SSC13192,53,17,7,6,242
SSC13193,65,42,13,10,340
SSC13194,9,7,0,0,45
SSC13195,25,16,6,0,125
SSC13196,7,15,9,0,73
SSC13197,13,8,6,0,85
SSC13198,14,15,4,3,99
SSC13199,508,290,142,58,3015
SSC13200,424,201,100,23,2391
SSC13201,0,0,0,0,4
SSC13202,25,18,13,0,148
SSC13203,0,0,0,0,0
SSC13204,46,19,4,0,146
SSC13205,20,3,3,0,69
SSC13206,0,0,0,0,0
SSC13207,31,18,13,0,159
SSC13208,0,0,0,0,0
SSC13209,0,0,0,0,0
SSC13210,3,0,3,0,10
SSC13211,40,50,13,0,187
SSC13212,0,0,3,0,7
SSC13213,3,0,0,0,3
SSC13214,0,0,0,0,11
SSC13215,7,0,0,0,29
SSC13216,12,7,0,0,54
SSC13217,4,0,0,0,13
SSC13218,13,0,0,0,35
SSC13219,4,6,3,3,25
SSC13220,6,8,0,0,21
SSC13221,3,7,0,0,21
SSC13222,0,0,0,0,0
SSC13223,7,12,0,0,36
SSC13224,13,8,0,0,34
SSC13225,0,3,0,0,24
SSC13226,180,129,30,3,1433
SSC13227,3,0,3,0,53
SSC13228,14,12,0,0,53
SSC13229,41,15,6,0,250
SSC13230,601,183,58,32,3899
SSC13231,298,246,160,69,1883
SSC13232,217,154,84,40,1116
SSC13233,176,155,48,27,884
SSC13234,0,0,0,0,0
SSC13235,3,0,0,0,4
SSC13236,168,130,25,0,604
SSC13237,12,6,3,0,35
SSC13238,3,0,0,0,11
SSC13239,16,11,3,0,58
SSC13240,14,6,0,0,76
SSC13241,4,3,0,0,23
SSC13242,15,7,0,0,84
SSC13243,0,0,0,0,0
SSC13244,129,64,43,12,601
SSC13245,389,187,93,68,2210
SSC13246,3924,3523,2100,1009,22391
SSC13247,0,0,0,0,0
SSC13248,0,0,0,0,0
SSC13249,6,0,3,0,20
SSC13250,223,168,78,19,1083
SSC13251,16,14,6,0,81
SSC13252,38,23,10,0,161
SSC13253,35,22,13,3,103
SSC13254,17,5,3,0,64
SSC13255,38,12,3,0,470
SSC13256,633,368,113,49,7732
SSC13257,542,452,184,118,3207
SSC13258,194,121,56,11,1195
SSC13259,7,3,0,0,28
SSC13260,748,268,104,96,6246
SSC13261,46,47,23,0,197
SSC13262,0,0,0,0,0
SSC13263,5,0,0,0,41
SSC13264,143,83,50,18,778
SSC13265,13,5,3,0,76
SSC13266,366,219,47,18,2178
SSC13267,3,4,0,0,15
SSC13268,8,3,0,0,30
SSC13269,0,0,0,0,8
SSC13270,4,0,0,0,24
SSC13271,10,0,0,0,34
SSC13272,36,27,3,0,112
SSC13273,717,365,202,74,7172
SSC13274,0,0,0,0,0
SSC13275,0,0,0,0,15
SSC13276,16,19,3,0,64
SSC13277,414,231,78,50,2217
SSC13278,19,19,7,3,120
SSC13279,25,29,4,0,111
SSC13280,3,0,0,0,11
SSC13281,1085,748,327,132,6335
SSC13282,10,5,4,0,33
SSC13283,10,4,5,0,58
SSC13284,899,585,171,33,8945
SSC13285,43,35,3,0,147
SSC13286,1648,825,195,46,12745
SSC13287,12,8,3,0,63
SSC13288,0,4,0,0,7
SSC13289,3,3,0,0,21
SSC13290,18,6,6,3,88
SSC13291,371,240,135,109,3266
SSC13292,230,104,63,14,2019
SSC13293,201,85,32,8,1440
SSC13294,266,177,85,25,1807
SSC13295,5,7,0,0,12
SSC13296,239,125,62,27,2289
SSC13297,31,13,10,0,122
SSC13298,0,0,0,0,6
SSC13299,0,0,0,0,0
SSC13300,14,15,8,0,90
SSC13301,243,198,118,31,1430
SSC13302,68,36,11,4,270
SSC13303,455,190,44,13,2538
SSC13304,93,62,16,5,538
SSC13305,96,72,15,0,341
SSC13306,16,7,4,4,43
SSC13307,79,35,43,21,357
SSC13308,26,24,10,0,103
SSC13309,78,69,25,4,541
SSC13310,114,110,56,34,850
SSC13311,16,12,5,3,81
SSC13312,1992,1216,612,463,19308
SSC13313,4,7,0,0,20
SSC13314,0,0,0,0,11
SSC13315,235,261,59,16,1366
SSC13316,15,6,3,0,77
SSC13317,3,3,0,0,28
SSC13318,9,13,3,0,53
SSC13319,219,174,57,8,987
SSC13320,10,5,3,0,35
SSC13321,34,29,25,9,203
SSC13322,0,0,0,0,0
SSC13323,15,11,5,0,50
SSC13324,0,4,0,0,12
SSC13325,121,70,25,3,833
SSC13326,0,0,0,0,29
SSC13327,838,535,236,81,5112
SSC13328,103,55,17,0,516
SSC13329,61,64,22,5,283
SSC13330,0,0,0,0,0
SSC13331,0,4,0,0,11
SSC13332,0,0,0,0,4
SSC13333,19,17,3,0,75
SSC13334,58,30,15,0,217
SSC13335,0,0,0,0,3
SSC13336,45,29,15,3,191
SSC13337,20,4,6,3,121
SSC13338,4,3,0,0,19
SSC13339,901,508,299,80,9131
SSC13340,364,237,118,93,1788
SSC13341,3,0,0,0,14
SSC13342,9,10,10,4,91
SSC13343,9,4,3,0,46
SSC13344,3,0,0,0,12
SSC13345,263,127,64,27,1895
SSC13346,54,26,16,3,366
SSC13347,12,11,3,0,48
SSC13348,20,18,3,0,69
SSC13349,3,0,0,0,12
SSC13350,50,41,20,0,330
SSC13351,20,4,0,0,60
SSC13352,85,51,14,0,349
SSC13353,11,4,0,0,53
SSC13354,6,0,0,0,24
SSC13355,914,458,297,184,6273
SSC13356,127,40,16,19,790
SSC13357,10,4,0,3,30
SSC13358,410,174,56,21,7854
SSC13359,5,3,3,0,21
SSC13360,387,265,214,140,2739
SSC13361,121,87,26,7,467
SSC13362,4,3,0,0,27
SSC13363,8,3,0,0,51
SSC13364,17,18,4,0,90
SSC13365,4,3,4,0,14
SSC13366,9,8,0,0,32
SSC13367,44,45,10,3,193
SSC13368,366,225,93,31,3162
SSC13369,0,0,0,0,6
SSC13370,303,219,70,40,1686
SSC13371,725,420,282,100,5284
SSC13372,0,0,0,0,11
SSC13373,10,5,3,0,32
SSC13374,191,190,48,14,1051
SSC13375,131,65,27,0,524
SSC13376,7,6,3,0,35
SSC13377,23,29,8,0,109
SSC13378,40,25,6,0,147
SSC13379,672,348,176,92,8530
SSC13380,29,22,11,0,106
SSC13381,9,4,3,0,43
SSC13382,3,3,0,0,13
SSC13383,0,4,3,0,16
SSC13384,0,4,0,0,3
SSC13385,14,4,0,0,39
SSC13386,10,12,0,0,25
SSC13387,5,6,0,0,31
SSC13388,13,11,11,4,116
SSC13389,3,0,0,0,10
SSC13390,43,24,5,0,139
SSC13391,117,62,37,10,688
SSC13392,21,11,3,0,77
SSC13393,3,11,3,0,35
SSC13394,0,0,0,0,0
SSC13395,948,431,164,85,6369
SSC13396,0,3,0,0,10
SSC13397,175,113,76,7,2768
SSC13398,746,681,338,173,6125
SSC13399,3,7,4,0,46
SSC13400,3,0,0,0,13
SSC13401,75,35,12,3,250
SSC13402,0,3,0,0,11
SSC13403,7,0,0,0,24
SSC13404,11,5,0,0,16
SSC13405,484,266,112,37,5593
SSC13406,9,7,0,0,35
SSC13407,41,39,15,3,150
SSC13408,122,58,15,9,2283
SSC13409,571,321,178,68,4763
SSC13410,450,213,71,11,2964
SSC13411,0,0,0,0,3
SSC13412,899,679,314,160,5884
SSC13413,179,101,51,25,908
SSC13414,22,21,3,4,102
SSC13415,10,18,4,0,85
SSC13416,14,6,3,0,51
SSC13417,6,6,3,0,25
SSC13418,0,0,0,0,0
SSC13419,8,0,0,0,41
SSC13420,121,112,36,11,879
SSC13421,4,0,0,0,18
SSC13422,22,4,0,0,81
SSC13423,3,0,3,0,17
SSC13424,13,5,0,0,43
SSC13425,14,5,3,0,65
SSC13426,7,4,0,0,12
SSC13427,27,18,11,3,117
SSC13428,22,20,0,0,112
SSC13429,445,210,76,12,3660
SSC13430,3,3,0,0,30
SSC13431,13,10,3,0,76
SSC13432,22,4,4,0,46
SSC13433,0,0,0,0,22
SSC13434,95,43,9,0,496
SSC13435,780,471,102,28,5665
SSC13436,3,0,4,0,28
SSC13437,3,3,0,0,12
SSC13438,4,8,0,0,39
SSC13439,4,0,5,0,18
SSC13440,68,41,11,0,249
SSC13441,15,12,3,3,70
SSC13442,3,4,0,0,8
SSC13443,424,335,73,13,2356
SSC13444,229,128,64,55,1981
SSC13445,11,7,3,0,47
SSC13446,28,4,15,3,109
SSC13447,439,227,93,70,2648
SSC13448,117,77,37,12,732
SSC13449,535,446,224,120,4740
SSC13450,8,7,3,0,50
SSC13451,0,0,0,0,9
SSC13452,20,26,7,3,111
SSC13453,434,218,107,41,3179
SSC13454,1651,1014,567,346,14696
SSC13455,32,16,12,3,129
SSC13456,4,0,0,0,15
SSC13457,80,86,39,6,442
SSC13458,28,16,3,0,187
SSC13459,30,19,10,0,149
SSC13460,12,8,3,0,40
SSC13461,122,54,54,19,873
SSC13462,129,91,24,6,484
SSC13463,409,409,338,119,2411
SSC13464,9,3,4,0,26
SSC13465,11,7,4,0,48
SSC13466,0,3,0,0,6
SSC13467,92,74,27,9,542
SSC13468,0,0,0,0,3
SSC13469,45,14,11,3,193
SSC13470,268,147,77,14,1623
SSC13471,82,45,15,0,310
SSC13472,609,555,309,68,3059
SSC13473,0,0,0,0,0
SSC13474,14,25,41,79,207
SSC13475,14,3,0,0,36
SSC13476,0,0,0,0,4
SSC13477,4,0,0,0,5
SSC13478,120,72,42,9,615
SSC13479,263,118,38,7,1073
SSC13480,3,0,3,0,6
SSC13481,3,0,0,0,14
SSC13482,7,0,3,0,15
SSC13483,10,6,5,0,40
SSC13484,5,0,0,0,13
SSC13485,5,0,3,0,18
SSC13486,14,4,0,0,64
SSC13487,58,37,11,0,332
SSC13488,0,0,0,0,0
SSC13489,820,567,316,150,5091
SSC13490,8,4,0,0,19
SSC13491,281,185,56,16,1160
SSC13492,390,255,110,31,2037
SSC13493,4,10,0,0,27
SSC13494,14,8,0,3,51
SSC13495,32,31,9,0,238
SSC13496,11,4,3,0,47
SSC13497,3,3,0,0,6
SSC13498,410,287,124,42,1948
SSC13499,42,21,10,0,234
SSC13500,27,17,5,3,178
SSC13501,0,0,0,0,3
SSC13502,234,104,38,10,2358
SSC13503,374,232,141,97,2540
SSC13504,3,3,0,3,21
SSC13505,78,48,13,0,349
SSC13506,0,0,0,0,7
SSC13507,6,0,0,0,19
SSC13508,122,96,26,10,474
SSC13509,655,374,155,70,3864
SSC13510,95,51,13,0,500
SSC13511,19,6,0,0,122
SSC13512,5,6,0,0,28
SSC13513,3,3,0,0,24
SSC13514,17,13,10,0,91
SSC13515,53,38,8,0,208
SSC13516,271,151,73,39,2103
SSC13517,19,8,3,3,115
SSC13518,1222,752,353,121,8886
SSC13519,7,0,3,0,37
SSC13520,3,0,0,0,14
SSC13521,5,11,3,0,46
SSC13522,9,11,4,0,25
SSC13523,156,115,30,11,1045
SSC13524,21,10,3,0,146
SSC13525,17,5,0,0,68
SSC13526,18,19,9,0,82
SSC13527,4,8,3,0,41
SSC13528,15,8,6,0,53
SSC13529,0,0,0,0,19
SSC13530,0,0,0,0,8
SSC13531,16,12,9,0,59
SSC13532,354,246,79,13,2595
SSC13533,363,191,108,22,1727
SSC13534,5,12,28,23,114
SSC13535,132,98,54,18,672
SSC13536,10,8,0,0,38
SSC13537,24,5,3,0,79
SSC13538,3,0,0,0,8
SSC13539,151,232,147,138,1051
SSC13540,312,300,182,61,1598
SSC13541,0,3,0,0,13
SSC13542,214,151,89,27,1704
SSC13543,9,0,0,0,12
SSC13544,287,118,35,4,1647
SSC13545,3,3,0,0,25
SSC13546,31,26,10,10,143
SSC13547,168,71,16,3,2969
SSC13548,3,0,0,0,11
SSC13549,336,174,124,44,2171
SSC13550,261,135,52,33,2005
SSC13551,0,0,0,0,120
SSC13552,0,0,0,0,6
SSC13553,0,0,0,0,0
SSC13554,114,105,42,8,594
SSC13555,9,10,0,0,39
SSC13556,22,15,3,0,89
SSC13557,14,3,0,0,58
SSC13558,0,0,0,0,9
SSC13559,597,333,245,65,4224
SSC13560,0,0,0,0,0
SSC13561,16,4,0,0,38
SSC13562,42,19,13,5,166
SSC13563,127,114,50,12,604
SSC13564,35,32,14,3,229
SSC13565,0,0,0,0,4
SSC13566,0,0,0,0,0
SSC13567,0,0,0,0,0
SSC13568,12,8,4,0,41
SSC13569,17,20,12,0,67
SSC13570,150,185,69,18,769
SSC13571,114,62,37,11,562
SSC13572,28,26,3,0,147
SSC13573,114,46,34,9,709
SSC13574,13,28,5,0,111
SSC13575,46,12,4,3,124
SSC13576,9,3,0,0,23
SSC13577,102,93,41,31,730
SSC13578,94,76,51,21,558
SSC13579,449,301,165,76,2885
SSC13580,43,49,7,3,209
SSC13581,80,40,11,0,468
SSC13582,420,306,193,82,2388
SSC13583,217,126,66,21,1878
SSC13584,64,40,16,4,316
SSC13585,27,14,4,3,146
SSC13586,18,26,6,3,125
SSC13587,299,179,73,55,2429
SSC13588,196,106,60,22,966
SSC13589,154,60,32,3,763
SSC13590,15,18,6,0,132
SSC13591,39,24,11,3,218
SSC13592,47,32,7,3,288
SSC13593,98,74,35,13,513
SSC13594,69,90,46,25,905
SSC13595,51,27,6,0,219
SSC13596,736,590,211,39,5043
SSC13597,388,298,219,71,2719
SSC13598,276,204,154,43,1714
SSC13599,307,160,77,43,2756
SSC13600,435,464,261,60,2122
SSC13601,349,182,92,23,2411
SSC13602,19,15,0,4,90
SSC13603,7,0,0,0,10
SSC13604,23,7,4,0,98
SSC13605,347,263,114,41,1731
SSC13606,14,3,0,0,38
SSC13607,43,28,14,0,190
SSC13608,11,8,3,0,33
SSC13609,8,3,0,0,23
SSC13610,53,27,4,0,159
SSC13611,24,6,3,0,74
SSC13612,163,76,16,4,2019
SSC13613,26,12,7,0,105
SSC13614,40,24,7,0,181
SSC13615,33,21,5,3,208
SSC13616,0,0,0,0,0
SSC13617,3,3,3,0,19
SSC13618,6,4,0,0,44
SSC13619,17,11,4,0,100
SSC13620,20,11,7,0,66
SSC13621,12,7,0,0,51
SSC13622,151,97,54,17,849
SSC13623,347,139,76,14,1922
SSC13624,0,3,0,0,18
SSC13625,30,22,15,0,167
SSC13626,33,25,9,0,173
SSC13627,7,5,0,0,19
SSC13628,152,64,12,0,834
SSC13629,917,672,361,250,4819
SSC13630,23,50,6,0,119
SSC13631,416,177,36,13,2379
SSC13632,1550,590,130,34,8262
SSC13633,0,0,0,0,5
SSC13634,19,21,3,0,109
SSC13635,0,0,0,0,0
SSC13636,248,254,143,63,1370
SSC13637,277,176,44,9,2574
SSC13638,125,114,62,31,588
SSC13639,1565,1236,787,333,9810
SSC13640,273,235,158,40,1753
SSC13641,305,215,59,20,2088
SSC13642,310,164,74,25,4171
SSC13643,642,372,218,114,5110
SSC13644,169,52,15,14,2003
SSC13645,3,4,0,0,25
SSC13646,6,13,4,0,82
SSC13647,43,30,13,0,233
SSC13648,10,8,4,0,77
SSC13649,533,272,90,16,4555
SSC13650,498,300,110,33,5108
SSC13651,9,3,0,0,28
SSC13652,11,9,0,0,29
SSC13653,192,84,16,6,824
SSC13654,43,27,13,3,285
SSC13655,3,0,0,0,9
SSC13656,0,0,0,0,3
SSC13657,3,4,3,0,20
SSC13658,6,10,3,0,26
SSC13659,13,16,3,0,59
SSC13660,27,29,14,4,157
SSC13661,3,5,0,0,31
SSC13662,581,269,146,118,2384
SSC13663,5,7,0,0,22
SSC13664,103,47,14,7,361
SSC13665,15,15,3,0,62
SSC13666,0,0,0,0,8
SSC13667,37,12,7,0,108
SSC13668,15,10,0,0,72
SSC13669,3,4,0,0,30
SSC13670,6,0,3,0,8
SSC13671,0,0,0,0,0
SSC13672,19,6,3,0,54
SSC13673,15,3,0,3,42
SSC13674,22,11,4,0,88
SSC13675,1678,996,567,302,14665
SSC13676,266,140,52,14,1806
SSC13677,69,52,36,11,371
SSC13678,11,0,0,0,14
SSC13679,8,15,0,0,99
SSC13680,18,24,13,0,99
SSC13681,97,65,31,7,353
SSC13682,24,26,7,0,117
SSC13683,7,3,0,0,28
SSC13684,427,207,70,34,2236
SSC13685,6,9,8,0,46
SSC13686,7,0,3,0,32
SSC13687,518,280,105,73,4593
SSC13688,24,20,3,0,118
SSC13689,6,5,0,4,37
SSC13690,196,188,73,18,1063
SSC13691,39,21,10,0,137
SSC13692,8,13,4,0,56
SSC13693,15,4,0,0,31
SSC13694,36,51,27,9,226
SSC13695,78,121,106,9,546
SSC13696,5,6,0,0,36
SSC13697,201,197,82,34,939
SSC13698,120,117,51,12,615
SSC13699,948,465,255,101,12228
SSC13700,332,399,223,82,1653
SSC13701,691,423,252,206,6273
SSC13702,196,127,28,4,948
SSC13703,58,49,15,9,258
SSC13704,32,17,3,4,135
SSC13705,18,16,5,0,101
SSC13706,8,6,0,0,49
SSC13707,8,0,3,0,25
SSC13708,0,0,0,0,4
SSC13709,32,23,10,0,101
SSC13710,0,0,0,0,0
SSC13711,408,359,255,111,2280
SSC13712,59,47,22,5,329
SSC13713,8,9,4,0,34
SSC13714,64,39,14,0,663
SSC13715,737,458,180,78,12294
SSC13716,59,19,3,0,1226
SSC13717,778,658,463,278,5275
SSC13718,230,167,103,26,1537
SSC13719,3,3,0,0,22
SSC13720,5,5,0,0,14
