SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10105,53,40,15,4,259
SSC10106,1184,564,316,154,13982
SSC10107,12,10,3,0,63
SSC10108,346,211,75,21,1579
SSC10109,137,130,69,47,1211
SSC10110,12,15,3,0,59
SSC10111,1150,757,316,151,5436
SSC10112,3,0,0,0,13
SSC10113,20,24,3,0,107
SSC10114,453,302,115,30,2431
SSC10115,0,0,0,0,0
SSC10116,163,91,28,4,782
SSC10117,14,9,0,0,71
SSC10118,23,15,7,0,160
SSC10119,18,11,4,3,90
SSC10120,17,3,4,0,64
SSC10121,0,0,0,0,0
SSC10122,0,0,0,0,0
SSC10123,0,0,0,0,20
SSC10124,0,0,0,0,5
SSC10125,0,4,0,0,9
SSC10126,0,0,0,0,9
SSC10127,0,0,0,0,3
SSC10128,0,0,3,0,8
SSC10129,16,8,3,0,50
SSC10130,20,15,0,0,72
SSC10131,3,0,0,0,11
SSC10132,9,8,0,0,55
SSC10133,3,3,0,0,5
SSC10134,3,9,0,0,37
SSC10135,4,0,3,0,22
SSC10136,4,6,0,0,18
SSC10137,3,3,0,0,15
SSC10138,10,5,0,0,30
SSC10139,0,5,0,0,15
SSC10140,3,0,6,0,11
SSC10141,6,5,0,0,11
SSC10142,10,4,3,0,35
SSC10143,48,35,17,3,261
SSC10144,17,17,12,0,83
SSC10145,88,75,37,8,469
SSC10146,0,4,3,0,20
SSC10147,23,19,3,0,129
SSC10148,0,0,0,0,5
SSC10149,0,0,0,0,3
SSC10150,12,6,0,0,29
SSC10151,15,7,0,0,35
SSC10152,0,3,0,0,14
SSC10153,609,475,235,67,4657
SSC10154,335,178,71,49,1769
SSC10155,510,377,166,49,2824
SSC10156,0,0,0,0,5
SSC10157,6,0,0,0,39
SSC10158,0,3,0,0,7
SSC10159,13,16,3,0,74
SSC10160,13,3,0,0,53
SSC10161,26,15,10,0,97
SSC10162,755,641,520,454,4350
SSC10163,0,0,0,0,0
SSC10164,1017,719,214,45,6793
SSC10165,211,173,57,18,1287
SSC10166,84,51,10,0,387
SSC10167,64,13,7,0,213
SSC10168,97,55,31,15,478
SSC10169,0,5,0,0,11
SSC10170,0,0,0,0,0
SSC10171,19,12,3,0,65
SSC10172,0,0,0,0,4
SSC10173,93,64,28,10,370
SSC10174,196,115,41,37,1080
SSC10175,3,4,3,0,20
SSC10176,11,6,3,4,41
SSC10177,641,369,90,57,2910
SSC10178,171,118,46,18,1553
SSC10179,3,3,0,0,9
SSC10180,1351,719,337,159,12859
SSC10181,0,0,0,0,0
SSC10182,7,7,0,0,24
SSC10183,11,11,0,0,68
SSC10184,4,3,0,0,15
SSC10185,1194,1179,846,373,7348
SSC10186,8,0,0,0,15
SSC10187,143,63,36,5,761
SSC10188,10,3,3,0,42
SSC10189,7,0,0,0,11
SSC10190,47,42,23,9,270
SSC10191,30,4,0,0,148
SSC10192,0,0,0,0,0
SSC10193,438,133,37,30,2130
SSC10194,51,11,0,0,783
SSC10195,163,107,51,18,1137
SSC10196,151,119,46,15,1065
SSC10197,33,23,14,9,201
SSC10198,319,204,130,34,1938
SSC10199,135,109,75,38,650
SSC10200,0,0,0,0,3
SSC10201,22,11,4,0,83
SSC10202,42,31,8,0,178
SSC10203,0,0,0,0,0
SSC10204,144,64,13,4,744
SSC10205,142,110,62,23,805
SSC10206,110,100,68,21,570
SSC10207,406,266,122,32,2419
SSC10208,76,63,13,7,379
SSC10209,23,20,5,0,69
SSC10210,24,13,3,8,70
SSC10211,0,0,0,0,3
SSC10212,0,0,0,0,0
