SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC11812,20,28,16,8,3,0,108,3,10,18,16,22,0,0,0,82,32,176,161,89,82,42,20,4,604,23,93,108,99,93,48,20,10,492,162,376,267,270,228,128,63,14,1513,27,17,18,22,14,13,0,0,122,9,36,28,35,43,37,15,0,205,207,431,315,335,291,175,79,15,1838,5,5,0,6,12,3,8,3,39,138,113,104,131,128,136,134,62,953,400,860,732,694,643,412,268,101,4109
SSC11813,4,3,0,3,0,0,10,0,3,5,3,4,0,0,0,22,0,7,18,7,6,6,4,0,55,0,7,17,4,9,4,3,0,47,13,23,17,35,12,9,0,0,111,3,0,0,4,0,3,0,0,10,0,0,3,0,0,4,0,0,11,13,27,19,40,20,12,0,0,131,0,3,0,0,0,3,0,0,5,10,3,8,8,5,11,7,0,51,22,49,69,62,45,48,14,3,323
SSC11814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,3,3,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,6,0,8,13,7,3,0,3,0,32
SSC11815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,3,3,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,6,4,3,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,11,4,7,5,0,0,31
SSC11816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11817,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,4,3,0,0,0,14,0,0,3,5,7,0,0,0,16,6,12,7,4,13,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,7,4,13,0,0,0,38,0,0,0,0,0,0,0,0,0,7,0,3,4,11,3,3,0,27,13,11,15,27,25,3,7,0,95
SSC11818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,33,9,7,0,0,0,0,120,71,38,9,7,0,0,0,0,125
SSC11819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,5,4,0,16,0,0,0,0,0,0,0,0,0,3,0,4,3,7,7,0,0,32,3,0,6,11,16,11,4,0,53
SSC11820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,9,0,3,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,8,4,3,6,4,0,0,30
SSC11821,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,7,3,0,0,0,18,0,0,0,0,0,3,0,0,3,0,0,0,6,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,7,4,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,3,20,0,9,10,24,12,14,0,3,67
SSC11822,6,3,3,4,0,0,21,0,0,6,3,0,0,0,0,12,7,26,16,8,16,10,7,3,104,0,16,11,20,18,15,0,3,79,31,54,61,51,57,31,6,0,290,3,4,4,3,7,0,0,0,20,0,7,12,4,4,11,0,0,39,32,60,73,59,62,46,7,3,346,0,3,0,0,3,3,0,3,12,32,19,27,26,30,43,30,6,219,72,135,135,122,141,124,47,19,793
