SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC12191,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4,10,6,17,23,11,0,0,81
SSC12192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,12,15,28,38,33,9,3,0,135
SSC12193,12,17,40,26,22,16,7,0,0,129,6,15,22,20,17,22,4,0,0,111,218,351,799,657,608,521,125,17,5,3303
SSC12194,4,3,8,14,11,10,3,0,0,47,0,0,10,11,4,4,0,0,0,28,68,70,201,213,210,174,39,3,0,972
SSC12195,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,7,17,30,26,31,40,11,0,0,149
SSC12196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,6,12,3,0,38
SSC12197,6,0,4,13,14,6,9,0,0,49,0,0,6,9,7,3,3,0,0,33,62,64,184,238,271,247,70,7,0,1140
SSC12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12199,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,12,5,36,91,78,55,46,16,0,0,320
SSC12200,7,11,20,22,7,16,0,0,0,72,0,3,19,13,14,6,0,0,0,58,105,170,376,522,424,243,47,0,0,1892
SSC12201,0,0,9,3,5,0,0,0,0,19,0,0,8,0,4,0,0,0,0,19,34,30,112,125,121,60,8,3,0,499
SSC12202,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,7,4,14,11,25,38,34,11,0,0,142
SSC12203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,0,0,23
SSC12204,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,5,7,21,20,3,0,0,69
SSC12205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SSC12206,0,0,0,4,3,0,0,0,0,10,0,0,6,4,8,0,4,0,0,25,11,23,41,54,85,51,34,6,0,303
SSC12207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12
SSC12208,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,8,3,0,0,31
SSC12209,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,12,13,31,51,62,56,17,0,0,240
SSC12210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,3,0,0,30
SSC12211,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,9,17,21,16,5,0,0,86
SSC12212,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,4,20,17,12,3,0,0,52
SSC12213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,19,7,12,0,3,0,45
SSC12214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,15
SSC12215,0,3,0,0,3,4,3,0,0,15,0,0,0,3,8,3,3,0,0,21,32,46,52,72,114,75,30,3,0,418
SSC12216,0,12,12,4,9,12,0,0,0,49,3,10,17,21,17,10,7,0,0,79,43,78,201,298,266,167,44,4,0,1101
SSC12217,0,3,5,0,3,0,0,0,0,11,0,3,14,10,7,0,0,0,0,40,15,54,256,221,156,121,46,16,0,889
SSC12218,3,11,12,13,9,14,0,0,0,68,3,4,6,21,18,14,8,0,0,74,92,152,193,316,420,329,93,13,0,1600
SSC12219,0,3,0,6,9,3,0,0,0,18,3,0,3,9,11,4,0,0,0,37,51,41,78,164,197,117,41,3,0,694
SSC12220,0,0,0,0,3,4,0,0,0,15,0,0,3,4,4,4,3,0,0,20,21,29,35,59,104,76,16,3,0,343
SSC12221,9,27,36,32,19,11,3,0,0,142,12,10,26,25,19,12,3,4,0,109,156,261,532,464,475,322,53,6,0,2263
SSC12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,10,17,9,0,0,0,47
SSC12223,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11
SSC12224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,0,0,16
SSC12225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,3,0,0,28
SSC12226,0,0,4,6,3,0,0,0,0,18,0,5,7,7,5,9,0,3,0,42,21,32,70,86,102,57,19,3,0,392
SSC12227,0,0,0,3,6,8,0,0,0,19,0,0,4,4,0,7,3,3,0,18,28,48,80,90,140,90,27,8,0,503
SSC12228,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,6,10,10,19,21,5,0,0,65
SSC12229,0,6,7,0,3,3,0,0,0,21,3,5,6,3,7,9,0,0,0,33,39,54,122,111,147,159,30,0,0,662
SSC12230,0,0,0,0,3,5,0,0,0,3,3,3,0,0,3,0,4,0,0,12,9,19,16,31,37,32,10,0,0,159
SSC12231,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,11,20,28,3,3,0,70
SSC12232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,6,12,9,18,15,7,3,0,78
