SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,3,17,11,16,30,19,23,27,0,140,9,15,5,5,25,19,7,13,27,138,128,374,317,353,482,482,317,719,68,3235
103041077,11,42,36,17,63,57,34,55,3,321,9,22,18,25,51,36,13,31,78,292,282,842,704,892,1576,1286,720,1173,169,7642
103041078,14,40,31,34,69,66,47,79,3,381,10,25,19,19,36,33,20,35,49,228,335,935,840,988,1750,1654,1004,1656,136,9304
103041079,9,18,21,14,29,34,31,47,0,202,12,18,6,7,21,45,22,29,54,221,237,565,533,587,866,993,513,1138,116,5548
104011080,15,33,20,36,60,55,24,45,0,286,19,35,20,13,41,26,17,16,48,231,246,851,692,903,1397,948,529,819,104,6499
104011081,9,27,16,30,44,41,12,39,3,220,12,29,18,17,28,33,12,26,61,224,245,731,671,791,985,782,389,873,158,5610
104011082,7,31,25,24,45,40,7,32,4,212,19,36,15,16,27,16,7,16,63,212,245,763,699,835,852,672,370,736,132,5308
104021083,0,7,10,16,11,4,13,9,0,69,5,12,16,11,6,12,3,6,20,93,84,361,315,388,351,305,146,268,43,2256
104021084,3,45,27,35,62,64,26,36,0,302,8,18,23,26,45,32,12,32,63,267,262,911,741,979,1403,1089,515,820,125,6840
104021085,4,29,14,14,38,22,16,26,3,163,4,19,12,8,24,17,8,4,32,131,130,569,449,547,825,606,267,525,60,3982
104021086,3,6,6,11,15,16,7,9,0,63,3,0,12,8,15,8,3,7,9,63,74,251,196,275,304,249,125,236,36,1735
104021087,0,3,3,8,5,9,3,3,3,36,8,6,9,8,3,6,4,4,12,56,57,180,144,202,156,122,71,215,30,1184
104021088,3,26,15,16,26,42,7,22,0,159,0,15,15,17,15,20,15,13,14,124,149,553,450,527,681,637,335,629,47,4013
104021089,4,45,31,28,60,59,30,35,4,300,13,39,30,29,47,45,19,33,72,305,248,1172,902,1159,1591,1201,625,955,152,8004
104021090,4,15,9,5,8,10,8,12,0,67,4,7,3,5,10,4,0,3,15,49,78,242,227,286,327,230,127,228,34,1780
104021091,5,31,14,29,31,16,11,32,0,164,9,28,19,20,29,26,8,21,51,211,177,629,568,753,952,712,342,624,108,4863
105011092,0,4,8,8,9,4,0,11,0,47,5,4,8,3,5,5,0,4,22,64,43,85,80,149,303,260,108,341,40,1414
105011093,3,3,6,6,8,16,5,19,0,64,5,3,3,7,11,5,5,13,20,72,103,134,147,178,256,269,239,646,53,2017
105011094,3,4,5,3,19,13,0,3,0,46,4,4,0,3,8,4,9,17,28,69,70,133,117,156,240,237,121,397,63,1527
105011095,3,3,10,6,6,19,10,10,0,67,0,5,7,3,10,11,5,4,22,72,66,185,163,202,296,354,191,571,49,2087
105011096,3,6,5,3,6,17,3,5,0,54,4,7,9,11,7,10,5,8,47,100,82,217,184,238,326,305,136,595,76,2163
105021097,14,41,31,41,62,51,27,29,3,294,11,24,10,16,33,25,20,31,74,251,324,770,587,816,1433,1085,561,1145,164,6902
105021098,0,0,3,0,3,5,3,3,0,20,0,0,0,0,5,0,0,5,18,36,28,45,56,60,115,147,50,394,36,932
105031099,5,6,3,11,12,21,5,16,0,76,15,12,11,7,8,15,6,13,32,118,112,306,290,361,423,403,249,662,69,2869
105031100,7,14,18,23,53,38,21,42,0,222,5,16,9,10,27,35,14,17,49,177,187,462,412,514,1083,883,429,735,85,4783
105031101,8,33,36,31,99,60,44,62,3,370,6,13,12,20,38,48,20,20,63,237,249,805,660,806,1893,1492,787,1225,133,8044
105031102,3,13,15,18,49,30,14,21,3,161,4,11,7,9,25,32,5,12,27,131,128,375,288,413,889,722,356,567,73,3818
105031103,3,10,14,9,23,22,14,29,3,127,6,11,7,8,14,16,6,24,33,136,101,264,237,285,469,522,243,596,71,2793
105031104,4,6,3,3,18,17,6,11,0,65,4,10,3,8,4,7,3,10,19,63,69,187,179,195,268,255,135,505,49,1853
105031105,4,9,11,13,29,22,9,20,3,118,8,3,8,7,15,22,8,17,24,116,89,236,223,286,444,442,232,616,73,2629
105031106,4,9,7,9,30,13,5,17,5,102,5,13,9,4,15,18,5,16,38,115,98,314,256,355,537,498,216,526,83,2879
106011107,11,23,23,25,44,49,40,51,0,267,6,13,18,11,22,34,16,30,33,179,206,518,514,508,776,760,519,893,78,4775
106011108,16,51,46,37,74,57,39,58,3,379,17,32,26,35,46,54,21,19,68,310,330,966,919,939,1472,1272,748,992,163,7790
106011109,7,19,12,17,22,37,12,20,0,153,16,23,17,15,16,21,5,20,31,172,135,420,410,379,557,556,287,497,82,3312
106011110,4,22,15,23,43,29,17,37,0,182,4,16,13,11,24,26,9,20,38,165,156,477,465,454,626,657,301,661,81,3885
106011111,12,41,31,34,104,69,30,40,6,366,8,35,18,26,69,60,21,24,67,331,265,803,775,797,1445,1228,637,794,131,6877
