SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
110041201,11,0,30,20,10,8,9,15,3,103,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,3,0,18,10,9,7,11,13,5,15,19,4,106,340,313,258,199,181,75,166,157,22,1720
110041202,44,11,125,58,28,33,27,54,3,381,4,0,0,0,0,0,0,0,0,9,10,11,12,3,9,8,5,4,0,65,12,19,39,20,24,17,19,47,32,226,594,1357,1079,713,715,330,255,476,76,5602
110041203,36,3,81,38,13,17,15,20,0,233,0,0,0,0,3,0,0,3,0,6,7,10,10,5,5,6,3,9,0,47,5,20,16,16,11,11,11,31,25,151,537,1535,670,527,475,258,170,312,61,4546
110041204,11,3,28,18,12,11,3,12,0,90,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,7,3,3,12,11,3,6,11,30,3,85,87,180,216,157,104,78,77,169,10,1074
110041205,40,7,86,40,32,14,15,44,4,281,0,0,0,0,0,0,0,3,0,8,13,4,6,0,10,5,12,6,0,51,31,13,36,18,28,21,26,41,17,239,944,1151,948,557,626,245,288,402,80,5243
111011206,17,9,120,34,27,19,6,27,0,270,0,0,0,0,0,0,0,0,0,7,4,14,7,12,10,3,4,4,3,55,10,12,12,14,15,13,10,14,17,111,569,1312,1094,601,689,281,228,278,51,5103
111011207,4,4,39,13,17,8,3,8,0,96,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,13,0,4,3,6,3,3,6,13,4,42,138,283,325,187,182,84,87,107,28,1418
111011208,42,7,149,55,52,45,16,34,3,389,0,0,0,0,0,0,0,0,0,3,14,8,3,11,8,0,4,6,3,57,12,17,33,18,15,20,9,20,22,170,862,2588,1363,857,1032,393,270,359,98,7823
111011209,39,21,146,51,36,31,19,27,9,384,0,0,0,0,0,3,0,0,0,10,10,16,12,3,16,4,9,3,0,78,7,12,31,22,18,19,13,15,26,150,755,2189,1373,826,997,409,320,334,100,7302
111011210,18,0,53,18,7,17,7,18,0,131,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,17,3,8,10,9,0,11,7,12,6,64,190,446,380,262,249,132,106,126,27,1907
111011211,4,0,22,3,4,7,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,0,0,0,6,0,4,4,5,23,148,372,168,93,114,41,30,41,14,1033
111011212,12,5,63,24,19,13,8,12,0,152,0,0,0,0,0,3,0,0,0,7,0,4,7,5,3,0,3,5,0,32,3,5,11,4,11,5,16,11,10,79,396,779,630,359,365,168,151,188,46,3078
111011213,17,4,57,24,24,24,8,7,3,163,0,0,0,0,0,0,0,0,0,0,3,15,11,4,9,6,8,3,0,55,13,3,3,8,10,6,3,7,6,66,600,1486,602,379,564,189,114,116,36,4079
111011214,14,3,88,41,23,19,8,26,0,228,0,0,0,0,0,0,0,0,0,3,3,4,8,3,3,0,3,7,0,35,6,7,14,12,7,8,5,13,9,80,497,1260,698,469,589,225,185,192,47,4157
111021215,9,4,52,17,14,15,4,24,3,139,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,5,3,22,0,5,10,5,3,6,10,11,7,52,194,462,420,328,248,139,126,150,37,2101
111021216,12,3,41,22,15,20,7,13,0,132,0,0,0,0,0,0,0,0,0,0,3,5,4,5,0,0,6,0,3,25,0,3,12,5,8,4,10,9,9,67,247,610,509,321,299,158,129,158,44,2476
111021217,24,9,104,37,26,21,10,20,0,253,0,0,0,0,0,0,0,0,0,3,8,6,9,0,4,3,8,3,0,49,10,6,22,16,14,9,9,17,11,119,435,1012,921,522,590,231,268,234,61,4268
111021218,24,3,65,33,29,24,11,26,5,212,0,0,0,0,0,0,0,3,0,5,0,7,6,3,5,3,3,0,0,26,12,15,27,19,7,7,8,22,13,124,407,980,763,436,452,201,198,274,66,3769
111021219,21,10,76,27,20,20,13,20,5,216,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,7,8,4,39,3,7,18,12,13,11,6,10,16,94,398,941,630,439,449,204,180,211,67,3520
111021220,16,10,57,25,19,13,7,17,0,153,0,0,0,0,0,0,0,0,0,0,3,8,5,0,4,3,3,0,6,32,8,3,6,7,5,3,5,9,3,59,293,673,545,328,316,139,156,140,23,2617
111021221,6,6,36,15,14,15,12,13,0,113,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,3,3,0,12,4,4,8,3,4,3,3,13,7,45,136,310,490,240,218,81,161,148,25,1808
111031222,23,11,104,27,31,28,13,14,10,260,0,0,0,3,0,0,0,0,0,4,8,16,3,6,15,5,10,8,3,70,10,12,11,10,18,3,3,6,18,96,710,2041,821,496,713,250,166,233,78,5504
111031223,3,0,43,21,10,13,6,17,0,118,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,4,19,4,4,12,3,3,4,10,7,6,56,119,245,393,259,202,124,145,177,25,1685
111031224,18,9,77,37,19,26,4,5,3,188,0,0,0,0,0,0,0,0,0,0,4,17,3,4,8,8,4,3,0,48,5,18,16,4,5,3,6,7,14,76,554,1624,485,401,487,206,102,136,45,4048
111031225,22,6,92,44,40,27,12,15,0,253,0,0,0,0,0,0,0,0,0,0,9,11,11,3,10,3,4,3,0,54,11,14,16,10,14,8,6,14,18,114,692,2285,770,557,730,291,156,192,76,5744
111031226,24,4,100,27,26,33,16,18,0,244,0,0,0,0,0,0,0,0,0,4,8,13,9,3,9,0,9,0,0,53,5,12,17,14,11,8,11,12,22,95,432,1169,857,516,568,232,241,237,70,4313
111031227,26,4,111,46,22,30,4,23,3,279,0,0,0,0,0,0,0,10,0,16,3,19,9,6,4,3,0,6,0,57,5,11,16,9,3,3,9,15,17,88,431,1605,738,623,584,279,168,250,57,4743
111031228,23,13,83,33,27,8,4,9,3,207,0,0,0,0,0,0,0,0,0,3,9,12,3,4,9,3,6,0,5,63,13,13,10,16,13,6,4,9,5,86,794,2434,625,464,593,242,112,135,50,5450
111031229,27,8,61,22,19,8,8,15,3,176,0,0,0,0,0,0,0,0,0,3,8,17,6,9,6,0,3,0,0,46,5,14,5,0,8,0,4,5,10,54,613,2323,456,382,456,201,58,90,59,4632
111031230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111031231,3,0,41,22,12,12,3,13,0,120,0,0,3,3,0,0,0,3,0,8,0,8,8,5,3,3,0,5,3,31,0,9,9,7,4,9,6,17,9,58,143,647,385,396,238,189,124,208,32,2363
111031232,11,0,41,8,16,10,7,4,0,97,0,0,0,0,0,0,0,0,0,0,6,13,3,3,0,0,3,0,0,36,6,5,12,13,5,5,3,5,6,60,234,522,379,219,245,78,99,99,26,1905
111031233,32,9,112,44,30,35,20,29,3,312,0,3,0,0,0,0,0,3,0,9,3,13,8,0,3,0,6,7,4,51,10,16,21,14,22,6,15,20,16,143,535,1732,950,688,726,269,273,287,69,5524
111031234,14,6,74,43,23,13,14,11,0,204,0,0,0,0,0,0,0,0,3,9,4,16,4,15,5,0,3,3,0,55,7,6,3,10,11,3,12,13,14,76,322,1244,594,538,452,229,139,218,44,3776
111031235,19,9,81,33,13,7,6,10,3,182,0,0,0,0,0,0,0,0,0,0,3,16,3,3,8,3,0,4,0,44,4,9,12,5,5,4,0,4,5,52,332,1255,418,410,355,143,94,128,46,3176
112011236,32,10,118,46,20,34,9,22,3,301,0,0,0,0,0,0,0,0,0,6,5,7,3,8,6,7,0,7,3,40,9,8,25,20,8,16,13,36,15,144,460,1123,721,636,455,286,127,314,67,4190
112011237,32,4,115,52,29,31,12,30,5,307,3,0,0,0,0,0,0,0,0,4,13,13,0,3,6,0,3,5,0,56,14,16,21,12,17,9,13,17,24,136,782,1491,803,577,576,267,171,318,82,5067
112011238,12,0,43,19,14,5,5,14,0,115,0,0,0,0,0,0,0,0,0,5,11,6,0,4,4,3,0,3,0,32,16,6,12,13,6,7,6,7,8,80,374,625,259,200,178,92,37,102,31,1892
112011239,18,5,61,28,7,20,6,21,0,162,0,0,3,0,0,0,0,0,0,3,3,7,5,0,5,3,0,6,0,36,5,10,15,19,4,7,3,15,10,95,274,750,425,369,236,161,58,195,33,2509
112011240,21,5,98,44,14,22,3,22,4,235,0,0,3,0,0,0,0,0,0,6,10,18,8,6,9,3,3,5,0,56,10,13,9,10,8,24,3,12,10,96,503,995,435,402,250,221,66,220,53,3136
112011241,15,0,39,13,9,4,3,5,0,93,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,14,7,0,3,8,3,11,6,11,10,59,148,286,229,203,113,60,73,95,25,1213
112011242,20,0,53,44,18,14,3,9,0,168,0,0,0,0,0,0,0,0,0,0,4,12,5,3,4,0,0,0,0,34,0,7,16,8,9,3,0,4,13,57,382,1022,389,327,289,162,43,120,40,2774
112011243,19,12,51,25,7,12,3,18,3,143,0,0,0,0,0,0,0,0,0,4,7,10,5,9,0,3,3,3,3,40,12,14,18,10,12,11,3,12,6,93,307,671,359,270,188,141,62,166,36,2203
112021244,13,3,66,31,7,22,3,51,0,190,0,0,0,0,0,0,0,6,0,5,3,0,0,0,4,3,3,3,3,26,6,10,15,16,8,11,17,30,15,123,198,407,384,351,295,162,129,339,43,2308
112021245,14,0,30,12,3,9,4,21,0,96,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,8,0,14,14,6,10,12,3,9,10,19,11,86,314,271,250,174,149,58,91,187,31,1521
112021246,20,10,87,32,21,21,4,29,0,227,0,0,0,0,0,0,0,4,0,3,3,11,4,3,0,5,0,3,0,31,8,8,8,8,11,11,4,16,13,83,335,977,586,496,524,255,138,255,39,3608
112021247,13,0,35,13,7,4,7,20,0,96,0,0,0,0,0,0,0,0,0,7,3,3,0,3,0,0,0,3,0,8,18,5,10,3,3,7,7,11,3,67,269,367,234,217,168,66,68,181,27,1599
112021248,15,3,107,54,15,17,6,37,3,264,0,3,0,0,0,0,0,4,0,11,5,6,7,3,0,4,6,4,0,36,0,4,16,8,10,7,6,22,13,93,309,1070,642,657,462,253,150,327,53,3922
112021249,27,5,86,30,16,14,9,28,3,224,0,3,0,0,0,0,0,0,0,3,7,13,10,3,9,3,6,3,0,56,27,10,17,18,12,20,15,26,13,159,767,1397,702,569,530,220,186,329,57,4748
112031250,27,13,81,40,24,19,14,18,0,239,0,0,0,0,0,0,0,0,0,5,3,10,4,9,6,0,0,5,4,48,3,14,14,9,9,13,3,7,17,94,520,1167,597,495,417,229,112,213,59,3806
112031251,13,0,53,18,10,15,11,13,4,138,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,0,3,5,0,23,4,7,16,20,5,13,12,10,6,93,204,464,389,302,248,144,117,179,31,2080
112031252,18,3,51,29,20,10,5,14,0,157,0,0,0,0,0,0,0,0,0,3,11,6,3,4,0,0,4,6,0,34,15,9,19,6,3,8,13,22,14,117,379,649,462,297,277,138,130,210,54,2599
112031253,26,12,108,49,26,30,7,24,0,285,0,0,0,0,0,0,0,4,0,5,4,3,3,6,3,3,3,0,0,36,6,12,16,9,10,13,13,14,12,95,425,992,749,491,396,208,134,249,41,3688
112031254,30,10,156,50,33,26,16,44,3,370,0,0,0,0,3,0,0,0,0,4,8,10,6,8,0,0,3,7,0,43,20,4,18,21,16,10,11,25,24,160,490,1030,933,711,462,295,190,381,67,4559
112031550,33,9,119,65,42,28,11,22,3,327,0,0,0,0,0,0,0,0,0,7,3,3,8,3,10,4,3,7,3,44,9,10,17,12,7,15,14,20,10,117,402,835,706,639,491,289,148,264,51,3830
112031551,3,0,24,11,10,11,0,3,0,62,0,0,0,0,0,0,0,0,0,0,5,3,3,3,3,0,0,4,3,16,3,3,3,0,0,0,0,4,3,25,128,292,195,118,156,56,26,59,22,1042
112031552,12,3,65,26,11,14,6,20,0,161,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,3,0,15,0,0,13,13,9,11,4,4,4,55,115,279,283,304,181,121,67,148,31,1523
113011256,33,4,107,41,32,33,9,55,0,321,0,0,0,3,3,0,0,8,0,18,12,5,3,9,3,4,0,18,5,69,14,6,17,16,20,14,17,61,31,201,636,1091,923,560,539,295,223,583,81,4934
113011257,24,3,61,31,18,13,12,38,0,195,0,0,0,0,0,0,0,0,0,3,15,0,0,0,10,0,3,0,0,39,51,4,17,16,13,12,27,55,23,227,829,536,503,303,373,143,214,383,55,3342
113011258,24,0,51,30,17,9,4,32,3,166,0,0,0,3,0,0,0,0,0,5,7,4,3,0,0,0,4,6,0,28,27,10,14,14,15,11,24,32,7,150,346,543,484,226,280,101,151,285,50,2468
113011259,12,0,21,12,6,3,0,11,0,73,0,0,0,0,0,0,0,0,0,5,4,0,0,3,3,3,0,0,0,14,17,3,3,6,11,8,7,15,6,76,302,257,228,151,134,57,62,142,23,1347
113021260,5,0,7,11,0,0,3,11,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,0,7,0,7,0,7,8,0,44,221,113,120,95,65,22,67,94,5,809
113021261,12,3,35,13,7,4,10,16,0,94,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,3,0,18,6,3,8,10,9,6,10,16,5,69,160,317,334,179,173,68,129,113,13,1482
113021262,13,0,8,12,6,3,3,12,0,63,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,5,3,3,26,14,6,11,9,5,3,5,18,5,75,238,255,217,132,120,41,95,138,21,1261
113031263,10,0,41,16,13,5,3,21,0,104,0,0,0,0,0,0,0,0,0,5,0,4,3,6,3,0,0,7,0,25,12,0,8,0,4,9,7,14,8,66,268,388,284,242,185,90,93,177,24,1754
113031264,6,0,14,6,4,11,3,16,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,13,0,3,9,0,4,6,15,6,49,191,142,143,103,73,45,52,112,10,875
113031265,6,0,30,11,7,7,8,17,0,88,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,3,0,9,8,3,7,6,13,5,6,13,5,72,275,246,198,208,155,65,101,140,21,1400
113031266,10,0,34,15,5,12,7,6,0,95,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,6,15,3,4,5,10,10,0,6,3,58,345,349,268,187,161,91,73,97,16,1582
