SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50637,0,0,0,0,0,0,0,5,0,5,21,9,5,11,9,15,17,13,0,107
SAL50638,79,79,67,87,90,96,56,28,13,583,2000,1427,870,1327,1626,1769,1471,549,162,11200
SAL50639,28,12,28,25,30,5,12,6,0,143,334,206,201,231,223,232,230,121,32,1807
SAL50640,0,5,0,0,0,3,0,0,0,18,12,5,0,12,4,11,11,17,0,72
SAL50641,78,35,68,57,54,30,29,46,78,467,814,449,607,703,553,461,344,218,175,4323
SAL50642,0,0,3,0,0,0,0,0,0,5,16,3,9,3,10,9,3,0,0,54
SAL50643,3,0,0,6,0,0,0,0,0,12,3,3,7,12,10,14,13,4,0,59
SAL50644,0,0,3,0,0,0,0,0,0,3,8,11,5,8,12,15,4,3,4,61
SAL50645,96,56,64,74,54,31,31,11,0,429,1627,886,990,1229,939,659,458,174,30,6987
SAL50646,3,0,0,0,6,5,0,3,0,14,19,7,6,13,30,34,23,10,0,140
SAL50647,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,9,4,0,3,31
SAL50648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50649,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,9
SAL50650,3,0,3,4,4,0,0,0,0,11,13,0,9,8,12,3,0,0,0,46
SAL50651,0,0,0,0,0,6,0,4,0,13,0,0,0,0,3,7,6,4,0,22
SAL50652,0,3,3,0,0,0,0,0,0,14,0,9,3,6,8,0,4,0,0,39
SAL50653,0,0,3,4,3,0,3,3,0,17,54,40,25,31,48,51,36,26,4,313
SAL50654,16,6,18,10,14,26,18,9,0,119,210,45,146,134,140,172,153,84,16,1115
SAL50655,0,0,3,0,4,0,3,0,0,15,27,12,9,17,18,29,29,24,5,161
SAL50656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50657,7,9,7,5,8,21,12,4,0,78,103,89,56,51,118,140,95,57,5,713
SAL50658,4,0,0,3,0,0,0,0,0,15,11,12,5,13,25,17,17,5,0,112
SAL50659,0,0,0,0,0,0,0,0,0,3,7,0,10,7,14,8,0,0,0,45
SAL50660,0,4,0,0,0,0,0,0,0,5,4,4,0,3,4,6,6,0,0,26
SAL50661,163,75,75,93,79,59,46,18,5,630,2038,1202,1239,1392,1199,921,715,240,72,9021
SAL50662,13,0,0,13,11,13,8,4,5,65,75,26,31,63,60,48,45,21,14,384
SAL50663,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,12
SAL50664,44,54,20,27,71,66,19,9,4,320,936,905,324,550,1118,1102,521,165,50,5669
SAL50665,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,4,0,16
SAL50666,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,5,0,0,0,21
SAL50667,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,6,0,0,0,18
SAL50668,48,36,48,43,50,35,39,21,19,337,939,654,854,932,809,766,527,229,125,5837
SAL50669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,13
SAL50670,95,69,188,106,75,66,67,95,107,876,1350,872,2325,1651,924,877,761,511,329,9592
SAL50671,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,4
SAL50672,0,0,0,4,0,0,0,0,0,7,19,6,3,15,13,20,20,0,3,98
SAL50673,0,0,0,0,5,0,0,0,0,8,26,19,20,14,33,5,3,0,0,133
SAL50674,0,0,0,0,0,0,3,0,0,10,14,6,0,3,15,12,20,7,0,72
SAL50675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50676,0,0,0,0,3,0,3,0,0,6,12,3,9,8,8,10,10,3,0,57
SAL50677,0,0,0,0,0,0,0,0,0,5,6,8,4,7,9,9,3,0,0,53
SAL50678,3,6,0,4,0,3,0,0,0,19,23,8,6,22,5,12,0,0,0,71
SAL50679,3,0,0,0,5,7,6,3,0,28,15,6,8,9,15,34,44,25,3,163
SAL50680,5,0,0,0,0,0,0,0,0,9,6,12,3,5,12,3,0,0,0,41
SAL50681,6,8,0,7,0,3,5,0,0,27,33,40,18,25,43,50,56,29,0,291
SAL50682,15,21,12,19,24,22,13,9,6,142,388,328,262,285,381,388,339,125,33,2533
SAL50683,26,45,33,15,41,33,11,0,0,216,665,501,461,453,603,559,269,125,32,3670
SAL50684,0,0,0,0,0,0,3,0,0,10,31,13,11,24,19,23,27,0,4,157
SAL50685,0,0,0,0,0,0,0,0,0,0,9,4,10,6,3,3,0,0,0,35
SAL50686,19,5,6,17,20,18,8,5,0,108,255,108,106,154,205,194,95,68,16,1205
SAL50687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,9
SAL50688,12,0,0,0,0,0,0,0,0,18,28,6,3,21,30,15,28,15,0,154
SAL50689,0,0,0,0,0,0,0,0,0,3,6,6,0,6,12,4,8,0,0,56
SAL50690,5,0,0,0,0,0,4,0,0,14,26,0,9,10,9,8,16,3,0,75
SAL50691,5,5,9,4,8,0,0,0,0,30,15,28,50,25,41,17,4,4,6,183
SAL50692,17,13,3,9,12,8,4,0,0,66,88,35,46,43,42,59,29,8,0,353
SAL50693,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,5,0,4,24
SAL50694,0,0,3,0,0,0,0,0,0,5,107,48,52,38,28,22,10,0,0,306
SAL50695,0,0,0,0,0,3,0,0,0,3,11,6,0,10,0,12,3,7,0,49
SAL50696,42,48,33,32,66,31,15,0,0,269,799,598,526,589,709,502,232,68,7,4044
SAL50697,4,0,0,0,0,4,0,0,0,15,10,9,8,10,9,16,5,0,0,68
SAL50698,4,0,0,6,0,3,0,0,0,12,34,16,6,19,20,24,13,3,0,139
SAL50699,0,0,0,0,0,0,0,0,0,0,14,0,14,10,5,12,11,0,0,63
SAL50700,4,6,4,6,5,9,25,16,4,80,134,137,204,154,152,114,203,230,149,1479
SAL50701,77,98,117,84,109,98,72,47,41,735,1190,1411,1461,1139,1139,1267,906,431,246,9193
SAL50702,46,43,75,54,50,49,20,14,15,369,750,446,1130,961,668,540,376,238,173,5283
SAL50703,11,4,4,9,7,19,10,8,0,69,51,28,20,36,63,92,62,35,8,406
SAL50704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50705,28,11,20,26,36,31,44,16,7,228,275,131,183,216,259,345,387,148,36,1985
SAL50706,0,0,0,0,0,0,0,0,0,7,8,0,4,3,7,3,8,0,0,36
SAL50707,74,34,35,63,61,55,54,67,32,470,1157,715,500,779,991,982,1025,737,284,7163
SAL50708,3,4,3,4,7,5,0,0,0,28,27,6,9,29,28,28,11,5,0,147
SAL50709,21,18,23,26,34,45,46,18,4,241,180,110,128,149,198,301,275,109,27,1478
SAL50710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50711,13,5,5,13,10,6,7,0,0,67,158,127,59,89,129,124,110,53,3,840
SAL50712,55,57,85,59,59,55,34,22,24,447,598,484,749,502,494,459,234,130,70,3711
SAL50713,0,0,0,0,0,0,0,0,0,8,15,15,8,12,14,15,8,6,0,91
SAL50714,40,45,40,41,47,38,35,22,14,319,852,681,449,625,764,746,728,342,123,5305
SAL50715,9,5,0,3,4,0,5,0,0,20,21,3,15,14,12,7,16,4,0,90
SAL50716,22,0,0,0,6,8,7,3,0,51,99,87,45,53,49,38,11,3,0,388
SAL50717,67,36,49,47,38,34,14,10,4,295,171,110,121,114,117,100,57,12,4,802
SAL50718,57,47,42,53,45,24,23,4,0,289,370,210,213,242,244,230,115,33,11,1666
SAL50719,3,0,0,3,0,6,8,9,0,43,84,33,28,54,68,99,105,46,3,512
SAL50720,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,12
SAL50721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50722,0,0,0,6,3,3,5,7,0,22,24,17,7,14,32,42,80,17,6,239
SAL50723,0,0,0,0,3,0,0,0,0,4,18,3,6,9,4,5,3,0,0,65
SAL50724,16,38,34,9,28,19,10,7,0,150,253,453,293,193,208,209,163,63,14,1842
SAL50725,79,85,87,62,67,85,41,22,14,547,1269,1193,1252,1103,1089,1369,1091,582,190,9137
SAL50726,0,0,4,3,0,0,0,0,0,11,0,4,15,3,0,8,0,5,0,39
SAL50727,3,3,0,4,4,0,0,4,0,18,25,17,12,10,21,13,9,11,5,105
SAL50728,0,5,0,0,9,0,0,0,0,15,84,23,49,50,34,29,3,0,0,270
SAL50729,0,0,0,0,0,0,0,0,0,6,7,0,0,4,4,9,4,6,0,34
