SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL31133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31134,0,0,0,0,0,0,0,0,0,5,6,0,6,0,0,0,6,5,0,11
SAL31135,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,3,0,8
SAL31136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31137,0,0,0,0,0,0,0,0,0,48,59,14,121,0,9,12,135,89,0,223
SAL31138,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,6,8,0,17
SAL31139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31140,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
SAL31141,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,12,8,0,19
SAL31142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL31144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31145,0,0,0,0,0,0,0,0,0,44,37,4,90,0,0,3,93,42,0,137
SAL31146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
