ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
SA3,12702,12702,Fairfield,123.7701
SA3,12703,12703,Liverpool,123.8297
SA3,12801,12801,Cronulla - Miranda - Caringbah,55.6181
SA3,12802,12802,Sutherland - Menai - Heathcote,240.2471
SA3,19797,19797,Migratory - Offshore - Shipping (NSW),0
SA3,19999,19999,No usual address (NSW),0
SA3,20101,20101,Ballarat,448.3487
SA3,20102,20102,Creswick - Daylesford - Ballan,3666.673
SA3,20103,20103,Maryborough - Pyrenees,6172.4542
SA3,20201,20201,Bendigo,287.4438
SA3,20202,20202,Heathcote - Castlemaine - Kyneton,3920.9382
SA3,20203,20203,Loddon - Elmore,7633.5242
SA3,20301,20301,Barwon - West,2579.8385
SA3,20302,20302,Geelong,918.8917
SA3,20303,20303,Surf Coast - Bellarine Peninsula,929.9691
SA3,20401,20401,Upper Goulburn Valley,13959.3182
SA3,20402,20402,Wangaratta - Benalla,6545.0857
SA3,20403,20403,Wodonga - Alpine,13501.1315
SA3,20501,20501,Baw Baw,3933.8416
SA3,20502,20502,Gippsland - East,21713.8498
SA3,20503,20503,Gippsland - South West,4381.6191
SA3,20504,20504,Latrobe Valley,1479.6674
SA3,20505,20505,Wellington,10044.7738
SA3,20601,20601,Brunswick - Coburg,20.4133
SA3,20602,20602,Darebin - South,14.0275
SA3,20603,20603,Essendon,18.215
SA3,20604,20604,Melbourne City,31.4622
SA3,20605,20605,Port Phillip,25.6958
SA3,20606,20606,Stonnington - West,11.9294
SA3,20607,20607,Yarra,20.6163
SA3,20701,20701,Boroondara,60.0157
SA3,20702,20702,Manningham - West,48.6724
SA3,20703,20703,Whitehorse - West,38.0551
SA3,20801,20801,Bayside,37.2111
SA3,20802,20802,Glen Eira,40.7002
SA3,20803,20803,Kingston,69.8633
SA3,20804,20804,Stonnington - East,13.722
SA3,20901,20901,Banyule,62.6133
SA3,20902,20902,Darebin - North,39.4436
SA3,20903,20903,Nillumbik - Kinglake,751.7682
SA3,20904,20904,Whittlesea - Wallan,997.4394
SA3,21001,21001,Keilor,42.425
SA3,21002,21002,Macedon Ranges,992.107
SA3,21003,21003,Moreland - North,30.3779
SA3,21004,21004,Sunbury,260.6847
SA3,21005,21005,Tullamarine - Broadmeadows,294.0954
SA3,21101,21101,Knox,118.3019
SA3,21102,21102,Manningham - East,66.5619
SA3,21103,21103,Maroondah,61.1872
SA3,21104,21104,Whitehorse - East,26.5696
SA3,21105,21105,Yarra Ranges,1605.937
SA3,21201,21201,Cardinia,1282.327
SA3,21202,21202,Casey - North,116.503
SA3,21203,21203,Casey - South,292.9259
SA3,21204,21204,Dandenong,151.0513
SA3,21205,21205,Monash,79.4733
SA3,21301,21301,Brimbank,106.8497
SA3,21302,21302,Hobsons Bay,62.2158
SA3,21303,21303,Maribyrnong,31.2254
SA3,21304,21304,Melton - Bacchus Marsh,671.9436
SA3,21305,21305,Wyndham,544.1195
SA3,21401,21401,Frankston,129.598
SA3,21402,21402,Mornington Peninsula,724.1679
SA3,21501,21501,Grampians,38139.2062
SA3,21502,21502,Mildura,22082.4836
SA3,21503,21503,Murray River - Swan Hill,17851.0467
SA3,21601,21601,Campaspe,4554.5687
SA3,21602,21602,Moira,4046.3738
SA3,21603,21603,Shepparton,2333.1626
SA3,21701,21701,Glenelg - Southern Grampians,12946.1764
SA3,21703,21703,Colac - Corangamite,7936.5548
SA3,21704,21704,Warrnambool,5496.1773
SA3,29797,29797,Migratory - Offshore - Shipping (Vic.),0
SA3,29999,29999,No usual address (Vic.),0
SA3,30101,30101,Capalaba,89.2959
SA3,30102,30102,Cleveland - Stradbroke,480.9783
SA3,30103,30103,Wynnum - Manly,82.8584
SA3,30201,30201,Bald Hills - Everton Park,35.9309
SA3,30202,30202,Chermside,32.2389
SA3,30203,30203,Nundah,87.0319
SA3,30204,30204,Sandgate,31.7473
SA3,30301,30301,Carindale,26.5108
SA3,30302,30302,Holland Park - Yeronga,27.565
SA3,30303,30303,Mt Gravatt,79.3868
SA3,30304,30304,Nathan,24.4776
SA3,30305,30305,Rocklea - Acacia Ridge,85.2444
