SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL51201,422,302,728,42,47,89,3,0,3,0,4,4,6,3,10,0,0,0,78,88,170,0,0,0,0,0,4,0,0,0,0,0,0,96,96,193,4,6,5,0,0,0,138,150,293,188,98,282,751,553,1301
SAL51202,64,66,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,6,5,12,67,69,141
SAL51203,12,13,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,0,0,0,0,0,0,7,10,16,8,4,5,27,21,47
SAL51204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51205,1065,1070,2137,24,36,61,3,5,7,0,0,0,0,0,0,0,0,0,58,53,114,0,0,0,0,0,0,0,0,0,0,0,0,62,61,123,0,4,10,6,0,4,88,103,193,47,39,83,1205,1208,2413
SAL51206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL51207,26,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,10,3,18,0,0,0,35,21,54
SAL51208,267,239,510,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,26,26,51,0,0,0,0,0,0,0,0,0,0,0,0,24,26,52,0,0,0,0,3,3,34,35,62,16,8,22,322,282,599
SAL51209,2564,2619,5185,51,45,99,9,6,12,8,4,10,4,0,4,3,7,9,207,213,423,0,0,0,3,0,4,0,0,3,0,0,0,227,230,462,11,16,29,8,0,12,297,295,596,83,72,155,2949,2984,5932
SAL51210,2532,2481,5014,63,53,116,4,0,6,8,5,7,7,6,14,0,0,3,225,238,468,5,5,8,4,3,4,0,0,0,0,0,0,251,252,504,16,14,28,19,12,34,345,340,681,233,196,426,3104,3016,6122
SAL51211,24,24,56,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,7,4,33,34,68
SAL51212,13,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,39
SAL51213,44,33,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,48,35,83
SAL51214,26,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,11,0,16,0,0,0,31,28,59
