SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10060,0,0,0,0,0,0,4,0,0,4,0,0,4,0,3,0,0,0,0,15,11,20,24,22,47,32,9,0,0,158
SAL10061,4,3,19,13,21,14,0,0,0,71,3,0,14,17,13,9,5,0,0,64,129,132,271,273,379,353,81,19,0,1633
SAL10062,0,8,40,42,30,20,12,0,0,152,7,18,54,49,37,33,5,0,0,196,142,400,1327,1349,1190,714,249,26,3,5403
SAL10063,3,6,4,4,7,3,3,0,0,39,6,3,10,3,10,4,3,0,0,39,57,98,94,135,175,138,55,6,0,760
SAL10064,8,8,12,12,12,3,0,0,0,55,0,7,25,20,12,7,0,0,0,71,108,134,360,428,305,196,38,6,0,1559
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,27
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,6,0,0,0,21
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,11
SAL10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,4,3,7,9,13,10,0,0,52
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
SAL10070,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,6,3,19,25,39,56,14,0,0,169
SAL10071,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,8,3,5,11,11,26,26,10,4,0,95
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10073,4,4,6,3,16,14,0,0,0,50,0,0,3,3,17,6,4,0,0,27,51,58,96,108,176,167,69,13,0,743
SAL10074,0,4,0,6,6,4,0,0,0,18,4,6,7,4,7,9,0,0,0,42,38,65,109,117,163,142,25,0,0,669
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,4,0,7,3,0,0,20
SAL10076,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,4,12,10,24,17,12,9,6,94
SAL10077,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,9,10,25,17,35,50,7,3,0,157
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11
SAL10079,0,6,10,8,6,4,0,0,0,35,0,0,7,4,6,14,0,0,0,31,38,58,137,139,101,88,15,0,0,585
SAL10080,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,4,12,12,7,12,25,7,4,0,79
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
SAL10082,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,4,0,0,13,4,10,12,38,37,42,37,5,0,176
SAL10083,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,3,0,4,0,4,0,0,23
SAL10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12
SAL10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,17,18,19,7,0,0,68
SAL10086,27,29,93,60,60,61,12,4,0,348,27,31,62,62,52,34,17,11,0,295,765,1122,2290,1955,1871,1746,556,92,11,10396
SAL10087,7,13,54,30,29,18,6,0,0,161,5,32,103,52,33,16,3,0,0,251,141,486,1959,1340,852,560,130,10,0,5480
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,16,42,24,29,29,15,3,0,163
SAL10090,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,8,22,24,34,62,74,66,20,0,0,305
SAL10091,0,9,37,21,12,21,15,0,0,114,5,6,43,69,32,21,15,0,0,189,110,357,1203,1540,945,518,192,21,4,4888
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,6,4,4,0,0,0,23
SAL10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,0,0,0,21
SAL10094,0,0,5,14,17,13,7,0,0,61,8,10,6,13,18,16,4,0,0,72,83,147,196,321,428,330,86,7,0,1601
SAL10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,9,13,26,21,12,0,0,88
SAL10096,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,4,7,17,33,29,5,0,0,110
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,11
SAL10098,0,4,0,10,5,4,0,0,0,33,0,15,14,26,11,16,0,0,0,88,47,122,186,171,151,147,19,0,0,837
SAL10099,0,29,95,74,57,51,13,0,0,323,3,57,229,108,75,40,23,7,0,545,218,1260,4048,2737,1859,1383,387,29,5,11925
SAL10100,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,15,14,13,20,28,56,65,24,3,4,219
SAL10101,0,7,5,0,0,0,0,0,0,11,0,0,3,0,5,4,0,0,0,3,13,14,44,21,35,39,5,0,0,178
SAL10102,3,3,17,13,6,10,8,0,0,61,4,16,20,10,26,10,5,0,0,90,92,175,264,237,236,217,70,6,0,1295
SAL10103,3,18,21,11,10,19,3,0,0,92,8,3,24,20,11,11,0,0,0,71,214,208,405,502,563,408,82,8,0,2396
SAL10104,4,9,27,17,20,15,0,0,0,95,4,4,35,34,31,12,6,0,0,124,105,250,769,1010,633,370,108,8,4,3266
SAL10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,7,7,0,27
SAL10106,0,0,4,4,0,0,0,0,0,10,0,4,0,4,4,3,0,0,0,22,13,15,54,61,64,51,20,3,0,278
SAL10107,5,49,96,57,52,38,9,3,0,312,34,233,482,234,183,135,31,0,0,1335,353,2422,4703,2556,1649,1315,287,21,0,13300
SAL10108,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,5,0,13,18,17,9,3,0,67
SAL10109,0,10,3,6,7,11,0,0,0,39,0,0,6,6,8,3,5,0,0,33,67,72,219,295,312,271,74,3,0,1313
SAL10110,0,15,33,27,12,3,5,0,0,101,0,15,69,47,24,16,6,4,0,179,92,264,1092,818,399,220,52,6,0,2950
SAL10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,4,8,26,18,7,0,0,77
