SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
314011383,6945,7253,14202,4212,2442,6657,849,2217,3069,213,273,484,263,272,535,5543,5204,10743,1202,1887,3090,4.7,5.2,5,79.8,71.7,75.6,75.9,68,71.9,238,212,447,97,164,255,796,1280,2081,767,967,1732,2065,987,3051,52,97,157,102,177,276,2221,1269,3489,7241,7376,14618,1498,1570,3068,4267,4248,8514,4015,4308,8320
314011384,3333,3321,6651,1637,879,2518,398,971,1366,120,117,231,115,75,187,2273,2035,4306,834,1083,1919,5.1,3.7,4.3,68.2,61.3,64.7,64.7,59.2,61.9,99,125,227,55,114,167,384,576,964,324,421,740,973,335,1308,31,53,81,49,89,141,1052,472,1526,3451,3410,6861,459,470,929,2425,2381,4813,1319,1340,2653
314011385,2984,3050,6041,1786,975,2764,360,1016,1373,102,86,185,119,102,223,2361,2185,4544,529,787,1316,5,4.7,4.9,79.1,71.6,75.2,75.3,68.1,71.5,142,98,238,69,102,168,420,617,1039,365,415,784,814,341,1155,21,31,51,37,72,104,875,446,1317,3280,3363,6641,438,443,875,2397,2427,4823,1184,1233,2415
314011386,8982,9336,18318,4860,2843,7699,1133,2851,3982,240,360,600,357,261,619,6592,6311,12903,2124,2780,4904,5.4,4.1,4.8,73.4,67.6,70.4,69.4,64.8,67,431,406,833,240,418,656,1476,2044,3522,910,1075,1985,2321,977,3294,68,122,182,139,218,356,2524,1312,3834,9508,9705,19212,1345,1387,2732,6768,6959,13722,3599,3733,7329
314011387,4598,4697,9294,2201,1188,3383,683,1486,2169,148,149,294,156,128,281,3182,2945,6128,1156,1516,2674,4.9,4.3,4.6,69.2,62.7,65.9,65.9,60.1,62.9,321,326,646,131,201,330,908,1082,1992,488,587,1077,1008,357,1365,24,39,61,77,129,207,1107,523,1634,4855,4852,9701,596,618,1211,3531,3475,7002,1742,1815,3551
314021388,8922,9679,18594,4503,2676,7179,975,2253,3228,251,308,560,536,532,1067,6258,5774,12037,2124,3300,5421,8.6,9.2,8.9,70.1,59.7,64.7,64.2,54.1,59,98,119,217,52,139,189,510,892,1403,646,985,1625,2656,1608,4264,107,182,292,154,250,397,2911,2041,4951,8440,8777,17217,2104,2371,4478,4958,5079,10041,4929,5448,10375
314021389,6335,6944,13286,3685,2192,5878,668,1749,2419,198,241,439,268,315,582,4819,4497,9313,1165,2112,3272,5.6,7,6.2,76.1,64.8,70.1,71.8,60.2,65.8,157,154,314,80,120,194,602,941,1540,632,879,1510,1846,1038,2887,79,92,170,117,166,280,2047,1295,3347,5948,6202,12155,1822,2033,3853,3005,3217,6228,4218,4546,8765
314021390,10375,11503,21875,6041,3480,9524,1198,3087,4284,301,391,693,524,632,1154,8063,7587,15650,1767,3379,5144,6.5,8.3,7.4,77.7,66,71.5,72.7,60.5,66.3,419,390,804,174,255,435,1315,1942,3255,1087,1489,2579,2698,1639,4336,127,211,335,159,287,445,2987,2131,5116,9884,10683,20571,3401,3679,7080,4250,4487,8738,8166,8975,17143
314031391,3847,4140,7993,1956,1123,3082,406,1011,1410,115,136,256,190,213,398,2670,2481,5148,960,1420,2378,7.1,8.6,7.7,69.4,59.9,64.4,64.4,54.8,59.4,58,55,109,42,68,109,225,414,643,300,414,717,1168,661,1835,44,69,114,56,88,147,1267,826,2092,3934,4154,8083,659,693,1353,2583,2717,5300,1766,1889,3653
314031392,2377,2509,4884,1052,722,1770,302,524,829,74,71,143,141,136,269,1562,1449,3012,661,870,1529,9,9.4,8.9,65.7,57.8,61.7,60.1,52.5,56.1,39,45,81,34,60,89,152,261,413,180,269,453,676,372,1047,37,54,90,43,54,100,756,478,1233,2245,2297,4545,417,428,847,1429,1482,2913,1128,1141,2272
314031393,3288,3477,6757,1760,997,2753,381,985,1363,89,111,199,185,163,342,2412,2254,4666,714,1070,1781,7.7,7.2,7.3,73.4,64.8,69.1,67.8,60.2,63.9,88,80,168,52,105,160,284,481,761,335,385,718,984,511,1492,46,57,105,45,87,131,1077,654,1730,3430,3485,6907,515,592,1112,2373,2367,4738,1405,1550,2956
314031394,4853,5028,9880,2246,1288,3536,595,1201,1801,156,150,306,277,243,518,3275,2888,6169,1309,1892,3204,8.5,8.4,8.4,67.5,57.4,62.4,61.8,52.5,57.1,83,87,171,27,86,115,335,506,841,347,529,873,1351,731,2078,62,109,166,79,116,193,1487,953,2439,4545,4648,9194,1013,1049,2064,3100,3113,6216,2204,2348,4556
315011395,449,459,901,97,57,154,30,31,64,11,6,18,75,60,140,210,156,371,220,285,502,35.7,38.5,37.7,46.8,34,41.2,30.7,20.5,26.2,0,3,3,0,0,0,13,11,22,8,19,26,74,26,97,11,12,22,5,4,10,87,46,126,553,574,1132,50,41,86,481,529,1011,73,44,118
315011396,3091,2692,5783,949,634,1576,287,396,689,105,70,174,262,194,459,1600,1299,2902,1016,1096,2110,16.4,14.9,15.8,51.8,48.3,50.2,43.4,40.9,42.2,19,33,52,16,47,70,110,211,323,122,198,320,720,331,1050,65,74,140,53,48,104,843,460,1295,2946,2660,5609,432,442,870,2148,1951,4100,986,948,1935
315011397,491,392,880,197,144,339,38,62,100,21,15,37,22,12,36,284,222,511,128,115,243,7.7,5.4,7,57.8,56.6,58.1,52.1,56.4,54.1,3,3,3,0,0,0,12,31,38,22,33,52,95,36,131,3,9,7,6,12,20,103,52,158,417,359,779,62,63,127,301,248,550,153,155,301
315011398,593,647,1244,153,101,253,69,100,172,5,0,13,95,92,187,323,294,620,246,332,575,29.4,31.3,30.2,54.5,45.4,49.8,38.3,31.1,35.2,4,3,7,0,4,10,5,24,26,10,14,31,103,53,158,13,20,37,8,3,12,123,79,203,741,784,1520,45,67,111,624,678,1301,93,116,209
315011399,844,926,1768,276,275,546,73,125,200,26,28,55,119,86,201,488,512,1005,303,377,677,24.4,16.8,20,57.8,55.3,56.8,44.4,46.2,45.3,4,13,17,6,7,14,27,60,89,35,97,129,195,157,348,39,44,86,9,13,23,241,220,460,1167,1253,2416,107,109,213,876,941,1816,245,261,499
315011400,3139,1970,5110,852,440,1291,222,453,677,78,67,145,106,68,174,1258,1032,2286,1588,698,2287,8.4,6.6,7.6,40.1,52.4,44.7,36.7,48.7,41.4,15,24,40,3,20,23,90,173,263,111,153,262,576,206,781,14,43,56,34,46,76,621,292,909,2062,1781,3842,258,270,526,1590,1371,2961,654,608,1264
315011401,1280,1348,2627,469,462,928,129,184,309,76,67,145,62,53,116,738,763,1501,316,344,668,8.4,6.9,7.7,57.7,56.6,57.1,52.7,52.9,52.6,14,44,56,18,28,42,79,147,229,65,109,179,266,142,403,25,52,80,28,14,49,318,207,531,1246,1256,2503,283,301,587,841,824,1663,555,604,1162
315011402,1503,1450,2954,318,223,537,172,195,364,44,26,69,115,64,183,646,506,1153,682,814,1499,17.8,12.6,15.9,43,34.9,39,35.5,30.6,32.8,3,6,10,3,18,24,12,56,74,37,93,132,329,246,576,96,101,199,25,20,45,454,364,818,1860,1806,3664,274,283,556,1551,1484,3035,376,393,769
315011403,1548,1317,2867,1069,575,1639,104,256,358,71,72,151,26,25,57,1275,932,2206,113,250,365,2,2.7,2.6,82.4,70.8,76.9,80.4,68.6,74.9,27,35,57,14,35,50,93,195,292,85,107,191,652,206,857,11,16,28,27,25,48,688,248,930,1413,1226,2638,412,349,768,701,573,1271,966,896,1863
315021404,1728,1746,3474,602,451,1054,143,223,370,67,58,126,142,107,254,959,848,1800,594,733,1327,14.8,12.6,14.1,55.5,48.6,51.8,47,41.9,44.6,14,19,31,9,20,31,59,105,160,61,81,145,302,122,417,29,35,66,22,19,44,351,180,530,1897,1845,3741,351,337,689,1457,1430,2886,599,574,1176
315021405,7232,6693,13923,4138,2517,6655,450,1267,1719,318,255,570,313,267,577,5218,4305,9519,1105,1620,2725,6,6.2,6.1,72.2,64.3,68.4,67.8,60.3,64.2,112,151,267,43,135,179,453,860,1313,288,469,757,2409,835,3248,81,107,186,70,117,190,2558,1060,3624,6442,5885,12320,1525,1674,3207,3821,3417,7237,3637,3609,7246
