SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
105031103,32,37,9,14,11,6,0,3,0,113,32,29,4,29,41,14,3,7,0,150,159,32,260,73,92,49,60,56,10,783,14,8,0,0,22,12,0,0,0,58,26,3,9,8,23,3,7,8,0,86,0,3,8,0,3,0,3,0,0,25,25,11,13,5,14,6,9,11,5,94,398,426,312,163,251,98,81,91,31,1841
105031104,28,18,0,14,6,4,0,0,3,69,19,16,3,25,12,0,0,3,0,81,109,21,132,67,41,23,25,41,3,469,10,0,3,9,7,0,3,8,0,34,12,0,5,11,5,9,3,8,0,47,3,4,0,3,0,0,0,3,0,13,25,0,11,9,3,5,12,13,3,72,252,210,157,150,83,47,45,78,11,1038
105031105,26,22,5,11,15,9,3,0,4,95,38,22,4,34,27,11,5,4,3,149,124,37,216,75,68,26,81,60,6,695,15,4,0,10,5,7,6,3,0,52,24,3,3,6,14,3,8,5,0,75,7,0,0,5,6,0,0,0,0,12,19,7,4,5,4,0,6,9,5,73,347,313,251,175,173,63,111,97,21,1553
105031106,41,31,7,18,15,3,0,3,3,124,39,27,3,46,20,3,5,10,0,155,138,22,205,149,70,42,52,90,4,781,4,0,9,13,14,3,3,11,0,60,18,8,13,19,19,5,6,9,3,98,7,0,3,0,4,0,0,0,0,21,23,12,14,10,5,7,7,19,10,103,328,353,264,288,177,74,75,164,29,1745
106011107,48,53,17,26,28,10,9,3,3,187,59,54,43,59,41,11,19,12,0,297,149,59,630,135,142,69,218,113,35,1557,8,0,3,10,26,10,18,9,0,80,19,6,7,16,22,16,15,14,4,118,3,3,0,5,5,0,3,3,0,31,16,8,8,9,8,11,27,16,5,116,456,568,746,297,333,167,321,179,55,3124
106011108,52,71,25,30,25,12,3,5,3,234,63,59,38,127,57,42,19,17,3,427,164,103,894,345,241,150,390,239,39,2565,19,10,13,26,33,49,16,34,0,192,21,10,11,42,48,24,16,30,0,198,5,3,3,8,6,3,6,3,0,38,16,19,17,36,12,22,20,38,19,195,459,756,1028,671,464,338,484,382,71,4644
106011109,28,41,8,30,25,15,7,13,3,161,33,30,17,30,43,20,0,8,3,189,88,39,422,82,107,35,119,89,13,995,3,4,6,14,13,10,4,13,0,72,8,3,7,23,30,10,8,10,0,97,6,6,3,0,7,0,0,3,0,24,10,21,12,13,13,11,11,20,4,107,296,419,499,221,276,115,152,168,37,2184
106011110,36,45,19,33,40,4,5,6,0,193,42,48,22,45,46,15,10,12,3,244,162,35,460,120,109,54,123,107,13,1195,9,3,8,3,14,6,0,11,4,61,11,4,9,17,40,8,7,11,0,112,0,5,0,3,3,0,0,3,0,18,23,16,17,4,13,3,10,18,5,112,402,515,560,267,323,115,166,195,34,2562
106011111,27,49,19,30,27,11,3,12,3,176,41,50,36,97,52,25,19,25,7,348,142,109,894,287,270,118,328,199,29,2378,5,6,16,27,20,21,18,23,0,137,13,12,17,25,32,17,26,33,0,173,5,6,7,4,8,3,3,5,0,43,9,9,15,20,16,13,28,34,11,159,290,596,1022,537,471,226,439,343,56,3978
106011112,30,67,36,28,44,7,17,5,0,242,50,60,68,83,58,19,42,15,3,405,182,85,903,289,225,124,508,138,43,2500,8,3,11,37,37,13,20,20,0,158,17,4,10,27,40,17,31,9,6,171,4,6,0,6,7,6,6,7,0,44,12,9,10,19,14,6,22,21,7,127,489,858,1082,555,504,230,669,230,77,4700
