SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL30153,7,23,3,8,0,44,0,7,28,22,20,4,80,0,0,0,5,0,0,11,0,0,0,0,15,3,25,0,0,0,0,5,0,6,12,19,119,77,216,22,466
SAL30154,51,241,25,45,6,581,206,63,419,46,47,17,801,5,0,52,10,12,6,93,20,8,34,21,44,0,117,32,9,73,22,16,6,155,1010,347,2191,431,530,61,4577
SAL30155,0,0,0,0,0,6,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,30
SAL30156,6,28,10,12,0,60,3,10,26,15,26,4,76,0,0,0,0,0,0,0,0,0,3,4,19,0,28,3,0,0,0,12,3,24,27,17,101,70,192,16,424
SAL30157,39,195,39,49,8,384,91,50,294,96,161,20,707,0,0,4,0,10,0,16,0,6,10,20,51,4,82,0,3,13,10,13,13,43,212,120,773,357,857,80,2399
SAL30158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,11
SAL30159,12,50,26,18,3,129,49,30,189,89,105,9,475,0,0,0,10,13,0,29,3,0,8,17,48,0,70,4,0,8,16,53,18,102,132,51,437,338,752,60,1759
SAL30160,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,8,4,0,17
SAL30161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5
SAL30162,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6
SAL30163,8,16,8,0,6,39,6,4,20,9,6,0,33,0,0,0,0,0,0,3,0,0,0,0,8,0,11,0,0,4,0,0,0,6,13,8,59,40,117,10,251
SAL30164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30165,3,29,9,5,0,52,5,3,15,6,12,0,47,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,6,15,13,76,40,147,12,302
SAL30166,0,4,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,4,27
SAL30167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
SAL30168,0,7,3,3,0,12,0,3,13,0,9,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,5,3,12,6,11,34,24,129,10,216
SAL30169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,14
SAL30170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,23
SAL30171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6
SAL30172,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,15
SAL30173,0,3,0,7,0,11,6,0,4,6,3,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,6,3,26,19,41,4,96
SAL30174,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,19
SAL30175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL30176,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,6,3,12,0,24
SAL30177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30178,0,0,0,3,0,8,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,18,32,4,60
SAL30179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,36,3,54
SAL30181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30182,0,6,0,6,0,18,0,4,8,8,27,0,50,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,4,3,3,0,10,10,11,41,41,147,10,260
SAL30183,21,50,14,18,5,117,21,5,66,35,60,9,195,0,0,5,0,4,0,14,0,0,5,9,29,0,34,4,0,4,7,6,3,25,57,36,223,143,381,22,863
SAL30184,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,9
SAL30185,0,0,0,7,0,12,0,0,7,4,16,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,5,9,6,3,11,11,79,8,119
