SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
312021350,0,3,0,0,0,3,0,0,4,60,37,0,100,9,11,18,117,53,3,177
312021351,3,6,0,0,0,6,3,0,9,64,61,11,130,12,9,26,160,104,0,265
312021352,0,4,0,0,0,4,0,4,6,119,76,19,218,20,15,41,254,178,9,448
312021353,0,3,0,0,0,3,0,5,10,51,57,3,110,10,3,10,121,78,8,203
312021354,0,0,0,0,0,3,0,0,3,74,50,9,134,15,13,29,166,86,0,254
312021355,0,3,0,0,0,3,4,3,11,37,41,4,82,12,9,22,103,86,3,193
312021356,0,8,0,0,0,8,3,4,11,89,70,4,161,17,16,39,203,142,7,355
312021357,0,0,0,0,0,3,0,0,5,88,50,4,143,12,6,19,164,80,7,244
312021358,0,3,0,0,0,3,4,0,6,80,44,3,128,10,13,19,145,79,0,228
312031359,0,4,0,0,0,4,0,0,4,121,138,14,276,18,8,24,304,90,0,392
312031360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312031361,0,4,0,0,0,3,3,0,7,83,74,8,167,13,11,22,183,101,3,289
313011362,0,3,0,0,0,3,10,0,16,141,129,14,284,29,25,47,335,282,8,622
313011363,0,6,3,0,3,7,11,0,17,153,157,20,331,31,20,48,379,373,3,759
313021364,0,0,0,0,0,0,3,0,3,32,20,3,51,0,3,3,57,37,0,90
313021365,0,8,0,0,3,14,12,5,26,343,306,41,686,99,77,167,854,728,12,1595
313021366,0,6,0,0,0,8,22,9,31,324,296,36,657,65,61,133,790,686,10,1483
313021367,0,0,0,0,0,0,0,0,4,39,26,8,63,0,4,3,69,48,3,118
313021368,0,0,0,0,0,0,7,3,11,151,106,19,273,31,12,47,318,223,4,549
313021369,0,0,0,0,0,0,0,0,0,43,18,0,62,3,3,8,70,40,0,113
313031370,0,3,0,0,0,3,5,0,9,42,47,4,92,9,7,15,109,94,3,204
313031371,0,0,0,0,0,0,3,0,3,64,74,15,151,3,7,16,162,104,3,268
313041372,3,5,0,0,0,7,6,6,18,206,161,19,392,23,19,38,432,247,6,680
313041373,8,8,3,3,5,15,11,20,40,279,265,46,596,49,67,119,711,620,24,1358
313041374,0,0,0,0,0,0,6,0,3,39,24,0,67,4,10,8,77,47,0,121
313041375,0,3,0,0,0,3,0,4,3,285,178,27,493,29,28,55,547,200,5,748
313041376,0,0,0,0,0,0,0,0,3,37,24,3,60,0,0,3,68,30,0,95
313051377,0,0,0,0,0,0,6,3,7,162,107,10,284,8,14,21,308,204,4,516
313051378,0,7,0,0,0,7,10,3,15,182,162,20,359,44,26,70,422,302,5,730
313051379,0,5,0,0,0,9,3,4,15,154,123,16,294,19,18,34,331,258,8,599
313051380,3,11,0,3,3,16,11,4,25,245,223,31,508,35,39,72,576,456,16,1043
313051542,3,9,0,0,0,9,3,3,14,145,98,14,258,17,16,28,287,181,4,470
314011382,3,3,0,0,0,3,3,0,9,236,135,16,389,8,10,17,403,133,7,541
314011383,3,4,0,0,0,4,3,0,10,260,136,22,418,12,14,23,442,136,3,579
314011384,0,0,0,0,0,0,0,0,0,70,52,8,135,6,3,8,143,76,0,212
314011385,0,0,0,0,0,0,0,0,0,92,58,3,155,6,9,8,165,48,0,209
314011386,3,10,0,0,0,10,3,0,8,385,217,24,626,14,14,23,653,214,4,870
314011387,0,0,0,0,0,0,0,0,3,78,74,7,158,3,4,7,168,75,3,250
314021388,3,7,0,0,0,4,3,0,16,447,339,38,825,53,43,95,921,499,6,1429
314021389,3,3,0,0,0,6,8,3,17,290,186,27,496,13,20,38,535,227,3,763
314021390,3,9,0,0,0,5,4,3,21,470,299,32,796,57,53,115,906,350,11,1265
314031391,0,0,0,0,0,0,3,0,10,163,113,16,297,27,15,37,335,185,4,524
314031392,3,3,0,0,0,3,0,3,5,112,79,13,207,20,5,23,231,116,9,355
314031393,0,5,0,0,0,5,6,0,5,132,89,12,233,14,8,28,252,131,0,388
314031394,0,3,0,0,0,3,10,3,15,199,159,25,373,32,27,60,437,285,10,733
315011395,0,0,0,0,0,0,0,0,0,3,5,0,13,13,3,14,28,78,0,105
315011396,0,3,0,0,0,3,7,0,11,63,66,6,135,23,15,34,172,207,4,386
315011397,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,12,15,0,23
315011398,0,0,0,0,0,0,0,0,0,13,14,0,27,12,3,13,42,97,0,139
315011399,0,0,0,0,0,0,0,0,0,53,32,3,83,16,3,24,105,100,0,204
315011400,0,0,0,0,0,0,3,0,4,42,30,3,73,7,5,14,88,77,4,167
315011401,0,6,0,0,0,6,6,3,16,50,27,9,86,8,3,9,97,70,9,175
315011402,0,3,0,0,0,3,7,0,12,58,61,8,121,14,8,17,136,206,8,356
315011403,0,0,0,0,0,0,0,0,3,56,10,7,73,0,0,3,73,9,3,79
315021404,0,3,0,0,0,3,9,16,23,56,33,8,94,13,7,21,119,157,18,291
315021405,0,7,0,0,0,7,14,8,24,295,97,22,415,37,24,62,478,289,9,770
315021406,0,0,0,0,0,0,0,10,11,24,9,8,38,5,0,3,43,47,7,100
315021407,0,0,0,0,0,0,0,0,7,30,21,3,61,3,0,4,65,31,0,93
315031408,0,3,0,0,0,3,3,4,7,48,31,3,77,0,0,3,86,48,5,136
315031409,0,0,0,0,0,0,5,5,12,41,23,9,76,3,3,5,81,81,4,164
315031410,0,0,0,0,0,0,3,0,0,23,10,0,32,6,0,9,40,25,0,67
315031411,6,6,0,0,0,6,3,0,11,42,15,4,67,0,3,9,71,55,0,133
315031412,0,0,0,0,0,0,0,3,6,44,32,7,76,3,4,10,85,38,3,121
316011413,0,3,0,0,0,3,7,0,8,156,153,13,330,8,12,25,353,193,0,543
316011414,0,3,0,0,0,3,0,0,7,235,162,14,408,19,24,39,443,175,0,621
316011415,0,0,0,0,0,0,3,0,3,203,186,14,405,13,31,44,448,138,0,586
316011416,0,0,0,0,0,0,0,0,5,131,133,19,281,11,9,21,299,123,5,428
316021417,0,0,0,0,0,0,5,4,8,111,154,12,278,10,16,26,305,189,5,498
316021418,0,0,0,0,0,0,3,0,6,86,73,0,161,8,6,16,181,101,0,283
316021419,0,3,0,0,0,7,0,0,7,73,84,7,168,16,16,32,200,111,5,314
316021420,0,3,0,0,0,3,7,4,15,278,271,25,575,32,31,60,639,282,5,934
316021421,0,4,0,0,0,4,5,4,13,92,98,10,198,11,7,20,217,190,4,413
316021422,0,3,0,0,0,3,3,0,5,99,115,14,227,14,6,16,244,127,4,368
316021423,0,0,0,0,0,0,0,0,7,107,119,7,243,11,10,22,258,126,4,391
316021424,0,3,0,0,0,3,3,3,9,102,106,18,221,6,16,21,245,133,0,377
316031425,0,6,0,0,0,6,3,0,9,178,220,22,414,15,21,37,458,187,4,645
316031426,0,3,0,0,0,3,3,3,9,170,153,9,331,14,21,28,364,157,5,522
316031427,3,7,0,0,0,11,6,3,20,244,231,22,496,24,27,58,548,323,5,883
316031428,3,0,0,0,0,0,0,3,9,133,130,12,275,16,17,34,305,143,3,453
316051434,0,5,0,0,0,5,0,3,6,43,50,3,95,4,3,7,98,58,3,161
316051435,0,3,0,0,0,3,0,6,10,101,106,5,213,12,9,22,237,94,7,330
316051437,0,0,0,0,0,0,6,0,3,90,118,7,216,10,10,16,232,88,0,323
