SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
102021050,0,3,0,14,4,0,0,0,0,3,0,3,0,18,53,81,0,0,0,3,0,0,0,0,0,23,23,49,138,42,10,122,8,116,8,82,8,843,93,1459
102021051,0,3,0,24,0,0,0,0,0,0,0,3,0,8,19,32,0,0,0,0,0,0,0,0,0,3,0,7,110,28,5,69,8,52,4,26,13,143,19,484
102021052,0,3,0,8,0,0,0,0,0,0,0,0,0,8,34,44,0,0,0,0,0,0,0,0,0,10,12,21,82,25,0,67,5,62,0,61,8,363,48,725
102021053,0,9,0,36,0,3,0,5,0,0,0,0,0,17,68,99,3,0,0,0,0,0,0,0,0,37,10,49,219,77,11,180,16,128,6,133,9,738,102,1618
102021054,0,8,0,22,0,0,0,0,0,0,0,0,0,14,44,55,3,3,0,0,0,0,0,0,0,18,16,35,150,42,7,100,9,64,4,71,7,564,66,1082
102021055,0,4,0,14,0,0,0,0,0,3,0,0,0,7,27,38,0,0,0,0,0,0,0,0,0,4,3,11,109,16,3,52,8,46,3,32,3,170,34,477
102021056,0,0,0,29,5,0,0,0,0,4,0,0,0,12,57,74,0,0,0,0,0,0,0,0,0,13,7,23,248,30,11,145,23,112,3,70,3,529,79,1237
102021057,0,3,0,13,3,0,0,0,0,3,0,0,0,7,27,46,0,0,3,0,0,0,0,0,0,10,6,19,128,27,5,75,7,73,3,57,11,329,47,762
103011058,0,7,0,85,8,0,0,0,0,3,0,3,0,17,87,121,3,0,0,0,0,0,0,0,0,17,12,43,483,75,21,353,25,202,14,161,30,698,118,2175
103011059,0,3,0,33,3,0,0,0,0,3,0,0,0,10,46,70,0,0,0,0,0,4,0,0,0,17,4,30,225,30,13,119,11,81,4,64,14,379,60,998
103011060,0,3,0,30,0,0,0,0,0,0,0,0,0,9,35,42,0,0,0,0,0,0,0,0,0,7,6,13,168,40,11,109,6,84,3,66,6,225,41,761
103011061,0,3,0,17,0,0,0,0,0,8,0,0,0,0,24,37,3,0,0,0,0,0,0,0,0,3,5,13,118,23,11,82,11,68,3,38,3,179,33,564
103021062,0,0,0,23,0,0,0,0,0,0,0,0,0,9,33,53,8,0,0,0,0,4,0,0,0,12,10,26,176,31,14,108,19,55,5,37,10,218,51,708
103021063,0,3,0,19,0,0,0,0,3,8,0,3,0,19,45,71,0,3,0,3,0,0,0,0,0,14,12,33,148,52,7,121,7,102,9,96,11,441,59,1052
103021064,0,0,0,14,0,0,0,0,0,5,0,0,0,10,29,46,0,0,0,3,0,0,0,0,0,6,7,22,117,29,3,107,9,65,10,39,15,261,40,688
103021065,0,8,0,32,3,0,0,0,0,9,0,3,0,16,43,75,3,0,0,3,0,0,0,0,0,20,10,40,234,40,9,165,12,106,4,81,12,439,59,1157
103021066,0,0,0,19,0,0,0,0,0,0,0,0,0,6,18,25,0,0,0,0,0,0,0,0,0,9,8,18,102,19,3,69,5,36,0,32,5,201,25,500
103021067,0,3,0,44,3,0,0,0,0,3,0,6,0,16,73,99,0,0,0,0,0,3,0,0,3,8,11,29,198,46,5,147,17,105,5,77,18,374,84,1068
103021068,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,5,7,13,90,19,3,48,11,23,4,31,3,127,19,376
103021069,0,0,0,31,0,0,0,0,0,3,0,0,3,3,28,47,3,0,0,0,0,3,0,0,0,10,9,25,148,30,8,114,10,63,11,46,7,209,43,684
