SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
102021057,10,61,24,43,7,146,16,15,83,77,171,21,374,0,0,6,3,19,0,29,0,3,10,21,69,5,108,3,0,9,5,45,12,77,68,39,319,331,1071,130,1952
103011058,96,532,138,174,22,1154,115,63,398,238,339,36,1181,7,0,20,20,29,6,79,8,3,32,34,197,6,285,7,3,23,20,104,29,196,468,268,1857,1044,3049,263,6950
103011059,47,205,64,82,13,479,31,33,169,114,179,18,543,7,0,3,5,15,0,35,3,0,12,9,110,7,135,0,3,11,14,51,10,91,134,120,704,503,1671,140,3280
103011060,39,115,44,46,7,278,22,22,95,50,89,13,298,0,3,8,10,13,6,29,0,0,11,17,74,6,99,0,3,7,16,46,14,89,113,114,472,333,1025,137,2188
103011061,11,44,16,24,3,103,5,5,24,41,36,5,113,0,0,3,0,8,0,16,0,0,6,3,24,0,37,0,0,0,5,48,8,63,34,29,175,156,633,68,1084
103021062,26,115,30,31,6,216,9,6,46,52,86,11,208,0,0,0,0,8,0,7,0,0,0,3,43,4,58,0,0,14,10,25,13,62,34,46,299,227,728,134,1463
103021063,25,116,48,56,6,267,5,8,93,71,165,21,363,0,0,0,3,17,0,21,0,0,9,11,86,0,116,0,0,5,3,41,16,64,42,48,360,277,1126,135,1991
103021064,23,77,27,28,7,162,12,3,53,57,61,9,200,0,0,3,0,8,0,13,0,0,8,12,32,0,45,0,0,11,4,20,9,37,35,36,300,243,703,88,1410
103021065,12,162,50,77,9,347,13,20,90,81,146,19,370,0,0,3,3,13,0,23,0,0,9,11,97,4,116,0,0,8,12,62,26,109,76,63,501,385,1333,181,2541
103021066,5,46,17,15,0,97,0,3,31,22,37,9,104,0,0,0,0,3,0,5,0,0,0,3,31,0,34,0,0,0,3,14,10,27,22,22,185,146,420,57,843
103021067,28,157,39,72,5,316,20,17,94,78,185,22,423,0,0,0,0,8,5,16,3,3,8,11,124,4,152,0,0,3,7,46,17,81,84,82,518,371,1554,153,2764
103021068,8,33,19,22,3,97,10,3,34,26,48,5,121,0,0,0,0,5,0,5,0,0,3,3,23,0,29,0,0,3,5,11,4,22,25,21,152,129,444,55,834
103021069,17,92,22,22,5,162,4,3,35,33,68,7,154,0,0,0,0,3,0,4,0,0,6,4,62,0,80,0,0,4,3,25,15,45,32,25,269,178,799,125,1432
103031070,21,93,46,62,3,253,14,19,122,85,167,16,430,0,0,6,3,18,0,34,0,3,8,13,99,3,126,0,0,6,13,61,27,106,82,76,433,414,1613,137,2755
103031071,13,66,21,41,6,166,13,16,56,62,112,16,270,3,0,7,8,13,0,27,0,0,3,10,63,3,77,3,0,3,14,47,10,74,74,45,318,358,1204,137,2129
103031072,40,172,38,65,4,342,23,13,141,89,139,19,425,4,0,3,4,20,0,35,4,0,11,22,167,11,210,0,0,15,11,26,18,68,111,92,685,477,1746,185,3291
103031073,3,39,12,17,0,87,0,5,8,21,34,3,76,0,0,0,3,0,0,9,0,0,0,3,24,0,33,0,0,7,0,14,0,28,15,9,114,109,383,27,665
103031074,22,112,39,55,6,249,12,15,80,84,118,20,331,3,0,3,3,13,0,26,0,3,9,11,114,4,138,4,0,4,9,42,17,75,67,65,443,377,1444,179,2577
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,20,99,31,36,7,222,23,16,106,60,111,11,325,0,0,8,0,9,0,13,0,0,6,21,65,3,97,3,0,11,12,29,20,66,87,65,431,305,1053,110,2050
103041077,51,285,88,122,14,641,110,54,420,230,352,45,1209,3,0,12,3,16,0,38,3,0,14,24,153,5,201,7,0,18,6,81,35,151,332,174,1342,778,2182,232,5053
103041078,64,371,91,121,4,760,135,87,534,282,372,55,1454,0,0,10,13,19,8,53,3,7,25,31,218,5,297,4,0,21,16,69,15,125,426,245,1663,1001,2820,248,6404
