SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL32019,55,91,39,37,45,19,8,28,3,324
SAL32020,460,866,660,686,634,476,256,399,73,4508
SAL32021,11,8,26,10,0,0,7,4,0,66
SAL32022,8,0,0,0,0,0,0,0,0,9
SAL32023,0,0,0,0,0,0,0,0,0,3
SAL32024,3,5,3,24,0,0,3,0,0,49
SAL32025,0,0,0,0,0,0,0,0,0,4
SAL32026,12,3,4,8,3,4,0,12,4,52
SAL32027,18,9,13,9,4,5,12,17,0,70
SAL32028,11,6,4,0,0,0,0,4,0,31
SAL32029,3,0,0,0,0,5,0,0,0,13
SAL32030,35,15,21,15,26,13,28,36,3,195
SAL32031,7,4,5,3,0,0,0,0,3,20
SAL32032,4,20,5,7,4,0,5,11,0,60
SAL32033,30,13,18,8,19,5,11,16,7,127
SAL32034,4,0,3,0,0,0,0,0,0,20
SAL32035,16,10,8,6,10,6,5,3,3,71
SAL32036,6,0,3,0,0,3,3,7,0,18
SAL32037,231,347,424,329,365,243,246,329,55,2579
SAL32038,24,12,4,6,3,5,5,7,0,67
SAL32039,11,0,0,0,0,0,0,0,0,16
SAL32040,6,0,0,3,0,0,0,0,0,8
SAL32041,719,1315,911,883,790,750,278,561,95,6291
SAL32042,62,97,147,55,78,56,192,93,19,800
SAL32043,23,25,36,32,17,30,19,42,9,228
SAL32044,13,10,10,8,3,3,0,15,6,66
SAL32045,34,31,25,17,13,21,8,14,0,169
SAL32046,0,3,0,0,0,0,0,0,0,4
SAL32047,12,4,11,4,5,0,0,8,0,43
SAL32048,3,3,0,3,0,0,0,5,0,18
SAL32049,13,0,0,0,3,3,0,0,0,19
SAL32050,872,1552,1053,864,921,759,322,612,164,7121
SAL32051,167,265,226,193,205,99,69,131,22,1380
SAL32052,5,0,0,0,0,0,0,0,0,5
SAL32053,8,16,6,9,11,11,7,6,5,73
SAL32054,45,74,76,47,58,49,52,39,12,446
SAL32055,12,8,11,6,3,4,5,5,0,51
SAL32056,0,0,0,0,0,0,0,0,0,0
SAL32057,19,5,6,3,11,0,0,15,8,60
SAL32058,24,14,5,0,12,0,5,5,3,70
SAL32059,4,0,0,0,0,0,0,0,0,7
SAL32060,9,0,6,0,0,0,3,3,0,24
SAL32061,5,6,9,3,6,5,8,3,0,55
SAL32062,20,7,10,0,4,6,10,0,0,52
SAL32063,0,0,0,0,0,0,0,0,0,5
SAL32064,148,403,178,215,201,145,85,147,30,1542
SAL32065,15,8,24,9,12,10,3,15,0,96
SAL32066,131,128,166,97,135,82,72,84,9,903
SAL32067,20,3,10,5,6,3,7,10,0,61
SAL32068,64,44,49,42,30,26,31,252,19,553
SAL32069,27,4,0,3,0,0,0,23,4,62
SAL32070,19,0,3,0,6,0,3,8,0,46
SAL32071,15,0,0,0,0,0,3,7,0,24
SAL32072,4,0,7,0,0,0,0,3,0,24
SAL32073,18,13,25,20,27,7,12,22,6,150
SAL32074,11,3,9,9,6,3,4,19,0,58
SAL32075,19,5,5,0,4,3,0,4,0,40
SAL32076,0,0,0,0,0,0,0,0,0,0
SAL32077,6,0,0,0,5,0,3,4,3,24
SAL32078,6,0,0,0,0,0,0,0,0,11
SAL32079,9,4,7,0,5,0,4,5,0,30
SAL32080,161,180,318,121,246,134,153,148,35,1492
SAL32081,462,828,330,266,459,235,130,209,36,2947
SAL32082,95,101,95,153,62,50,54,121,10,741
SAL32083,35,51,38,29,35,16,28,36,7,274
SAL32084,46,21,51,431,28,0,109,10,10,709
SAL32085,20,5,4,8,4,0,7,23,0,75
SAL32086,15,0,6,3,6,5,6,15,6,63
SAL32087,10,5,12,0,3,0,6,12,0,45
SAL32088,0,0,3,0,0,0,0,0,0,4
SAL32089,719,1004,709,698,825,551,352,463,74,5384
SAL32090,6,0,0,0,0,0,0,5,0,11
SAL32091,21,6,0,3,9,0,4,8,0,51
SAL32092,101,26,22,22,33,16,24,56,6,306
SAL32093,25,18,23,15,30,9,12,12,3,146
SAL32094,34,5,6,5,6,4,0,12,6,71
