SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
116011304,29,54,31,19,33,13,3,182,5,4,5,3,3,0,0,22,0,4,4,0,0,0,0,12,64,118,80,50,79,39,22,444,3,11,3,6,3,5,0,35,5,15,18,16,10,4,0,67,12,26,17,22,12,8,0,102,74,143,100,68,95,43,22,549,136,101,72,54,51,12,9,439,3,3,0,0,0,0,0,12,216,249,170,119,142,58,35,995
116011306,30,59,33,30,26,15,4,199,3,3,3,3,3,3,0,16,0,0,3,4,0,0,0,7,63,132,78,78,85,42,22,501,6,13,10,10,11,0,0,42,6,15,6,7,3,0,3,49,15,32,14,11,16,0,3,93,76,159,94,94,96,43,23,589,157,170,117,69,64,27,10,614,3,3,3,3,0,3,0,13,237,334,210,167,166,70,29,1218
116011307,33,49,44,29,38,13,0,213,9,9,3,0,3,3,0,25,3,0,0,0,3,0,0,12,75,120,96,70,116,53,21,542,5,8,4,4,4,0,0,27,6,11,4,6,9,10,0,43,11,21,15,5,17,6,0,73,86,143,108,76,135,56,21,620,112,118,64,44,32,23,4,391,0,0,3,3,0,0,0,11,194,261,176,120,169,79,29,1024
116011308,32,63,39,28,44,7,0,210,4,8,4,6,3,3,4,21,3,0,3,0,0,0,0,7,55,128,91,81,110,45,19,520,5,12,8,0,11,3,4,32,3,14,7,0,4,3,3,34,12,17,11,3,11,3,3,68,66,145,107,80,120,47,22,585,92,87,40,36,33,14,13,310,0,3,0,0,0,0,0,10,155,235,147,122,150,57,34,905
116011560,12,31,18,13,24,3,6,109,3,5,0,0,3,3,0,18,0,0,0,0,0,0,0,4,26,74,54,43,78,43,17,336,3,3,3,4,3,0,0,13,4,15,0,3,8,0,0,24,7,15,5,6,9,3,0,46,34,90,60,51,87,40,17,377,75,53,25,26,23,4,11,222,0,0,0,0,0,0,0,0,111,147,86,74,110,44,29,604
116011561,27,40,27,17,24,8,9,157,4,4,3,0,3,0,0,10,0,0,0,0,0,0,0,6,52,87,61,42,79,38,22,384,3,8,3,0,5,3,0,31,6,3,3,3,5,0,0,22,7,11,6,3,12,3,0,54,68,98,69,49,93,37,18,433,76,63,45,33,29,12,10,258,3,0,0,0,0,0,0,7,148,162,110,80,126,44,32,703
116021309,20,30,25,15,32,12,6,132,5,0,0,0,0,0,0,7,0,7,3,0,0,0,0,10,43,73,65,45,100,46,16,399,0,7,0,0,0,6,0,14,0,0,4,3,3,0,0,15,0,8,4,6,3,7,0,24,43,81,68,56,104,53,22,421,21,23,13,7,10,13,4,92,0,0,0,0,0,0,0,0,68,108,81,63,112,61,19,518
116021310,27,59,38,16,19,13,6,171,3,5,0,0,0,0,0,8,3,5,0,0,0,0,3,9,61,162,104,71,122,59,27,608,0,3,3,4,5,0,0,16,3,9,3,3,0,0,0,17,4,16,3,6,7,0,0,37,69,176,111,79,130,60,27,643,44,50,31,13,17,12,10,178,0,0,0,0,0,0,0,0,118,230,141,91,142,70,34,825
116021312,26,41,33,17,34,6,8,172,3,0,0,0,0,4,0,7,3,6,4,3,0,0,0,18,66,110,83,46,86,31,15,437,3,6,7,4,0,0,0,24,3,7,3,4,3,0,0,24,6,15,10,11,3,0,0,50,79,124,96,54,89,31,15,487,82,72,43,23,28,6,3,257,4,3,0,0,0,0,0,7,159,204,137,77,122,36,14,748
116021562,3,8,10,4,3,0,3,33,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,21,24,12,16,10,6,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,4,6,21,24,12,20,11,11,107,7,3,6,3,0,3,3,27,0,0,0,0,0,0,0,0,12,28,33,14,18,12,11,134
