SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
507041182,3177,3531,6708,207,193,403,28,30,56,33,42,76,29,25,54,4,11,21,1185,1156,2338,3,5,8,7,13,19,5,15,17,3,0,4,1301,1291,2592,615,586,1201,24,27,45,2141,2095,4237,445,402,850,5764,6034,11793
507041183,1089,1290,2379,66,76,137,16,14,25,21,25,38,38,38,72,8,4,14,590,646,1234,3,5,10,3,4,11,0,0,0,0,0,0,672,733,1397,104,130,234,10,8,20,854,941,1792,171,192,362,2108,2425,4529
507041184,1953,1977,3934,77,82,150,15,15,36,12,14,27,14,11,34,10,4,11,496,486,986,0,3,3,0,3,3,3,0,4,0,0,0,557,539,1098,146,169,324,5,0,3,783,793,1574,93,89,180,2834,2852,5684
507051185,4439,4467,8906,1373,1482,2860,224,233,457,193,186,371,227,246,480,70,79,145,5170,5724,10889,40,37,76,72,70,138,15,13,25,5,6,6,5998,6594,12598,1248,1377,2626,89,79,172,8713,9538,18247,1314,1170,2483,14458,15170,29632
507051186,2257,2336,4589,155,164,326,44,35,81,24,32,59,31,40,76,9,9,15,927,918,1849,11,11,20,9,5,12,3,0,5,0,0,0,1049,1058,2107,165,172,331,32,21,46,1403,1413,2817,347,334,676,4004,4081,8085
507051187,3304,3385,6689,454,476,929,74,82,160,81,69,147,72,51,123,30,26,56,1364,1520,2882,17,19,32,17,9,30,3,3,7,0,0,0,1659,1775,3431,304,377,687,40,25,70,2461,2654,5115,522,497,1024,6283,6539,12826
507051188,3262,3475,6735,520,546,1063,167,93,264,116,77,192,153,103,257,36,40,68,1639,1792,3429,33,34,67,24,19,46,18,14,32,4,0,7,2192,2171,4365,373,409,789,34,36,67,3120,3163,6286,973,759,1730,7357,7391,14749
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,3,9
507051190,2875,2912,5787,320,320,640,64,70,128,51,41,90,63,51,110,16,19,37,1353,1393,2748,5,10,17,19,18,38,3,0,7,0,0,0,1577,1592,3167,246,227,474,28,22,54,2176,2162,4336,382,347,726,5436,5418,10856
507051191,3756,3707,7459,1106,1134,2235,131,117,245,121,121,242,118,121,237,23,19,39,2215,2323,4535,45,52,95,54,41,93,7,8,18,3,0,3,2705,2802,5511,801,815,1610,62,44,106,4675,4796,9466,586,481,1070,9016,8983,18004
507051192,3060,3097,6153,319,330,651,72,48,112,27,24,53,80,79,155,24,29,59,1361,1397,2759,10,10,20,10,17,30,10,6,12,0,0,0,1586,1612,3199,306,362,665,52,41,88,2261,2348,4610,442,407,846,5758,5845,11606
507051193,2663,2601,5258,230,254,481,44,46,89,42,48,92,51,53,108,13,20,34,1164,1214,2386,13,6,21,13,18,26,7,4,16,3,0,3,1348,1424,2769,207,259,468,44,41,86,1830,1974,3806,443,426,874,4931,5006,9938
509011225,3095,3554,6647,769,883,1658,43,32,71,21,28,52,55,40,96,17,17,38,1583,1842,3423,11,14,24,3,7,12,0,3,4,0,0,0,1735,1982,3714,213,262,473,41,48,90,2753,3179,5934,463,528,995,6312,7268,13577
509011226,1009,891,1897,49,55,99,4,5,16,3,3,10,10,13,20,0,0,0,454,454,909,0,0,0,3,3,9,0,0,0,0,0,0,478,481,960,25,30,57,9,3,14,567,564,1129,124,109,230,1698,1562,3264
509011227,1212,1217,2430,123,129,247,9,10,14,9,4,12,16,12,29,9,15,23,679,721,1399,6,3,10,3,0,4,0,0,0,0,0,0,729,769,1497,42,53,103,16,8,27,911,960,1865,139,124,264,2263,2301,4559
509011228,1434,1430,2864,338,370,706,8,9,19,14,12,24,30,30,63,3,3,7,562,596,1159,3,5,7,14,11,24,3,3,4,0,0,0,636,669,1302,49,56,98,9,15,24,1034,1104,2139,295,285,578,2762,2823,5583
509011229,830,679,1517,151,118,270,7,11,18,10,12,17,7,3,10,7,11,14,202,179,382,3,0,3,4,3,3,0,0,0,0,0,0,238,215,450,48,43,94,0,4,6,439,382,817,196,135,325,1465,1199,2663
509011230,1187,1163,2346,285,245,535,12,7,18,5,13,19,13,12,20,6,7,7,261,270,527,5,3,9,0,0,0,0,0,0,0,0,0,299,303,604,102,81,182,12,13,22,702,636,1341,298,291,588,2182,2089,4272
509011231,1230,1158,2390,185,187,367,3,3,4,3,3,7,9,8,16,0,0,0,265,279,551,0,3,4,0,0,0,0,0,0,0,0,0,286,295,579,37,40,79,4,4,5,509,521,1037,234,233,463,1978,1910,3888
509011232,981,923,1907,57,65,122,4,7,14,9,9,17,8,8,15,4,3,9,385,395,786,0,0,0,3,0,3,0,4,8,0,0,0,418,427,839,16,29,47,4,3,11,497,519,1023,495,67,567,1976,1518,3492
509011233,2586,2649,5236,493,519,1015,20,19,37,14,20,33,14,22,33,8,9,15,1165,1237,2397,3,5,11,6,6,15,0,0,0,0,0,0,1236,1317,2551,81,82,161,32,17,46,1830,1937,3770,364,335,697,4779,4924,9702
509011234,1316,1324,2638,255,251,511,8,6,10,12,6,22,9,11,27,9,12,20,474,453,926,0,0,0,6,8,13,0,0,0,0,0,0,520,495,1016,56,33,93,15,15,34,845,801,1650,321,215,538,2484,2339,4829
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,1421,1369,2791,87,96,182,11,13,19,7,11,15,19,23,41,3,6,8,772,757,1529,4,3,8,12,9,17,3,0,6,0,0,0,829,817,1647,47,45,96,15,6,19,974,969,1945,250,212,465,2644,2558,5199
509021237,1112,1036,2150,202,196,395,0,0,4,4,7,13,3,8,12,0,0,5,384,307,690,0,3,4,0,0,3,0,0,0,0,0,0,402,332,731,67,61,126,14,5,16,676,594,1276,243,210,454,2030,1841,3875
509021238,1190,1066,2255,199,212,408,9,6,16,0,5,3,4,4,9,3,7,6,305,293,596,0,0,3,0,4,3,0,0,0,0,0,0,327,315,644,21,32,55,4,8,15,559,564,1121,176,148,328,1922,1779,3704
509021239,2268,1992,4255,339,342,684,16,14,29,10,14,20,29,18,47,15,11,22,884,839,1726,3,3,3,9,20,30,0,0,0,0,0,0,955,918,1874,154,168,327,24,11,32,1475,1439,2914,424,399,821,4167,3830,7994
509021240,1395,1268,2660,279,277,555,8,11,20,11,11,19,16,9,31,3,6,11,359,371,732,6,3,5,0,4,7,0,0,0,0,0,0,416,421,836,167,94,259,17,14,31,879,808,1685,225,191,419,2498,2269,4763
509021241,1367,1148,2514,241,240,482,13,13,22,10,4,12,14,7,20,4,5,10,326,360,681,0,0,0,5,3,13,0,0,0,0,0,0,365,396,760,96,98,197,13,10,23,720,741,1463,263,212,478,2355,2097,4452
509021242,952,717,1662,129,108,232,9,10,13,4,6,13,15,9,25,0,0,0,306,232,536,3,5,6,3,4,7,0,0,0,0,0,0,340,263,600,39,29,70,6,3,13,514,403,917,254,153,405,1717,1273,2985
509021243,2694,2728,5426,571,614,1180,20,23,42,24,27,53,23,42,62,22,19,39,860,914,1781,8,8,14,12,8,19,0,3,5,0,0,0,963,1047,2015,106,138,244,40,23,69,1681,1823,3505,993,521,1521,5374,5078,10451
509021244,1274,1245,2518,119,134,249,7,3,14,6,4,6,0,5,8,8,0,8,456,434,891,0,0,3,10,8,12,3,0,3,0,0,0,494,459,954,18,30,50,9,13,17,639,636,1279,230,218,447,2142,2098,4238
509021245,1493,1399,2890,213,253,467,7,12,19,13,6,17,6,8,16,5,13,17,481,489,967,3,0,3,3,3,6,0,0,0,0,0,0,514,534,1043,32,30,61,10,12,22,766,823,1597,310,291,600,2566,2522,5091
509031246,1011,952,1962,182,162,342,9,6,15,3,3,4,3,4,12,0,0,0,299,308,607,0,0,3,0,6,13,0,0,0,0,0,0,319,334,656,21,28,48,9,8,14,535,523,1056,241,219,459,1792,1690,3483
509031247,1308,1162,2474,207,181,379,7,13,20,8,6,14,10,12,21,7,0,10,290,264,554,9,3,12,0,0,0,3,4,10,0,0,0,335,296,628,34,54,83,8,9,18,576,539,1114,199,176,378,2088,1880,3965
509031248,618,537,1155,126,117,242,8,9,17,15,7,22,15,20,33,3,0,3,289,279,573,6,0,3,0,0,4,0,0,0,0,0,0,336,318,653,30,36,70,4,3,12,495,479,974,152,124,278,1263,1140,2402
509031249,1120,1182,2301,265,269,530,3,7,11,13,7,21,9,16,26,0,5,9,373,412,784,7,0,7,9,11,23,0,0,3,0,0,0,410,469,885,52,70,121,14,19,32,739,820,1559,276,286,569,2137,2291,4428
509031250,1459,1339,2799,202,230,432,3,4,9,13,8,17,9,4,14,7,12,16,356,360,716,0,3,3,4,6,11,0,0,0,0,0,0,396,395,792,34,27,65,13,9,14,644,663,1307,283,245,533,2386,2245,4631
