SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
209011201,0,3,17,17,36,25,5,0,0,110,3,14,18,23,37,30,11,8,0,142,191,354,560,669,978,819,274,45,6,3897
209011202,3,13,60,73,54,43,14,4,0,277,19,23,53,66,65,47,30,0,0,310,328,592,1539,1993,1765,1429,393,33,8,8078
209011203,7,32,55,49,56,39,9,3,0,251,13,25,46,73,65,40,22,5,0,287,375,763,1734,2218,1974,1293,343,36,3,8747
209011204,8,16,39,45,36,25,3,3,0,171,3,24,24,41,43,26,6,0,3,171,185,345,1006,1148,898,653,154,15,3,4404
209021205,9,37,41,31,29,22,4,0,0,173,15,41,52,37,54,29,6,4,0,232,360,753,1149,900,1046,555,105,14,0,4879
209021207,12,39,128,99,86,42,16,0,0,425,27,58,189,146,127,74,18,3,0,644,344,1121,3738,2736,2012,1212,251,11,10,11445
209021208,14,32,93,83,73,46,8,3,0,354,14,60,149,135,105,72,26,7,0,569,338,936,2930,2558,2037,1166,223,25,8,10217
209021428,7,31,84,75,73,29,10,0,0,303,15,49,121,94,79,52,4,4,0,417,242,948,2948,2414,1777,979,157,11,3,9491
209021429,7,16,51,56,34,28,11,0,0,200,4,31,70,62,43,32,6,0,0,251,204,519,1526,1592,1312,685,117,12,3,5976
209031209,15,52,74,75,115,86,19,0,0,429,30,36,65,80,137,75,22,3,0,441,659,1077,1598,2575,3138,2404,576,38,5,12071
209031210,3,6,8,22,23,19,3,0,0,84,5,7,6,12,20,13,4,0,0,62,117,152,253,420,448,369,70,7,0,1840
209031211,13,10,16,14,12,12,4,0,0,84,0,6,14,26,38,20,3,0,0,107,101,122,275,409,518,354,55,4,3,1847
209031212,3,8,13,19,31,12,9,0,0,97,8,9,5,23,30,36,16,5,0,129,154,226,295,457,722,589,185,23,3,2657
209031213,7,21,27,30,65,44,10,0,0,200,3,18,37,34,54,44,21,6,0,212,309,504,752,982,1318,893,226,24,4,5004
209031214,4,16,15,25,32,16,3,3,0,116,9,9,14,26,46,23,13,0,0,145,207,309,392,735,951,652,197,22,0,3467
209031215,12,42,62,61,81,55,9,0,0,330,22,25,49,53,69,61,11,3,0,290,537,769,1225,1550,1874,1331,237,13,0,7534
209041216,3,19,26,26,23,19,0,0,0,115,6,18,59,30,33,22,5,0,0,177,177,425,886,717,710,398,60,5,0,3369
209041217,3,8,33,19,28,16,9,0,0,110,3,17,42,35,34,33,6,0,0,160,102,307,699,528,460,464,97,17,0,2681
209041219,12,39,97,95,70,37,17,0,0,359,20,52,172,141,119,78,14,3,0,603,356,848,2459,1981,1489,932,188,14,7,8266
209041220,10,40,63,77,76,54,7,0,0,329,20,51,101,81,139,76,19,0,0,478,486,1030,1836,1612,2286,1470,199,9,0,8925
209041221,5,27,69,42,32,39,4,0,0,227,5,26,52,62,73,43,15,0,0,275,242,621,1377,978,1246,1036,158,4,0,5669
209041223,8,41,95,76,70,32,7,0,0,318,19,64,167,130,129,77,16,4,0,604,257,796,2139,1513,1387,1006,188,15,0,7299
209041224,16,44,88,69,63,46,11,4,0,334,18,36,97,89,90,67,13,3,0,418,401,664,1843,1707,1748,1116,193,24,3,7706
209041225,3,17,32,40,45,22,6,0,0,177,15,19,42,26,59,36,20,0,0,222,209,337,651,788,921,621,158,21,7,3703
209041430,25,40,147,132,87,33,5,3,0,476,17,37,126,119,92,36,11,3,0,444,484,736,2914,3089,2004,968,191,9,0,10401
209041431,6,25,56,62,52,24,4,0,0,230,13,39,92,76,70,65,3,4,3,370,288,633,1440,1286,1248,846,98,16,3,5852
209041432,0,29,41,38,20,18,10,0,0,155,9,20,69,37,39,29,10,0,0,213,134,375,941,760,693,532,100,4,0,3543
209041433,3,10,47,54,22,12,0,0,0,154,11,29,95,79,49,22,3,0,0,284,159,399,1650,1581,779,344,50,0,0,4967
209041434,8,28,113,84,36,24,3,0,0,300,15,31,108,65,68,34,5,0,0,327,243,643,2761,2234,1235,643,105,12,3,7889
209041435,8,25,57,70,52,24,0,0,0,235,17,20,58,78,63,29,6,3,0,262,304,502,1421,1909,1297,544,67,6,0,6049
209041436,6,27,45,58,50,17,7,0,0,209,21,22,52,66,61,23,11,0,0,259,329,561,1245,1473,1349,693,103,6,0,5762
209041437,0,13,69,40,18,7,0,0,0,148,3,21,87,72,29,16,3,3,0,237,104,305,1836,1167,473,243,42,10,0,4180
210011226,0,7,34,23,32,26,5,0,0,132,4,13,38,34,45,29,3,0,0,173,100,291,1005,857,754,493,95,14,0,3608
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,4,14,29,38,32,52,13,3,0,174,0,14,36,30,39,28,11,3,0,168,187,383,633,857,938,707,215,22,3,3942
210011229,6,37,100,105,90,69,24,9,0,441,8,44,98,122,145,75,30,9,0,533,431,975,2368,2711,2621,1639,481,67,0,11297
210011230,0,12,29,27,17,18,5,0,0,109,12,4,26,29,45,27,9,4,0,147,183,306,715,843,908,492,100,10,0,3563
210011231,9,17,26,41,37,24,4,0,0,152,6,5,17,43,47,36,6,3,0,169,253,465,736,1084,1210,833,188,16,0,4784
210021232,7,17,35,47,54,39,12,0,0,212,16,16,30,61,60,39,14,4,0,241,359,485,977,1516,1604,992,238,15,3,6188
210021233,0,4,4,7,10,13,5,0,0,40,0,0,6,25,26,19,8,0,0,83,61,75,174,364,438,344,113,12,0,1583
210021234,5,6,15,18,22,20,5,0,0,95,3,13,15,18,15,6,5,0,3,79,109,172,298,428,597,374,113,3,3,2092
210021235,5,27,36,32,42,32,18,3,0,200,9,15,32,30,45,44,10,4,0,189,209,348,644,936,1143,857,249,26,11,4427
210031236,3,13,36,44,20,19,3,0,0,142,6,3,48,23,40,25,5,0,0,153,103,289,1001,992,710,361,77,8,4,3537
