SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL21285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,13
SAL21286,15,12,5,5,3,0,0,0,0,43,4,15,0,18,8,5,0,3,0,43,21,9,51,14,16,3,4,10,0,126,0,0,0,5,0,0,0,0,0,3,0,0,4,0,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,8,95,220,72,58,43,17,9,20,15,561
SAL21287,4,6,5,4,8,3,0,0,0,33,8,8,4,7,9,5,0,0,0,43,15,3,55,14,8,5,3,11,3,127,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,7,78,187,76,56,56,21,12,24,6,515
SAL21288,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,12
SAL21289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,4,5,0,0,3,0,26
SAL21290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4
SAL21291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,13
SAL21292,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,0,0,0,0,4,0,25
SAL21293,19,32,15,30,14,9,7,10,0,137,33,49,27,117,49,23,15,33,0,353,84,51,381,242,130,89,97,154,15,1235,3,0,4,8,22,10,5,20,0,68,8,3,7,16,10,9,4,12,4,75,0,6,4,0,0,0,0,13,0,25,10,5,5,9,9,8,9,20,15,86,248,617,485,531,330,182,140,308,33,2864
SAL21294,8,4,0,0,9,0,0,0,0,27,6,6,3,7,12,0,0,0,5,42,16,4,43,4,6,0,4,10,5,94,0,0,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,10,0,0,4,0,0,0,0,3,4,13,124,143,62,44,54,11,14,18,16,474
SAL21295,7,3,0,0,0,0,0,0,0,17,3,5,0,10,7,0,0,0,0,22,27,4,23,17,14,8,12,16,4,117,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,52,59,21,34,25,6,15,24,3,248
SAL21296,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,4,0,0,0,0,13
SAL21297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
SAL21298,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,3,0,3,0,3,27
SAL21299,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,14
SAL21300,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,4,0,8,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,12,10,7,3,0,0,0,67
SAL21301,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,4,3,6,5,0,5,9,0,49
SAL21302,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,8,9,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,20,4,0,3,0,0,0,4,0,31
SAL21303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL21304,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,12
SAL21305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL21306,4,0,0,0,0,0,0,0,0,6,5,0,0,8,0,0,0,0,0,13,20,0,8,3,0,9,4,7,3,61,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,32,17,8,21,5,7,5,22,4,127
SAL21307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,0,0,6
SAL21308,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,0,4,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,13,5,8,0,0,0,0,41
SAL21309,5,3,0,0,0,0,0,0,0,12,7,0,0,6,0,0,0,6,0,14,8,0,17,14,9,4,7,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,23,34,23,16,13,7,11,9,3,139
SAL21310,17,0,3,6,0,0,0,0,0,31,17,3,5,13,7,0,0,8,0,36,19,4,35,18,5,3,18,21,0,128,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,7,4,0,0,3,0,0,0,3,0,14,81,36,44,41,16,5,23,51,13,316
SAL21311,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,4,6,0,0,0,5,5,47
SAL21312,7,12,10,10,8,0,3,5,0,48,13,15,15,31,23,14,8,9,6,128,27,5,102,33,32,15,32,37,7,283,0,0,0,0,4,4,0,3,0,17,4,7,3,9,5,0,6,6,0,34,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,4,0,4,7,19,100,244,160,104,124,69,57,70,19,941
SAL21313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,5,6,0,4,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,6,3,0,4,0,25
SAL21314,24,25,18,9,23,12,4,0,0,120,44,36,8,30,46,12,0,3,3,181,86,26,224,48,60,35,26,37,13,556,3,0,3,4,8,5,4,5,0,27,10,8,3,9,17,7,5,4,0,53,4,4,3,0,4,3,0,0,0,24,15,8,0,0,12,9,0,4,3,48,379,648,280,148,297,103,42,65,32,1998
SAL21315,25,25,22,20,23,23,6,11,0,157,31,47,38,62,51,27,21,11,0,304,74,19,314,103,106,26,80,75,12,810,4,8,0,7,14,10,0,11,0,48,13,6,15,20,11,7,9,7,4,96,0,6,0,0,5,3,4,0,0,29,6,3,17,12,13,9,0,6,14,83,306,724,442,324,405,157,145,144,55,2702
SAL21316,55,73,42,48,64,19,7,13,9,319,89,70,53,83,99,39,22,18,9,480,125,47,436,124,110,63,97,88,22,1103,0,5,3,9,13,3,8,5,0,52,12,15,15,23,35,13,8,8,3,134,4,10,3,0,7,0,0,3,4,38,13,16,12,15,18,9,10,3,23,110,768,1646,664,463,695,259,184,177,86,4941
SAL21317,12,3,3,3,9,0,0,0,0,37,14,4,3,22,6,6,3,0,3,64,21,4,73,21,22,11,10,15,3,173,0,0,0,5,4,3,0,0,0,11,4,4,0,4,3,0,0,0,0,21,3,3,0,0,0,0,0,5,0,11,0,4,0,0,5,0,3,0,3,15,82,181,96,70,84,35,16,22,6,590
SAL21318,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,4,0,0,0,0,24
SAL21319,4,12,6,8,12,4,5,0,0,47,10,16,10,23,26,5,10,6,0,106,27,7,109,18,29,18,14,18,4,247,3,0,3,0,0,0,0,0,0,8,3,0,0,4,6,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,3,0,3,9,22,107,199,143,77,108,47,28,36,15,765
SAL21320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SAL21321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,8,0,0,0,6,0,34
SAL21322,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,10,0,23
SAL21323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21324,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,17
SAL21325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,4,0,0,0,0,21
SAL21326,12,27,15,15,13,10,0,7,0,97,24,22,18,61,36,12,3,14,0,197,66,38,185,89,43,34,32,46,9,527,0,0,0,6,0,0,0,4,0,17,9,0,0,5,8,9,0,7,0,36,0,10,0,6,0,0,0,4,0,14,0,11,4,4,3,0,0,0,3,33,239,707,244,264,176,99,44,111,24,1915
SAL21327,34,58,18,23,39,13,7,10,0,202,70,67,49,52,59,19,9,9,7,341,47,48,134,60,69,34,24,32,11,453,6,0,5,0,6,0,0,12,0,26,6,7,8,9,6,3,0,9,0,48,3,12,0,0,7,0,0,6,0,32,3,7,3,5,7,4,3,5,11,40,976,2726,354,364,595,206,87,138,59,5504
SAL21328,7,25,9,0,5,4,0,0,0,46,13,23,4,28,10,8,3,9,0,104,57,24,142,69,47,27,27,45,10,445,0,3,4,0,5,0,0,4,0,19,6,0,0,10,0,3,5,4,0,25,0,0,0,0,0,0,0,0,0,8,4,5,4,6,0,4,0,3,0,31,114,223,176,130,80,58,41,78,19,905
SAL21329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8
SAL21330,4,0,5,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,14,0,18,0,6,0,9,0,0,46,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,13,20,3,9,0,8,0,0,87
SAL21331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,0,3,0,0,0,0,27
SAL21332,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,8,7,4,6,0,0,0,0,47
SAL21333,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,8,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,6,3,0,0,5,0,38
SAL21334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,3,0,0,0,3,0,31
SAL21335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
SAL21336,125,137,30,63,76,46,13,19,15,522,124,98,53,89,95,67,13,29,13,573,115,67,246,110,82,59,15,37,22,753,7,4,5,11,12,9,0,8,0,49,30,19,9,16,21,15,0,4,6,116,20,41,4,4,10,11,0,0,11,103,20,48,3,13,21,9,0,8,32,151,2137,4991,532,619,1078,505,93,193,191,10341
SAL21337,34,35,13,11,25,12,0,6,0,134,29,29,12,28,29,13,0,5,0,151,42,25,90,30,22,14,0,18,5,245,0,0,0,7,0,0,0,0,0,21,10,4,3,11,12,6,0,0,0,41,0,7,0,0,4,4,0,0,3,27,9,3,3,0,4,0,0,0,4,31,570,1244,166,182,306,125,23,47,48,2708
SAL21338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5,0,11
SAL21339,80,88,94,62,120,38,52,53,9,588,126,116,134,198,196,90,68,96,11,1040,158,59,643,236,152,110,162,180,43,1747,11,6,13,13,26,19,19,16,0,128,23,11,33,26,35,23,24,28,3,204,16,33,17,12,10,6,12,12,0,116,16,30,16,22,28,16,21,24,55,230,1178,2702,1247,885,1279,588,533,606,194,9213
SAL21340,24,25,8,34,29,8,3,7,0,129,72,59,30,113,54,20,16,13,3,374,161,44,349,129,108,49,46,85,17,992,7,4,0,7,11,3,9,11,0,48,14,0,12,11,21,9,9,8,0,87,0,8,5,4,3,0,0,0,0,19,3,16,4,7,0,0,0,6,8,58,428,802,437,389,314,120,92,168,39,2797
SAL21341,0,0,4,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,9,0,13,0,7,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,11,18,16,3,13,0,0,5,0,67
SAL21342,3,3,0,5,0,0,0,0,0,7,7,0,0,4,0,0,0,0,0,15,9,0,32,6,4,0,0,3,0,56,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,42,34,16,19,3,5,6,0,153
SAL21343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,4,0,10
SAL21344,4,4,0,0,0,0,0,0,0,5,3,0,3,4,5,3,0,0,0,16,9,4,27,6,8,6,10,8,0,74,0,0,0,0,3,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,31,19,14,7,10,11,0,175
SAL21345,6,5,0,0,0,0,0,0,0,4,4,0,0,5,4,0,0,0,0,13,8,0,19,5,3,4,3,4,0,47,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,52,27,16,18,8,6,11,3,172
SAL21346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21347,4,4,3,4,6,4,3,0,0,24,13,9,4,28,17,5,0,4,5,82,24,9,85,39,30,16,23,20,6,240,3,0,0,0,3,0,0,0,0,13,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,10,64,161,95,98,69,22,30,21,10,581
SAL21348,0,0,0,4,0,0,0,0,0,5,6,4,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,27,9,9,7,0,0,5,0,69
SAL21349,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,0,0,14,12,0,13,0,3,5,0,10,0,46,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,43,26,10,15,12,8,12,0,153
SAL21350,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,8,0,6,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,6,4,5,7,0,8,0,55
SAL21351,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,13,6,4,8,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,10,10,5,6,0,0,4,0,47
SAL21352,20,32,16,28,33,10,4,3,5,155,49,33,36,119,59,24,7,17,5,354,78,41,466,141,137,55,129,118,32,1189,3,5,10,3,11,13,3,11,0,57,9,0,6,18,8,11,11,10,0,81,0,8,0,0,0,0,0,4,0,17,4,7,8,11,15,0,7,6,9,72,289,588,580,404,339,141,173,187,60,2762
SAL21353,5,3,0,0,0,0,0,0,0,17,0,3,4,8,3,0,0,6,0,26,10,0,12,5,11,0,4,0,0,39,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,47,21,18,17,0,0,10,0,144
SAL21354,44,48,28,51,38,13,8,0,5,235,78,99,61,108,93,34,10,29,6,521,163,52,605,202,169,86,88,121,38,1531,7,7,7,3,11,8,7,9,0,59,12,8,15,18,13,6,7,7,0,86,5,0,0,3,3,0,0,0,0,16,7,12,13,9,16,3,6,8,14,82,529,1047,794,557,494,196,142,209,75,4044
SAL21355,16,17,5,15,13,8,4,0,0,78,18,26,8,34,26,8,4,6,0,133,51,15,200,48,30,22,24,35,8,439,0,0,3,0,9,0,4,0,0,21,0,6,0,3,7,5,0,3,0,29,0,3,0,0,0,4,0,0,0,3,0,4,0,3,0,0,0,0,0,20,140,287,237,126,114,59,40,56,19,1075
SAL21356,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,5,0,0,0,0,27
SAL21357,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,3,0,0,0,3,0,37
SAL21358,9,12,0,5,3,0,0,0,3,44,11,12,4,21,4,3,0,4,0,66,32,13,126,45,29,5,20,27,5,293,0,0,3,0,0,0,0,0,0,10,4,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,4,4,6,0,0,3,0,0,17,85,122,151,95,57,20,34,41,11,614
SAL21359,0,4,0,0,4,0,0,0,0,14,0,0,3,0,3,0,0,0,0,12,9,4,18,6,10,4,9,4,0,58,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,25,15,16,4,14,11,3,131
SAL21360,5,6,5,3,0,4,0,0,0,30,8,5,6,15,20,4,0,4,0,60,21,4,90,18,18,7,13,25,0,201,0,0,4,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,14,57,77,108,53,51,22,20,37,11,426
