SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL20331,3,5,11,7,14,11,4,4,0,49,0,5,9,0,14,8,5,6,5,48,98,220,193,140,338,346,95,211,14,1647
SAL20332,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,7,5,12,11,8,4,13,0,5,3,66
SAL20333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,6,6,12,4,11,4,70
SAL20334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,8,0,16,0,36
SAL20335,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,9,14,23,17,9,27,23,11,21,11,147
SAL20336,3,4,3,4,4,5,0,4,0,33,8,6,7,4,6,7,0,7,5,39,114,222,154,120,207,197,63,121,21,1221
SAL20337,27,66,35,37,30,33,11,28,0,272,16,100,59,24,52,107,21,75,75,525,512,1915,1278,831,1357,2317,680,2183,161,11235
SAL20338,14,49,23,18,29,43,18,24,0,214,6,55,26,21,37,81,23,51,47,347,396,1380,853,574,1056,1732,529,1349,88,7960
SAL20339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,13,10,8,14,0,19,4,83
SAL20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
SAL20341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,3,11,0,38
SAL20342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,13,9,0,13,0,48
SAL20343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,6,6,0,9,0,20
SAL20345,7,12,11,3,26,14,6,9,3,83,4,11,11,9,12,26,3,16,22,118,136,306,238,153,435,456,138,254,49,2155
SAL20346,8,23,13,10,38,23,3,10,3,138,18,29,44,17,65,38,9,11,79,301,187,599,663,322,919,669,147,200,137,3841
SAL20347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,3,5,6,26,0,43
SAL20348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,11
SAL20349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,3,0,6,0,27
SAL20350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,0,0,18
SAL20351,6,23,16,11,48,42,8,9,3,167,10,17,20,16,60,58,4,14,49,253,196,583,492,351,1055,971,243,447,100,4442
SAL20352,0,0,3,0,6,3,3,8,0,35,0,9,3,4,3,9,4,0,11,53,69,110,106,62,262,287,77,130,16,1118
SAL20353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20354,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,4,11,11,14,5,11,14,15,5,8,4,86
SAL20355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,8,0,9,0,27
SAL20356,3,13,10,13,14,12,3,9,0,69,3,9,7,0,9,12,4,9,9,64,139,316,263,210,446,518,134,259,20,2301
SAL20357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,15,0,12,0,57
SAL20358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,7,3,10,13,0,43
SAL20359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,7,11,11,4,26,0,66
SAL20360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20361,33,76,74,50,122,73,19,28,0,475,22,47,52,32,96,124,33,63,85,555,782,2079,1725,1356,3255,3676,1010,1795,173,15860
SAL20362,25,42,33,22,53,53,13,20,0,266,8,38,24,22,57,84,19,40,39,330,440,1055,847,682,2019,2184,599,1049,76,8953
SAL20363,19,36,33,36,62,59,16,18,0,277,16,36,29,22,68,69,14,26,47,320,474,1239,1028,737,1868,1931,527,956,104,8863
SAL20364,0,0,3,3,0,5,4,3,0,19,0,0,0,0,0,3,0,0,3,14,35,63,49,35,63,70,21,47,3,376
SAL20365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,3,6,0,10,0,42
SAL20366,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,16,10,8,9,19,5,16,12,95
SAL20367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,11,6,10,5,16,0,13,0,64
SAL20368,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,18,15,6,10,11,6,13,0,80
SAL20369,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,6,12,26,7,7,18,30,3,27,0,131
SAL20370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,15
SAL20371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,19
SAL20372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,9,0,10,12,4,8,0,61
SAL20374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20375,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,5,10,14,27,17,16,6,22,8,33,3,146
SAL20376,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,24,16,16,25,28,15,20,9,148
SAL20377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12,0,9,4,16,4,59
SAL20378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,11
SAL20381,0,0,0,3,8,3,0,0,0,12,0,6,0,0,3,0,0,0,3,10,15,50,33,32,67,77,12,33,8,321
SAL20382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,14
SAL20383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,5,5,13,0,38
SAL20384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,10,7,0,3,3,3,0,37
SAL20385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,8,0,25
SAL20386,22,43,34,23,33,32,8,10,0,198,14,21,15,14,44,42,8,19,36,209,260,821,635,394,1018,1217,337,572,78,5330
SAL20387,0,4,0,0,0,3,0,4,0,12,0,4,0,0,0,3,0,0,6,15,19,49,39,23,42,80,25,45,12,339
SAL20388,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,10,0,8,8,9,6,7,0,45
