SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC50307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50308,0,0,0,0,0,0,0,0,0,6,23,0,27,0,3,3,33,5,0,36
SSC50309,0,0,0,0,0,0,4,3,6,53,76,11,138,22,14,34,168,171,5,344
SSC50310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50311,0,0,0,0,0,0,0,0,0,6,7,0,14,0,0,0,16,13,0,25
SSC50312,0,0,0,0,0,0,0,0,0,4,5,0,7,0,0,0,7,7,0,17
SSC50313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50315,0,0,0,0,0,0,0,3,4,167,125,9,301,17,6,29,333,159,0,489
SSC50316,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC50317,0,0,0,0,0,0,0,0,0,49,23,3,79,4,5,7,89,25,0,110
SSC50318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50319,0,0,0,0,0,0,3,0,4,38,35,3,83,11,14,28,107,124,5,232
SSC50320,0,0,0,0,0,0,0,0,0,41,34,6,77,7,3,9,86,39,0,123
SSC50321,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,9,3,0,11
SSC50322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50323,0,0,0,0,0,0,0,3,3,79,78,6,162,10,10,22,180,128,8,314
SSC50324,0,0,0,0,0,0,0,0,0,15,10,0,26,0,0,3,25,13,0,40
SSC50325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50326,0,0,0,0,0,0,0,0,3,9,5,0,19,4,0,4,22,22,0,49
SSC50327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50328,0,6,0,0,0,6,4,3,14,95,83,9,192,24,16,36,224,188,5,418
SSC50329,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,10,7,0,15
SSC50330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50332,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,3
SSC50333,0,0,0,0,0,0,0,0,0,10,4,0,14,3,0,3,12,9,0,18
SSC50334,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4
SSC50335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
