SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC13213,3,3,9,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,100,0,33.3,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,5,0,0,0
SSC13214,4,5,8,4,0,4,0,0,0,0,0,0,0,0,0,5,0,8,0,3,3,0,0,0,125,0,100,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,0,0,7,7,8,0,0,3
SSC13215,22,25,49,10,7,20,3,9,10,0,3,3,0,0,0,16,16,35,7,0,7,0,0,0,72.7,64,71.4,59.1,76,67.3,0,0,0,0,0,0,0,4,3,4,3,8,6,3,9,0,0,0,0,0,0,6,3,9,26,28,54,0,0,0,19,22,47,7,0,8
SSC13216,48,43,88,28,12,42,3,12,14,3,0,4,0,0,3,37,27,61,4,12,20,0,0,4.9,77.1,62.8,69.3,70.8,55.8,68.2,0,0,0,0,0,0,0,10,11,3,4,9,5,3,12,3,0,4,0,0,3,10,4,16,39,41,86,10,12,21,30,26,58,19,23,39
SSC13217,14,11,24,4,8,10,0,3,7,0,0,6,0,0,0,5,10,19,8,0,5,0,0,0,35.7,90.9,79.2,28.6,100,95.8,0,0,0,0,0,0,0,0,0,3,0,3,3,0,8,0,0,0,0,0,0,3,0,8,11,16,25,4,0,3,11,11,23,5,0,3
SSC13218,28,30,55,14,8,28,0,3,9,0,0,3,0,0,0,20,12,36,3,4,5,0,0,0,71.4,40,65.5,50,36.7,72.7,0,0,0,0,0,0,0,5,8,0,0,4,6,3,10,0,0,0,0,0,0,6,3,10,22,25,45,3,3,4,21,23,47,0,3,3
SSC13219,26,22,49,11,3,16,0,5,8,0,0,0,0,3,3,18,13,29,6,7,11,0,23.1,10.3,69.2,59.1,59.2,42.3,36.4,49,0,0,0,0,0,0,0,3,3,0,3,3,4,0,3,0,0,0,3,0,3,3,0,8,18,20,42,3,3,4,20,20,34,5,5,11
SSC13220,19,20,32,12,6,23,3,3,6,0,0,0,0,0,0,13,13,27,3,4,8,0,0,0,68.4,65,84.4,78.9,45,90.6,0,0,0,0,0,0,0,7,9,0,0,0,0,0,3,0,3,3,0,0,0,7,4,10,19,14,34,0,0,0,18,12,30,0,5,6
SSC13221,13,17,25,8,0,12,0,8,8,0,0,0,0,0,0,12,8,15,3,3,7,0,0,0,92.3,47.1,60,61.5,47.1,80,0,0,0,0,0,0,0,3,3,0,3,3,5,0,9,0,0,0,0,0,0,4,0,10,9,18,26,0,0,0,11,9,23,3,4,4
SSC13222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13223,39,36,77,15,7,23,7,8,10,0,0,0,0,3,6,23,21,41,12,10,25,0,14.3,14.6,59,58.3,53.2,56.4,41.7,42.9,0,0,0,0,0,0,3,3,5,3,3,4,13,6,18,0,0,5,0,0,0,12,7,23,39,31,70,6,4,6,31,25,55,9,6,19
SSC13224,33,29,60,15,3,17,0,10,10,0,0,0,0,0,3,14,12,30,11,9,25,0,0,10,42.4,41.4,50,45.5,44.8,45,0,0,0,0,0,0,3,4,11,0,0,0,7,6,10,0,0,0,3,0,3,7,6,16,22,22,49,3,6,9,24,22,41,7,10,18
SSC13225,21,16,38,10,10,18,3,0,8,0,3,3,3,0,3,16,11,32,4,5,9,18.8,0,9.4,76.2,68.8,84.2,61.9,81.3,76.3,0,0,0,0,3,3,3,3,4,0,3,4,12,0,8,0,0,0,0,0,0,12,0,8,28,13,39,3,0,3,22,10,34,4,3,10
SSC13226,1125,1161,2286,720,366,1088,108,365,476,26,45,66,18,26,37,870,796,1664,203,316,521,2.1,3.3,2.2,77.3,68.6,72.8,75.9,66.8,71.3,12,33,50,9,22,31,77,162,233,103,174,276,447,144,590,10,27,36,26,29,51,481,203,679,1113,1099,2213,287,296,576,538,563,1099,765,762,1529
SSC13227,53,35,87,24,9,32,4,9,14,0,0,3,0,0,0,31,19,49,12,5,13,0,0,0,58.5,54.3,56.3,52.8,51.4,56.3,0,0,0,0,0,0,0,0,0,0,3,3,19,8,28,0,0,0,0,3,3,19,9,26,38,28,60,9,10,14,25,19,48,20,12,32
SSC13228,53,52,101,23,12,37,7,8,18,0,0,0,0,0,0,27,25,54,12,24,39,0,0,0,50.9,48.1,53.5,56.6,38.5,54.5,0,0,0,0,0,0,0,4,4,3,3,8,16,3,19,0,0,0,0,3,4,15,8,25,52,60,109,5,0,6,42,38,84,17,15,33
SSC13229,202,188,393,131,83,213,22,52,70,9,4,18,8,0,5,163,142,303,33,43,82,4.9,0,1.7,80.7,75.5,77.1,80.2,73.9,76.6,14,10,29,0,3,4,20,38,61,28,26,56,60,20,79,0,3,3,5,8,13,68,25,95,235,223,451,23,30,57,116,106,221,129,131,256
SSC13230,3429,3639,7074,1795,1185,2980,405,680,1081,91,116,213,158,188,351,2449,2172,4619,837,1342,2179,6.5,8.7,7.6,71.4,59.7,65.3,66.8,54.4,60.4,130,129,259,23,40,61,504,689,1196,274,370,647,662,331,992,39,71,107,60,90,152,755,490,1252,3722,3917,7636,457,497,952,2591,2707,5296,1356,1492,2847
SSC13231,1399,1615,3018,605,342,956,185,409,590,36,49,86,47,53,108,872,854,1729,474,693,1164,5.4,6.2,6.2,62.3,52.9,57.3,59,49.5,54.1,51,59,106,19,31,53,171,257,433,141,217,355,377,189,566,6,21,34,27,50,78,412,261,676,1484,1591,3074,192,231,428,1053,1111,2164,548,635,1189
SSC13232,768,896,1668,313,197,509,102,196,294,18,27,41,35,31,63,465,450,911,235,353,591,7.5,6.9,6.9,60.5,50.2,54.6,56.4,46.9,50.6,42,42,86,8,14,26,135,161,297,76,95,173,141,98,243,7,10,17,12,30,48,166,135,297,655,747,1399,138,146,283,351,403,753,422,490,905
SSC13233,610,626,1234,296,164,452,75,101,179,19,20,40,3,15,20,391,299,690,148,268,419,0.8,5,2.9,64.1,47.8,55.9,63.9,45.5,54.4,83,72,153,10,17,32,202,185,386,35,72,102,18,13,32,0,3,0,8,12,20,23,29,51,496,514,1008,119,126,240,318,362,679,289,264,554
SSC13234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13235,5,0,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,60,0,50,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,4,0,8,0,0,0
SSC13236,428,408,837,196,109,304,67,107,172,7,16,23,10,3,13,274,239,513,90,114,206,3.6,1.3,2.5,64,58.6,61.3,63.1,56.9,59.6,29,14,40,14,13,19,66,85,149,49,56,106,79,28,106,0,3,3,14,13,19,88,45,130,340,316,658,79,71,151,189,162,358,221,227,445
SSC13237,32,29,55,12,3,20,5,7,11,5,3,3,0,0,0,20,15,32,8,10,16,0,0,0,62.5,51.7,58.2,68.8,44.8,61.8,0,0,0,0,0,0,0,0,3,0,0,0,10,3,14,0,0,0,0,3,5,13,11,23,26,30,59,0,0,3,19,15,38,12,9,18
SSC13238,14,10,20,4,7,11,4,4,4,0,0,0,0,0,0,4,11,14,5,0,4,0,0,0,28.6,110,70,57.1,110,75,0,0,0,0,0,0,0,3,3,0,0,0,3,0,6,0,0,0,0,0,0,3,0,7,7,11,15,5,3,11,5,7,14,3,8,8
SSC13239,42,46,89,15,7,26,7,19,22,0,0,3,0,0,0,23,24,51,11,17,27,0,0,0,54.8,52.2,57.3,52.4,56.5,57.3,3,0,4,3,0,4,0,4,6,3,4,6,16,6,22,0,0,0,0,0,0,16,6,22,45,56,99,3,0,4,29,26,58,19,16,38
SSC13240,69,53,127,31,12,40,7,12,16,0,8,6,0,0,0,37,26,64,18,17,38,0,0,0,53.6,49.1,50.4,55.1,60.4,48.8,0,0,0,0,0,0,0,3,3,4,4,10,26,7,37,0,0,0,0,0,0,26,10,38,69,51,119,5,8,9,50,35,87,11,22,30
SSC13241,24,12,39,13,3,19,4,10,15,0,0,0,0,0,0,16,15,27,0,4,4,0,0,0,66.7,125,69.2,70.8,108.3,87.2,0,0,0,0,0,0,6,3,4,0,0,3,3,0,3,0,0,0,0,0,0,6,0,6,25,18,41,0,0,0,19,13,36,3,3,8
SSC13242,92,52,143,49,21,70,0,8,6,3,3,7,0,0,3,55,29,90,10,6,19,0,0,3.3,59.8,55.8,62.9,56.5,61.5,58,0,0,0,0,0,0,3,3,3,0,6,9,24,12,32,0,4,4,0,0,0,24,12,39,71,39,110,3,7,6,61,27,84,15,12,33
SSC13243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13244,434,433,863,247,107,352,49,149,196,13,13,23,4,4,14,307,273,584,107,151,255,1.3,1.5,2.4,70.7,63,67.7,71.2,62.1,66.2,20,20,42,9,17,23,110,93,203,38,76,110,117,34,154,0,6,6,4,15,22,123,59,184,441,474,914,48,48,93,339,371,707,144,149,293
SSC13245,2119,2060,4181,699,397,1097,220,392,614,60,47,108,132,88,221,1116,927,2040,851,1021,1871,11.8,9.5,10.8,52.7,45,48.8,46.2,40.6,43.5,40,50,85,23,18,40,140,171,312,137,186,318,546,263,808,23,49,67,40,58,100,612,369,978,2026,2001,4035,255,256,506,1499,1448,2952,679,702,1382
SSC13246,17374,20008,37383,5977,3884,9859,2188,4424,6616,413,458,869,658,562,1223,9244,9325,18567,7010,9477,16489,7.1,6,6.6,53.2,46.6,49.7,49.4,43.8,46.4,477,458,940,231,387,619,1739,2361,4097,1379,2235,3609,4706,2458,7165,164,375,540,340,707,1051,5218,3539,8758,15902,17856,33756,3312,3626,6942,9653,10845,20494,8944,9980,18923
SSC13247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13249,24,22,50,7,10,15,0,3,3,0,0,0,0,0,0,7,15,25,11,7,25,0,0,0,29.2,68.2,50,29.2,59.1,36,0,0,0,0,0,0,0,4,4,7,0,6,3,0,9,0,0,3,0,0,0,6,5,7,21,24,41,3,3,7,18,19,38,3,6,13
SSC13250,1012,1003,2015,333,154,486,76,211,290,29,28,60,52,40,92,491,435,925,402,453,851,10.6,9.2,9.9,48.5,43.4,45.9,43.3,39.2,41.5,9,12,18,5,7,19,34,51,88,35,82,117,285,127,414,13,16,32,24,31,53,323,174,498,944,935,1874,112,97,204,725,702,1426,293,284,580
SSC13251,56,65,123,25,8,32,7,21,23,0,0,0,3,3,3,35,33,64,17,36,51,8.6,9.1,4.7,62.5,50.8,52,57.1,44.6,44.7,0,3,3,0,0,0,5,8,14,4,4,10,18,12,34,0,0,0,3,0,3,24,16,35,55,66,116,6,9,20,31,38,64,28,33,55
SSC13252,123,122,248,37,5,48,27,45,75,3,7,10,8,6,10,68,67,134,42,41,82,11.8,9,7.5,55.3,54.9,54,54.5,46.7,53.6,4,5,11,0,3,5,15,21,35,3,13,19,31,17,45,0,0,0,0,3,5,35,19,56,109,101,212,11,14,23,79,75,149,47,43,92
SSC13253,70,63,126,15,10,27,8,13,16,0,3,6,5,0,7,32,22,56,26,32,59,15.6,0,12.5,45.7,34.9,44.4,32.9,41.3,38.9,3,5,5,0,3,3,17,8,24,3,9,11,19,7,31,0,0,0,0,4,0,22,9,33,58,45,101,6,5,17,50,41,93,16,13,30
SSC13254,56,55,113,12,8,24,10,8,17,0,0,0,6,0,6,29,20,46,19,32,46,20.7,0,13,51.8,36.4,40.7,39.3,29.1,36.3,0,0,0,0,3,8,3,0,7,4,4,3,15,6,23,0,0,0,0,0,0,16,4,23,52,50,100,5,7,13,29,26,56,23,26,53
SSC13255,339,364,709,172,122,300,38,54,91,19,25,41,11,8,22,243,211,453,59,127,184,4.5,3.8,4.9,71.7,58,63.9,67.6,55.2,60.9,33,31,59,4,3,13,74,96,164,33,42,80,35,18,54,3,0,5,3,3,8,43,22,72,245,258,498,124,147,276,8,16,21,340,364,701
SSC13256,5655,3561,9208,2510,1588,4099,413,455,866,94,77,166,122,101,220,3138,2224,5362,464,494,955,3.9,4.5,4.1,55.5,62.5,58.2,53.4,59.5,55.7,507,448,956,94,107,201,1113,952,2059,370,311,687,475,150,625,27,17,45,64,49,112,564,219,783,2416,1789,4206,1157,898,2057,1115,814,1927,2501,1927,4423
SSC13257,2417,2678,5093,959,481,1447,316,767,1088,65,78,137,90,89,173,1434,1415,2841,828,1066,1891,6.3,6.3,6.1,59.3,52.8,55.8,55.4,49.5,52.5,56,71,128,41,54,98,236,407,637,188,331,524,774,354,1123,17,35,48,47,75,119,830,458,1295,2412,2603,5015,524,622,1141,1363,1443,2804,1438,1639,3073
SSC13258,1297,1364,2660,468,310,777,150,222,368,34,28,61,62,47,110,716,604,1322,533,698,1232,8.7,7.8,8.3,55.2,44.3,49.7,50.3,41.1,45.3,19,20,39,9,6,20,120,149,270,103,116,221,250,110,365,5,12,22,19,38,49,273,160,435,1384,1411,2794,119,133,252,1058,1094,2149,370,390,763
SSC13259,33,30,61,19,9,25,3,4,5,0,0,0,3,0,6,18,12,37,6,12,19,16.7,0,16.2,54.5,40,60.7,66.7,43.3,49.2,0,0,0,0,0,0,0,4,8,0,0,5,6,0,8,0,0,0,0,0,0,6,0,6,42,32,74,3,3,3,35,27,56,8,5,12
SSC13260,5508,5884,11390,2922,1861,4784,653,1172,1830,162,169,331,237,222,460,3980,3423,7408,1297,2235,3528,6,6.5,6.2,72.3,58.2,65,67.8,54.4,61,219,222,441,42,62,104,674,951,1624,533,679,1209,1063,553,1617,36,83,117,100,146,245,1194,784,1980,6398,6587,12983,638,700,1335,4666,4770,9436,1974,2142,4116
SSC13261,151,138,288,55,20,76,27,39,63,0,0,5,0,3,4,85,62,151,47,60,108,0,4.8,2.6,56.3,44.9,52.4,54.3,42.8,50,10,10,17,3,4,10,36,23,60,17,15,25,27,11,37,4,4,8,0,4,4,33,16,47,129,129,261,28,24,50,93,91,189,66,53,115
SSC13262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC13263,30,23,56,13,6,17,0,3,3,0,0,4,0,0,0,17,14,30,12,3,11,0,0,0,56.7,60.9,53.6,43.3,39.1,42.9,0,0,0,0,0,0,3,3,6,3,3,9,6,3,12,0,0,0,0,0,0,6,3,12,25,14,36,6,10,16,10,9,23,14,8,28
SSC13264,689,696,1384,257,140,398,73,135,208,15,24,38,35,32,65,380,330,707,251,312,560,9.2,9.7,9.2,55.2,47.4,51.1,50.1,43,46.5,11,27,38,4,14,16,32,52,90,49,67,117,217,81,297,7,11,19,15,27,40,237,116,356,662,656,1317,84,83,166,502,490,986,210,216,429
SSC13265,61,54,114,27,23,50,8,11,15,0,3,6,4,3,4,38,35,77,12,20,29,10.5,8.6,5.2,62.3,64.8,67.5,57.4,68.5,62.3,3,0,3,0,0,0,9,14,19,4,8,10,18,10,29,0,3,5,0,0,0,21,13,32,58,56,113,5,15,19,44,43,83,23,19,44
SSC13266,1920,1884,3803,985,580,1564,243,407,649,47,57,101,52,60,114,1326,1107,2432,459,678,1144,3.9,5.4,4.7,69.1,58.8,63.9,66.4,55.4,60.8,66,82,145,17,23,32,228,283,511,155,221,375,452,182,638,9,30,40,30,49,79,496,264,753,1886,1923,3805,232,236,470,1470,1481,2946,588,593,1180
SSC13267,16,19,33,8,3,13,0,3,4,0,3,3,0,0,0,10,9,19,3,9,13,0,0,0,62.5,47.4,57.6,50,47.4,60.6,0,0,0,0,0,0,3,3,4,0,3,3,3,3,7,0,0,0,0,0,0,3,4,9,12,17,24,0,0,0,12,10,23,0,0,0
SSC13268,14,18,38,8,4,13,0,5,12,3,0,3,0,0,0,16,15,30,3,3,9,0,0,0,114.3,83.3,78.9,78.6,50,73.7,0,3,3,0,0,0,4,8,7,3,0,7,4,0,5,0,0,0,4,0,3,6,5,9,17,17,37,3,3,9,13,20,31,8,6,15
SSC13269,6,5,12,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,66.7,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4
SSC13270,20,23,39,12,13,24,0,4,5,0,0,0,0,0,0,18,18,27,0,3,5,0,0,0,90,78.3,69.2,60,73.9,74.4,0,0,0,0,0,0,4,0,3,4,0,4,5,3,8,0,0,0,0,0,0,5,3,11,13,27,42,0,0,0,15,12,27,4,9,8
SSC13271,38,33,66,20,12,28,3,4,11,3,0,3,0,0,0,27,14,43,11,12,18,0,0,0,71.1,42.4,65.2,68.4,48.5,63.6,0,0,0,0,0,0,0,4,9,0,9,8,6,7,16,0,0,0,0,0,3,6,9,16,42,29,75,0,0,0,32,23,56,9,5,18
SSC13272,84,84,171,21,15,33,15,20,36,0,5,4,0,3,4,37,42,83,43,30,72,0,7.1,4.8,44,50,48.5,42.9,47.6,42.7,3,0,5,0,5,7,7,10,25,3,11,17,24,7,31,0,0,0,3,0,5,27,12,34,76,69,144,23,14,35,63,50,118,29,27,53
SSC13273,7976,7687,15663,2679,1348,4030,1308,1208,2515,299,209,510,453,364,817,4739,3130,7866,2736,4075,6813,9.6,11.6,10.4,59.4,40.7,50.2,53.7,36,45,328,266,594,39,70,103,890,850,1740,559,664,1227,1038,508,1548,52,88,142,103,159,263,1189,760,1954,8233,7981,16210,1231,1044,2274,5695,5635,11335,3214,2887,6095
SSC13274,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
SSC13275,49,55,103,0,0,0,0,3,3,0,3,4,5,3,4,9,9,11,42,43,84,55.6,33.3,36.4,18.4,16.4,10.7,0,10.9,6.8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,5,3,11,58,61,119,0,4,7,60,56,115,0,0,3
SSC13276,54,38,96,25,20,43,7,9,16,3,3,4,0,0,0,31,32,61,11,3,18,0,0,0,57.4,84.2,63.5,64.8,84.2,65.6,0,0,0,0,7,7,3,7,12,7,3,4,13,6,18,0,0,3,0,0,0,15,5,22,46,34,77,3,3,5,34,29,64,11,8,22
SSC13277,1585,1711,3299,800,508,1306,206,458,663,35,41,80,42,38,84,1082,1047,2131,446,610,1057,3.9,3.6,3.9,68.3,61.2,64.6,65.7,58.9,62.1,136,131,267,26,38,57,394,406,795,143,212,358,282,95,382,4,22,25,40,73,112,326,195,516,1659,1806,3465,187,208,397,1248,1341,2595,562,612,1167
SSC13278,86,89,177,35,25,58,20,24,40,3,4,4,0,3,3,63,49,115,23,32,50,0,6.1,2.6,73.3,55.1,65,67.4,59.6,57.6,0,0,5,0,3,0,6,19,23,6,15,21,20,8,25,0,3,7,4,7,9,24,13,37,80,88,170,13,12,27,63,68,133,19,22,46
SSC13279,85,57,136,14,0,15,4,5,7,0,0,3,0,0,0,21,10,31,24,15,45,0,0,0,24.7,17.5,22.8,21.2,8.8,18.4,0,0,3,0,0,0,4,0,5,3,3,7,12,9,19,0,0,0,0,0,5,14,6,23,42,29,73,7,7,12,30,18,54,13,9,25
SSC13280,5,5,15,4,0,5,0,0,0,0,0,0,0,0,0,3,4,3,4,3,6,0,0,0,60,80,20,80,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,5,5,15,0,0,0,0,0,0,9,3,12
SSC13281,4052,4638,8692,2077,1296,3373,588,1189,1779,81,117,200,147,139,288,2896,2742,5642,1022,1742,2769,5.1,5.1,5.1,71.5,59.1,64.9,67.8,56.1,61.6,792,670,1460,114,192,303,1355,1451,2810,287,484,768,219,104,320,14,24,36,43,100,137,270,224,493,4185,4734,8916,707,775,1481,2705,3128,5840,2000,2243,4245
SSC13282,36,28,63,17,3,23,4,5,14,0,0,0,0,0,0,20,16,32,13,11,21,0,0,0,55.6,57.1,50.8,58.3,28.6,58.7,0,0,0,0,0,0,4,5,7,0,6,6,15,0,16,0,0,0,0,0,3,15,0,14,36,29,61,5,0,3,28,21,50,6,7,15
SSC13283,43,51,92,18,14,38,7,14,19,4,3,3,0,0,0,26,30,55,14,15,21,0,0,0,60.5,58.8,59.8,67.4,60.8,65.2,0,0,0,0,6,7,9,7,12,0,4,8,10,4,22,0,0,0,0,0,0,10,11,20,39,36,75,3,9,11,27,25,55,11,15,30
SSC13284,5886,5738,11623,3194,2317,5510,832,1095,1923,151,213,365,201,203,408,4375,3832,8209,944,1377,2323,4.6,5.3,5,74.3,66.8,70.6,71,63.2,67.1,817,760,1583,131,145,279,1833,1824,3659,530,571,1102,433,228,663,19,38,57,79,89,171,535,352,889,4013,3925,7939,1655,1678,3329,1945,1985,3929,3581,3441,7022
SSC13285,118,132,244,37,25,58,21,31,45,3,0,4,5,5,6,65,58,118,45,66,112,7.7,8.6,5.1,55.1,43.9,48.4,51.7,42.4,43.9,0,5,5,0,6,11,3,22,21,8,16,24,39,10,52,0,4,4,0,5,5,39,21,64,101,122,222,21,17,41,78,98,174,41,42,84
SSC13286,10134,10692,20825,5784,3555,9337,1187,2624,3808,275,327,600,440,477,916,7675,6986,14667,2102,3352,5458,5.7,6.8,6.2,75.7,65.3,70.4,71.5,60.8,66,718,705,1418,143,200,345,1622,2199,3816,936,1161,2096,2039,1027,3075,84,181,263,172,283,458,2302,1497,3794,10870,11159,22029,1606,1644,3250,7473,7595,15068,4312,4476,8793
SSC13287,72,64,131,25,10,35,3,7,16,3,6,12,3,4,5,39,27,66,19,22,36,7.7,14.8,7.6,54.2,42.2,50.4,43.1,35.9,48.1,0,0,0,0,0,0,0,10,12,3,8,13,11,0,10,0,3,4,0,3,4,16,4,18,60,57,114,6,14,17,41,36,82,17,19,44
SSC13288,4,3,9,3,0,3,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,125,0,44.4,75,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,4,0,0,0
SSC13289,18,12,30,11,3,16,0,5,6,0,0,0,0,0,0,15,13,25,4,0,6,0,0,0,83.3,108.3,83.3,61.1,66.7,73.3,0,3,3,0,0,4,3,3,8,0,3,3,3,0,3,0,0,0,0,0,0,3,0,3,20,20,40,0,0,0,16,13,28,6,7,9
SSC13290,81,74,157,39,11,52,5,16,18,0,0,0,3,0,3,45,27,77,24,33,57,6.7,0,3.9,55.6,36.5,49,54.3,36.5,44.6,0,0,3,0,0,0,0,4,4,3,8,10,22,8,31,0,0,0,0,0,0,26,13,33,73,74,143,12,7,20,59,53,110,19,24,45
SSC13291,2605,2735,5345,1270,926,2201,293,502,798,94,105,200,112,64,175,1763,1597,3369,636,922,1559,6.4,4,5.2,67.7,58.4,63,63.6,56.1,59.9,143,144,285,50,91,135,331,430,765,194,251,448,561,282,845,27,45,76,29,68,95,616,393,1010,2123,2206,4330,591,614,1211,1234,1282,2512,1344,1420,2761
SSC13292,1661,1591,3254,925,635,1562,192,307,502,49,60,114,64,64,126,1232,1066,2297,314,426,741,5.2,6,5.5,74.2,67,70.6,70.2,63,66.9,125,87,212,25,39,67,206,288,493,146,173,320,376,170,548,17,36,59,15,31,51,412,243,651,1381,1319,2703,442,386,828,720,722,1440,985,911,1892
SSC13293,1224,1280,2500,684,504,1192,123,248,372,41,51,99,35,37,67,881,843,1726,256,345,604,4,4.4,3.9,72,65.9,69,69.3,62.7,66.5,46,38,84,19,26,40,105,166,271,87,137,229,325,177,506,10,17,31,16,32,46,341,231,579,1180,1209,2393,197,217,415,799,823,1623,515,534,1050
