SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC21315,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,3,0,0,0,100,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,3,4,8,0,0,0
SSC21316,17,18,30,9,4,7,0,4,7,3,0,3,0,0,0,12,7,21,5,6,5,0,0,0,70.6,38.9,70,70.6,44.4,56.7,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,0,0,0,0,0,0,0,8,9,15,23,34,0,0,0,13,20,35,0,0,0
SSC21317,19,14,36,13,3,19,4,3,7,0,0,3,0,0,0,11,8,28,3,3,7,0,0,0,57.9,57.1,77.8,89.5,42.9,80.6,0,0,0,0,0,0,3,5,5,3,3,5,10,0,7,0,0,0,0,0,0,9,0,8,17,13,27,6,5,8,11,5,18,11,13,16
SSC21318,2143,2645,4787,826,491,1319,314,651,965,61,87,155,103,90,191,1303,1322,2625,723,1165,1886,7.9,6.8,7.3,60.8,50,54.8,56,46.5,51,98,89,192,51,105,151,284,447,729,178,229,407,462,243,709,21,38,54,36,60,98,519,343,861,1947,2234,4178,403,536,942,1205,1365,2569,1077,1331,2411
SSC21319,4416,4842,9260,2377,1965,4345,622,1067,1685,90,176,265,158,163,321,3249,3366,6619,870,1125,1997,4.9,4.8,4.8,73.6,69.5,71.5,70,66.3,68,525,662,1188,158,302,454,1370,1520,2896,357,392,747,425,233,655,25,28,60,35,58,87,481,323,804,3609,3832,7439,1057,1150,2205,1996,2179,4174,2510,2659,5170
SSC21320,1548,1733,3280,587,265,850,155,415,573,45,47,91,63,41,101,851,767,1624,566,809,1376,7.4,5.3,6.2,55,44.3,49.5,50.8,42,46.2,14,15,21,13,22,36,78,142,216,77,125,204,385,195,574,14,37,45,25,35,56,419,260,680,1471,1596,3070,178,208,384,1086,1172,2261,506,553,1058
SSC21321,15,15,34,12,0,12,0,3,3,0,0,0,0,0,0,12,3,14,6,7,15,0,0,0,80,20,41.2,80,20,44.1,0,0,3,0,0,0,0,3,3,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,23,16,39,0,3,3,16,17,28,10,5,14
SSC21322,105,91,196,57,25,87,15,31,42,0,9,5,3,0,3,78,62,138,24,28,53,3.8,0,2.2,74.3,68.1,70.4,68.6,71.4,68.4,0,0,0,0,6,8,6,13,18,6,6,15,33,13,51,0,0,0,0,0,0,38,14,53,96,93,191,11,8,18,87,79,165,18,22,38
SSC21323,30,24,50,15,9,23,4,10,11,0,0,0,0,0,0,16,14,30,11,9,16,0,0,0,53.3,58.3,60,63.3,79.2,68,0,0,0,0,3,6,0,4,4,4,0,9,11,5,15,0,0,0,0,0,0,11,7,20,23,23,48,3,6,10,13,20,35,9,8,19
SSC21324,40,37,79,23,12,35,9,6,13,0,0,0,0,0,0,31,26,54,7,13,21,0,0,0,77.5,70.3,68.4,80,48.6,60.8,0,0,0,0,0,0,0,10,8,0,3,3,12,3,14,0,0,0,0,0,0,8,4,13,40,38,77,8,6,8,28,26,58,11,14,26
